AS Monaco,Lyon,Paris FC,Lille,Stade Rennais,Paris Saint-Germain,Angers,Strasbourg,Le Mans,AJ Auxerre,Brest,Lorient,Toulouse,Nice,Lens,Troyes,Marseille,Le Havre AC
1539.0,1304.0,320.0,840.0,299.0,5119.0,2.0,118.0,1.0,4.0,1.0,10.0,10.0,0.0,373.0,0.0,60.0,0.0
1982.0,1853.0,621.0,1381.0,689.0,2087.0,12.0,295.0,3.0,10.0,17.0,28.0,57.0,2.0,812.0,0.0,151.0,0.0
1640.0,1743.0,894.0,1509.0,901.0,1160.0,11.0,491.0,10.0,54.0,39.0,84.0,114.0,3.0,1062.0,0.0,277.0,8.0
1323.0,1360.0,1087.0,1391.0,1135.0,677.0,42.0,687.0,34.0,66.0,81.0,151.0,203.0,9.0,1236.0,0.0,509.0,9.0
1071.0,1104.0,1190.0,1213.0,1241.0,442.0,67.0,903.0,48.0,107.0,122.0,222.0,310.0,23.0,1279.0,0.0,637.0,21.0
806.0,862.0,1214.0,1061.0,1233.0,274.0,147.0,1077.0,89.0,202.0,195.0,340.0,434.0,35.0,1201.0,1.0,793.0,36.0
613.0,617.0,1110.0,809.0,1144.0,110.0,273.0,1197.0,163.0,308.0,324.0,500.0,647.0,77.0,1054.0,1.0,976.0,77.0
393.0,469.0,1029.0,654.0,994.0,67.0,352.0,1205.0,236.0,456.0,466.0,701.0,786.0,114.0,872.0,6.0,1064.0,136.0
285.0,274.0,812.0,458.0,780.0,38.0,518.0,989.0,385.0,657.0,643.0,875.0,1038.0,199.0,706.0,8.0,1125.0,210.0
159.0,193.0,634.0,264.0,555.0,14.0,675.0,864.0,521.0,780.0,865.0,1083.0,1113.0,325.0,494.0,15.0,1084.0,362.0
84.0,98.0,395.0,198.0,423.0,7.0,852.0,729.0,715.0,943.0,1035.0,1129.0,1129.0,516.0,359.0,31.0,907.0,450.0
53.0,63.0,282.0,105.0,262.0,2.0,1031.0,512.0,942.0,1075.0,1117.0,1062.0,1067.0,693.0,249.0,56.0,770.0,659.0
32.0,30.0,182.0,62.0,156.0,3.0,1118.0,405.0,1062.0,1173.0,1176.0,1021.0,934.0,895.0,136.0,124.0,619.0,872.0
10.0,18.0,127.0,28.0,96.0,0.0,1270.0,258.0,1252.0,1112.0,1094.0,984.0,808.0,1096.0,88.0,198.0,441.0,1120.0
8.0,4.0,61.0,11.0,46.0,0.0,1200.0,143.0,1345.0,1183.0,1020.0,774.0,572.0,1421.0,47.0,418.0,288.0,1459.0
2.0,6.0,30.0,14.0,29.0,0.0,1152.0,83.0,1352.0,938.0,926.0,564.0,443.0,1739.0,19.0,795.0,192.0,1716.0
0.0,2.0,11.0,1.0,14.0,0.0,934.0,36.0,1291.0,680.0,643.0,385.0,279.0,1902.0,13.0,1780.0,86.0,1943.0
0.0,0.0,1.0,1.0,3.0,0.0,344.0,8.0,551.0,252.0,236.0,87.0,56.0,951.0,0.0,6567.0,21.0,922.0
