Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Santos,Coritiba,Red Bull Bragantino,São Paulo,Botafogo,Vitória,Corinthians,Mirassol,Vasco da Gama,Grêmio,Internacional,Remo,Chapecoense
7939.0,2055.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033.0,7774.0,111.0,64.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,150.0,4724.0,3373.0,544.0,1080.0,82.0,6.0,1.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,2952.0,3485.0,1316.0,1873.0,273.0,21.0,2.0,12.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1444.0,1953.0,2557.0,2774.0,789.0,169.0,28.0,102.0,119.0,54.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,570.0,776.0,2989.0,2478.0,1711.0,384.0,104.0,342.0,336.0,268.0,3.0,6.0,24.0,9.0,0.0,0.0,0.0,0.0
0.0,0.0,163.0,241.0,1467.0,1165.0,2777.0,989.0,344.0,999.0,934.0,757.0,19.0,21.0,77.0,45.0,2.0,0.0,0.0,0.0
0.0,0.0,26.0,82.0,651.0,399.0,1715.0,1467.0,667.0,1604.0,1582.0,1262.0,67.0,101.0,182.0,184.0,10.0,1.0,0.0,0.0
0.0,0.0,2.0,17.0,258.0,137.0,1161.0,1480.0,1008.0,1672.0,1731.0,1442.0,140.0,208.0,402.0,304.0,28.0,10.0,0.0,0.0
0.0,0.0,3.0,5.0,131.0,62.0,670.0,1447.0,1305.0,1497.0,1547.0,1554.0,258.0,376.0,566.0,469.0,71.0,38.0,1.0,0.0
0.0,0.0,0.0,3.0,49.0,18.0,383.0,1290.0,1540.0,1247.0,1248.0,1416.0,396.0,627.0,870.0,732.0,109.0,72.0,0.0,0.0
0.0,0.0,0.0,0.0,18.0,7.0,227.0,1063.0,1616.0,903.0,983.0,1116.0,587.0,898.0,1099.0,1080.0,232.0,169.0,2.0,0.0
0.0,0.0,0.0,0.0,7.0,0.0,114.0,761.0,1335.0,685.0,657.0,886.0,826.0,1209.0,1435.0,1362.0,404.0,315.0,4.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,62.0,468.0,917.0,465.0,404.0,575.0,1210.0,1498.0,1529.0,1591.0,700.0,559.0,20.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,25.0,255.0,637.0,279.0,237.0,374.0,1629.0,1545.0,1473.0,1484.0,1164.0,861.0,36.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,131.0,344.0,127.0,128.0,171.0,1949.0,1549.0,1115.0,1302.0,1587.0,1490.0,96.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,124.0,46.0,44.0,84.0,1777.0,1211.0,780.0,919.0,2384.0,2263.0,304.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,16.0,10.0,22.0,1053.0,670.0,404.0,465.0,2708.0,3442.0,1131.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,84.0,81.0,39.0,53.0,590.0,761.0,7591.0,797.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,815.0,9155.0
