AZ Alkmaar,Feyenoord Rotterdam,PSV Eindhoven,FC Twente,Ajax Amsterdam,Fortuna Sittard,Excelsior,FC Groningen,Go Ahead Eagles,Heerenveen,NEC Nijmegen,Sparta Rotterdam,Telstar,SC Cambuur,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II
579.0,1887.0,6375.0,605.0,526.0,1.0,3.0,8.0,4.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1488.0,3122.0,2158.0,1517.0,1537.0,1.0,18.0,57.0,33.0,31.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2070.0,2146.0,902.0,2128.0,2123.0,30.0,85.0,186.0,110.0,92.0,117.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0
2068.0,1411.0,379.0,2189.0,2294.0,89.0,222.0,444.0,307.0,199.0,332.0,0.0,10.0,0.0,56.0,0.0,0.0,0.0
1854.0,821.0,134.0,1789.0,1798.0,255.0,524.0,892.0,626.0,500.0,650.0,5.0,29.0,0.0,121.0,2.0,0.0,0.0
946.0,346.0,37.0,894.0,834.0,527.0,1095.0,1515.0,1161.0,1063.0,1204.0,11.0,107.0,0.0,256.0,4.0,0.0,0.0
505.0,151.0,10.0,467.0,445.0,824.0,1303.0,1559.0,1414.0,1267.0,1354.0,38.0,191.0,1.0,461.0,9.0,1.0,0.0
254.0,71.0,1.0,201.0,206.0,1038.0,1444.0,1401.0,1402.0,1294.0,1526.0,79.0,351.0,6.0,702.0,23.0,1.0,0.0
127.0,26.0,4.0,108.0,135.0,1238.0,1419.0,1250.0,1315.0,1415.0,1308.0,166.0,502.0,14.0,925.0,47.0,1.0,0.0
55.0,11.0,0.0,62.0,57.0,1432.0,1241.0,1026.0,1229.0,1318.0,1159.0,304.0,748.0,26.0,1227.0,102.0,2.0,1.0
38.0,7.0,0.0,25.0,27.0,1517.0,1082.0,749.0,1007.0,1160.0,979.0,509.0,1129.0,66.0,1494.0,184.0,26.0,1.0
12.0,0.0,0.0,12.0,15.0,1391.0,786.0,497.0,712.0,851.0,720.0,977.0,1643.0,191.0,1673.0,460.0,55.0,5.0
3.0,1.0,0.0,2.0,1.0,984.0,499.0,267.0,396.0,503.0,416.0,1732.0,2173.0,496.0,1486.0,882.0,128.0,31.0
1.0,0.0,0.0,1.0,2.0,462.0,190.0,101.0,199.0,217.0,141.0,2498.0,1711.0,1193.0,959.0,1779.0,422.0,124.0
0.0,0.0,0.0,0.0,0.0,159.0,75.0,36.0,65.0,67.0,36.0,1997.0,879.0,2301.0,436.0,2622.0,967.0,360.0
0.0,0.0,0.0,0.0,0.0,50.0,14.0,9.0,15.0,15.0,14.0,1108.0,380.0,3049.0,154.0,2193.0,2031.0,968.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,4.0,1.0,458.0,122.0,1919.0,35.0,1278.0,3658.0,2515.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,24.0,738.0,2.0,415.0,2708.0,5995.0
