FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Braga,Académico de Viseu,Estrela,Moreirense,Gil Vicente,Maritimo,Alverca,FC Famalicao,Vitória de Guimaraes,C.D. Nacional,Rio Ave,Casa Pia,Estoril
5908.0,2067.0,1988.0,4.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2680.0,3783.0,3334.0,9.0,1.0,178.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
1273.0,3621.0,4051.0,147.0,30.0,780.0,6.0,0.0,2.0,29.0,0.0,1.0,59.0,1.0,0.0,0.0,0.0,0.0
126.0,437.0,554.0,1606.0,475.0,5159.0,137.0,92.0,26.0,506.0,2.0,41.0,813.0,12.0,10.0,1.0,0.0,3.0
13.0,72.0,59.0,2651.0,1087.0,1978.0,425.0,352.0,110.0,1183.0,27.0,162.0,1743.0,59.0,35.0,5.0,3.0,36.0
0.0,13.0,10.0,1859.0,1375.0,907.0,732.0,623.0,255.0,1480.0,44.0,391.0,1994.0,132.0,81.0,19.0,6.0,79.0
0.0,5.0,3.0,1319.0,1473.0,484.0,1014.0,890.0,407.0,1536.0,104.0,570.0,1612.0,224.0,148.0,52.0,10.0,149.0
0.0,2.0,1.0,925.0,1343.0,230.0,1261.0,1048.0,602.0,1386.0,193.0,788.0,1239.0,334.0,301.0,72.0,22.0,253.0
0.0,0.0,0.0,573.0,1199.0,126.0,1242.0,1221.0,833.0,1122.0,285.0,969.0,927.0,534.0,381.0,149.0,44.0,395.0
0.0,0.0,0.0,389.0,950.0,72.0,1214.0,1239.0,988.0,834.0,462.0,1134.0,567.0,765.0,541.0,271.0,90.0,484.0
0.0,0.0,0.0,214.0,657.0,27.0,1129.0,1164.0,1090.0,643.0,645.0,1179.0,388.0,918.0,730.0,360.0,171.0,685.0
0.0,0.0,0.0,151.0,516.0,17.0,871.0,946.0,1127.0,476.0,874.0,1150.0,265.0,1027.0,909.0,521.0,225.0,925.0
0.0,0.0,0.0,74.0,354.0,6.0,664.0,808.0,1176.0,319.0,1076.0,973.0,183.0,1136.0,1099.0,709.0,385.0,1038.0
0.0,0.0,0.0,45.0,254.0,2.0,526.0,624.0,991.0,238.0,1200.0,899.0,103.0,1206.0,1204.0,932.0,559.0,1217.0
0.0,0.0,0.0,24.0,147.0,1.0,365.0,430.0,891.0,130.0,1415.0,707.0,47.0,1158.0,1261.0,1271.0,886.0,1267.0
0.0,0.0,0.0,6.0,81.0,1.0,256.0,316.0,768.0,72.0,1409.0,502.0,27.0,1086.0,1275.0,1532.0,1353.0,1316.0
0.0,0.0,0.0,4.0,47.0,0.0,105.0,166.0,500.0,35.0,1279.0,353.0,18.0,873.0,1143.0,2068.0,2163.0,1246.0
0.0,0.0,0.0,0.0,10.0,0.0,53.0,81.0,234.0,10.0,985.0,181.0,1.0,535.0,882.0,2038.0,4083.0,907.0
