Barcelona,Atlético Madrid,Real Betis,Real Madrid,Sevilla,Alavés,Deportivo La Coruña,Real Sociedad,Villarreal,Athletic Club,Getafe,Rayo Vallecano,Osasuna,Celta Vigo,Espanyol,Racing Santander,Levante,Elche,Valencia,Málaga
9237.0,94.0,26.0,641.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684.0,1956.0,615.0,6489.0,20.0,24.0,1.0,13.0,159.0,17.0,1.0,7.0,2.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0
71.0,4248.0,2219.0,2085.0,129.0,116.0,29.0,152.0,686.0,55.0,8.0,53.0,9.0,107.0,8.0,0.0,10.0,12.0,3.0,0.0
6.0,2158.0,3047.0,549.0,554.0,434.0,92.0,438.0,1605.0,207.0,67.0,219.0,65.0,405.0,34.0,0.0,67.0,41.0,12.0,0.0
2.0,804.0,1713.0,151.0,972.0,723.0,249.0,904.0,2139.0,459.0,159.0,384.0,141.0,745.0,142.0,3.0,177.0,102.0,31.0,0.0
0.0,385.0,954.0,46.0,1137.0,963.0,422.0,1106.0,1538.0,636.0,299.0,569.0,251.0,946.0,225.0,2.0,278.0,181.0,62.0,0.0
0.0,140.0,534.0,22.0,1131.0,1084.0,523.0,1140.0,1081.0,796.0,401.0,715.0,335.0,983.0,322.0,10.0,405.0,269.0,109.0,0.0
0.0,105.0,342.0,13.0,1059.0,970.0,620.0,1039.0,818.0,824.0,508.0,783.0,452.0,971.0,437.0,18.0,482.0,383.0,176.0,0.0
0.0,41.0,215.0,1.0,952.0,1041.0,714.0,912.0,556.0,891.0,597.0,826.0,479.0,937.0,532.0,27.0,581.0,478.0,220.0,0.0
0.0,28.0,132.0,1.0,868.0,870.0,765.0,857.0,428.0,890.0,684.0,835.0,604.0,912.0,626.0,56.0,640.0,518.0,286.0,0.0
0.0,28.0,75.0,1.0,712.0,763.0,809.0,719.0,324.0,830.0,790.0,863.0,708.0,754.0,717.0,61.0,754.0,679.0,408.0,5.0
0.0,7.0,54.0,1.0,624.0,679.0,850.0,660.0,233.0,826.0,798.0,859.0,822.0,704.0,809.0,94.0,777.0,727.0,469.0,7.0
0.0,1.0,34.0,0.0,523.0,619.0,872.0,571.0,164.0,758.0,863.0,799.0,858.0,618.0,889.0,144.0,854.0,851.0,575.0,7.0
0.0,0.0,24.0,0.0,431.0,539.0,839.0,440.0,104.0,688.0,923.0,742.0,898.0,546.0,943.0,265.0,927.0,921.0,745.0,25.0
0.0,2.0,9.0,0.0,326.0,419.0,829.0,397.0,67.0,662.0,975.0,743.0,978.0,423.0,965.0,342.0,927.0,1026.0,869.0,41.0
0.0,2.0,4.0,0.0,243.0,326.0,838.0,280.0,49.0,542.0,941.0,595.0,1076.0,407.0,942.0,548.0,933.0,1103.0,1091.0,80.0
0.0,1.0,2.0,0.0,180.0,231.0,721.0,199.0,29.0,454.0,848.0,493.0,988.0,280.0,987.0,903.0,893.0,1067.0,1546.0,178.0
0.0,0.0,0.0,0.0,94.0,137.0,527.0,124.0,17.0,338.0,709.0,353.0,820.0,195.0,852.0,1732.0,789.0,1027.0,1797.0,489.0
0.0,0.0,1.0,0.0,43.0,54.0,261.0,41.0,2.0,110.0,376.0,142.0,440.0,50.0,467.0,3939.0,441.0,510.0,1304.0,1819.0
0.0,0.0,0.0,0.0,2.0,8.0,39.0,7.0,0.0,17.0,53.0,20.0,74.0,7.0,102.0,1856.0,64.0,105.0,297.0,7349.0
