Manchester City,Arsenal,Brighton & Hove Albion,Brentford,Leeds United,Liverpool,Everton,Hull City,Newcastle United,Chelsea,Ipswich Town,Manchester United,Nottingham Forest,Sunderland,Crystal Palace,Aston Villa,AFC Bournemouth,Coventry City,Fulham,Tottenham Hotspur
5660.0,3712.0,295.0,84.0,15.0,120.0,18.0,1.0,9.0,20.0,0.0,56.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
3028.0,4141.0,996.0,391.0,153.0,532.0,114.0,3.0,72.0,116.0,0.0,342.0,17.0,8.0,2.0,36.0,44.0,0.0,5.0,0.0
795.0,1237.0,2223.0,1109.0,491.0,1428.0,396.0,45.0,274.0,434.0,0.0,1064.0,118.0,32.0,12.0,176.0,135.0,0.0,22.0,9.0
313.0,487.0,1772.0,1211.0,792.0,1478.0,624.0,76.0,446.0,614.0,4.0,1223.0,225.0,84.0,36.0,261.0,280.0,0.0,64.0,10.0
117.0,214.0,1222.0,1302.0,842.0,1326.0,807.0,134.0,641.0,801.0,6.0,1185.0,355.0,136.0,65.0,370.0,350.0,0.0,99.0,28.0
54.0,91.0,968.0,1141.0,923.0,1120.0,874.0,210.0,711.0,887.0,13.0,1093.0,421.0,213.0,86.0,500.0,483.0,0.0,172.0,40.0
13.0,64.0,712.0,921.0,938.0,945.0,980.0,278.0,773.0,888.0,23.0,951.0,548.0,311.0,164.0,603.0,601.0,0.0,210.0,77.0
12.0,25.0,534.0,820.0,948.0,762.0,887.0,353.0,835.0,921.0,44.0,895.0,687.0,357.0,209.0,637.0,687.0,0.0,280.0,107.0
5.0,17.0,392.0,735.0,887.0,582.0,882.0,455.0,870.0,882.0,67.0,721.0,742.0,462.0,289.0,735.0,766.0,0.0,349.0,162.0
2.0,4.0,283.0,557.0,762.0,486.0,857.0,584.0,840.0,854.0,84.0,646.0,795.0,589.0,351.0,756.0,857.0,2.0,465.0,226.0
0.0,5.0,188.0,459.0,729.0,344.0,740.0,656.0,856.0,729.0,145.0,507.0,840.0,681.0,450.0,873.0,894.0,0.0,591.0,313.0
1.0,1.0,163.0,377.0,641.0,312.0,702.0,772.0,775.0,651.0,224.0,413.0,886.0,765.0,549.0,817.0,875.0,3.0,689.0,384.0
0.0,1.0,94.0,283.0,524.0,190.0,608.0,857.0,694.0,586.0,310.0,302.0,865.0,855.0,716.0,872.0,877.0,9.0,840.0,517.0
0.0,0.0,69.0,228.0,449.0,142.0,477.0,947.0,615.0,500.0,405.0,240.0,892.0,921.0,873.0,789.0,804.0,16.0,961.0,672.0
0.0,1.0,43.0,163.0,314.0,101.0,394.0,1016.0,550.0,366.0,638.0,148.0,756.0,1050.0,971.0,772.0,716.0,17.0,1097.0,887.0
0.0,0.0,27.0,106.0,256.0,70.0,275.0,1067.0,435.0,336.0,904.0,91.0,659.0,1024.0,1167.0,648.0,601.0,47.0,1164.0,1123.0
0.0,0.0,10.0,70.0,175.0,35.0,201.0,1040.0,314.0,218.0,1313.0,75.0,548.0,1010.0,1338.0,531.0,464.0,137.0,1135.0,1386.0
0.0,0.0,7.0,39.0,117.0,21.0,118.0,844.0,200.0,120.0,1958.0,39.0,412.0,845.0,1370.0,410.0,358.0,332.0,1054.0,1756.0
0.0,0.0,2.0,4.0,42.0,6.0,43.0,581.0,84.0,75.0,3045.0,6.0,206.0,570.0,1151.0,190.0,183.0,1200.0,710.0,1902.0
0.0,0.0,0.0,0.0,2.0,0.0,3.0,81.0,6.0,2.0,817.0,3.0,23.0,86.0,201.0,22.0,23.0,8237.0,93.0,401.0
