Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
8062.0,1879.0,53.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1833.0,7292.0,628.0,129.0,46.0,9.0,5.0,3.0,45.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,709.0,5293.0,1708.0,726.0,259.0,151.0,84.0,781.0,19.0,138.0,31.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
10.0,98.0,1945.0,2686.0,1390.0,817.0,533.0,299.0,1525.0,74.0,452.0,124.0,2.0,22.0,14.0,5.0,2.0,1.0,1.0,0.0
1.0,16.0,1034.0,1911.0,1586.0,1104.0,855.0,510.0,1755.0,200.0,677.0,251.0,8.0,56.0,21.0,8.0,2.0,4.0,1.0,0.0
0.0,5.0,531.0,1263.0,1512.0,1369.0,1085.0,742.0,1514.0,344.0,984.0,435.0,26.0,88.0,61.0,16.0,11.0,11.0,3.0,0.0
0.0,0.0,251.0,858.0,1304.0,1418.0,1284.0,948.0,1265.0,522.0,1153.0,536.0,49.0,197.0,134.0,40.0,16.0,17.0,8.0,0.0
0.0,1.0,145.0,589.0,1050.0,1271.0,1376.0,1093.0,957.0,689.0,1219.0,804.0,95.0,297.0,227.0,79.0,41.0,45.0,22.0,0.0
0.0,0.0,71.0,344.0,824.0,1120.0,1262.0,1254.0,785.0,936.0,1227.0,973.0,130.0,423.0,341.0,122.0,70.0,78.0,40.0,0.0
0.0,0.0,28.0,249.0,614.0,864.0,1064.0,1196.0,519.0,1214.0,1151.0,1165.0,237.0,599.0,554.0,188.0,155.0,131.0,72.0,0.0
0.0,0.0,11.0,130.0,435.0,681.0,811.0,1176.0,362.0,1216.0,986.0,1314.0,374.0,909.0,715.0,315.0,226.0,215.0,124.0,0.0
0.0,0.0,7.0,74.0,247.0,453.0,595.0,947.0,245.0,1286.0,759.0,1204.0,563.0,1135.0,992.0,562.0,345.0,385.0,201.0,0.0
0.0,0.0,1.0,35.0,140.0,299.0,437.0,665.0,131.0,1120.0,527.0,1069.0,798.0,1281.0,1237.0,770.0,490.0,648.0,351.0,1.0
0.0,0.0,2.0,12.0,71.0,171.0,245.0,502.0,55.0,900.0,343.0,755.0,1036.0,1282.0,1310.0,1057.0,749.0,915.0,593.0,2.0
0.0,0.0,0.0,4.0,35.0,95.0,173.0,288.0,35.0,629.0,198.0,553.0,1274.0,1177.0,1314.0,1269.0,950.0,1148.0,855.0,3.0
0.0,0.0,0.0,4.0,14.0,41.0,73.0,158.0,13.0,415.0,100.0,366.0,1363.0,980.0,1209.0,1454.0,1268.0,1392.0,1145.0,5.0
0.0,0.0,0.0,1.0,3.0,23.0,30.0,82.0,5.0,261.0,50.0,241.0,1461.0,764.0,912.0,1503.0,1553.0,1577.0,1519.0,15.0
0.0,0.0,0.0,0.0,2.0,5.0,17.0,42.0,4.0,127.0,22.0,120.0,1395.0,523.0,613.0,1379.0,1901.0,1651.0,2161.0,38.0
0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,2.0,47.0,5.0,57.0,1173.0,255.0,339.0,1201.0,2154.0,1715.0,2800.0,237.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,16.0,6.0,6.0,32.0,67.0,67.0,104.0,9699.0
