Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Brighton & Hove Albion,Chelsea,Brentford,AFC Bournemouth,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6332.0,3668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3668.0,6330.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,5451.0,2712.0,1835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3057.0,4048.0,2842.0,41.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1403.0,2998.0,4747.0,482.0,102.0,87.0,121.0,35.0,14.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,79.0,224.0,409.0,4551.0,1058.0,888.0,1412.0,686.0,384.0,266.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.0,14.0,109.0,2242.0,1863.0,1505.0,1805.0,1149.0,632.0,564.0,64.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,43.0,1307.0,1875.0,1734.0,1710.0,1446.0,837.0,790.0,163.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,12.0,730.0,1712.0,1762.0,1573.0,1552.0,1073.0,1131.0,244.0,181.0,30.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,406.0,1396.0,1577.0,1395.0,1690.0,1318.0,1461.0,397.0,296.0,61.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,167.0,1030.0,1244.0,971.0,1532.0,1586.0,1905.0,737.0,678.0,149.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,56.0,670.0,760.0,639.0,1134.0,2012.0,1786.0,1355.0,1179.0,380.0,29.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,14.0,227.0,333.0,266.0,542.0,1371.0,1224.0,2547.0,2265.0,1095.0,110.0,5.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,57.0,90.0,84.0,199.0,632.0,672.0,2673.0,3048.0,2164.0,327.0,42.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,19.0,34.0,133.0,187.0,1595.0,1829.0,4727.0,1189.0,176.0,87.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,188.0,354.0,1177.0,6322.0,1165.0,781.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,176.0,1672.0,4361.0,3753.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,350.0,4251.0,5369.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7777.0,2222.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.0,7778.0
