Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,SC Freiburg,Eintracht Frankfurt,FC Augsburg,Mainz,1. FC Union Berlin,FC Cologne,Borussia Mönchengladbach,Hamburg SV,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9669.0,319.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,323.0,8335.0,917.0,339.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,1171.0,5368.0,2632.0,821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,157.0,2633.0,4592.0,2618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,18.0,1071.0,2434.0,6469.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,6.0,5456.0,4403.0,124.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4321.0,4905.0,613.0,148.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,203.0,627.0,4807.0,3292.0,455.0,198.0,283.0,78.0,57.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,65.0,2808.0,3863.0,1084.0,841.0,771.0,327.0,227.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,1473.0,2088.0,2137.0,1555.0,995.0,760.0,26.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,712.0,1923.0,2070.0,1946.0,1518.0,1304.0,69.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,347.0,1744.0,1874.0,1938.0,1965.0,1795.0,144.0,17.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,128.0,1533.0,1591.0,1723.0,2194.0,2310.0,367.0,108.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,1062.0,1092.0,1424.0,2378.0,2966.0,863.0,181.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,104.0,192.0,350.0,533.0,572.0,6007.0,2194.0,46.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,9.0,9.0,2424.0,7119.0,427.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,375.0,9527.0
