PSV Eindhoven,Feyenoord Rotterdam,NEC Nijmegen,FC Twente,Ajax Amsterdam,AZ Alkmaar,FC Utrecht,Heerenveen,FC Groningen,Sparta Rotterdam,Go Ahead Eagles,Fortuna Sittard,PEC Zwolle,FC Volendam,Excelsior,Telstar,NAC Breda,Heracles Almelo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5499.0,3228.0,994.0,261.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3087.0,3726.0,2109.0,977.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1051.0,2157.0,3578.0,2797.0,396.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,316.0,810.0,2716.0,4391.0,1257.0,306.0,196.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,47.0,75.0,562.0,1137.0,5171.0,1809.0,980.0,197.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,39.0,318.0,2139.0,3782.0,2426.0,1039.0,252.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,108.0,748.0,2642.0,3166.0,2551.0,760.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,11.0,153.0,1128.0,2328.0,4017.0,2251.0,83.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,18.0,308.0,853.0,2096.0,5738.0,644.0,314.0,29.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,40.0,91.0,837.0,4157.0,3586.0,1255.0,12.0,8.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,138.0,3539.0,3779.0,2412.0,85.0,28.0,15.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1449.0,2144.0,5252.0,605.0,224.0,320.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,135.0,940.0,3397.0,2170.0,3182.0,62.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,108.0,2828.0,3353.0,3410.0,295.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2667.0,3665.0,2503.0,1134.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,551.0,551.0,8269.0,227.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,236.0,9743.0
