Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6583.0,2940.0,298.0,52.0,70.0,20.0,22.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2599.0,4808.0,1371.0,383.0,391.0,146.0,154.0,50.0,72.0,12.0,3.0,4.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0
589.0,1408.0,3305.0,1393.0,1303.0,609.0,575.0,245.0,379.0,82.0,32.0,42.0,16.0,5.0,8.0,7.0,2.0,0.0,0.0,0.0
159.0,489.0,2012.0,1844.0,1801.0,969.0,1065.0,482.0,671.0,205.0,59.0,106.0,40.0,41.0,30.0,19.0,7.0,1.0,0.0,0.0
42.0,202.0,1127.0,1605.0,1655.0,1310.0,1426.0,758.0,870.0,376.0,153.0,222.0,66.0,68.0,42.0,48.0,26.0,4.0,0.0,0.0
18.0,81.0,759.0,1340.0,1330.0,1346.0,1418.0,1006.0,1090.0,544.0,220.0,337.0,130.0,125.0,92.0,116.0,41.0,7.0,0.0,0.0
9.0,35.0,502.0,982.0,1031.0,1288.0,1326.0,1182.0,1167.0,719.0,347.0,486.0,245.0,223.0,149.0,201.0,85.0,19.0,4.0,0.0
0.0,20.0,295.0,789.0,801.0,1140.0,1110.0,1218.0,1165.0,942.0,446.0,726.0,357.0,310.0,261.0,243.0,129.0,45.0,3.0,0.0
0.0,13.0,138.0,593.0,574.0,937.0,906.0,1183.0,1151.0,1046.0,634.0,850.0,462.0,465.0,335.0,412.0,218.0,73.0,10.0,0.0
1.0,4.0,89.0,359.0,397.0,702.0,638.0,989.0,936.0,1132.0,787.0,1079.0,737.0,684.0,507.0,502.0,324.0,112.0,21.0,0.0
0.0,0.0,52.0,264.0,242.0,489.0,517.0,826.0,728.0,1143.0,956.0,1096.0,834.0,782.0,675.0,626.0,497.0,216.0,56.0,1.0
0.0,0.0,29.0,183.0,181.0,366.0,317.0,643.0,556.0,996.0,1048.0,1124.0,988.0,920.0,839.0,786.0,653.0,304.0,65.0,2.0
0.0,0.0,11.0,82.0,99.0,256.0,221.0,508.0,422.0,850.0,1054.0,1003.0,1073.0,1030.0,962.0,1027.0,828.0,473.0,97.0,4.0
0.0,0.0,6.0,62.0,56.0,195.0,132.0,341.0,286.0,649.0,1062.0,906.0,1132.0,1120.0,1108.0,1137.0,968.0,629.0,198.0,13.0
0.0,0.0,5.0,33.0,42.0,111.0,90.0,272.0,220.0,516.0,990.0,706.0,1102.0,1164.0,1182.0,1169.0,1202.0,816.0,351.0,29.0
0.0,0.0,0.0,22.0,15.0,69.0,45.0,155.0,143.0,388.0,862.0,586.0,998.0,1078.0,1261.0,1213.0,1363.0,1157.0,580.0,65.0
0.0,0.0,0.0,7.0,8.0,33.0,32.0,84.0,73.0,238.0,749.0,407.0,896.0,949.0,1188.0,1124.0,1438.0,1639.0,964.0,171.0
0.0,0.0,1.0,6.0,3.0,11.0,5.0,42.0,48.0,120.0,388.0,250.0,618.0,686.0,890.0,890.0,1334.0,2339.0,1894.0,475.0
0.0,0.0,0.0,1.0,1.0,3.0,1.0,10.0,13.0,40.0,189.0,64.0,272.0,310.0,406.0,417.0,751.0,1696.0,4159.0,1667.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,6.0,34.0,38.0,63.0,62.0,132.0,470.0,1598.0,7573.0
