FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Braga,Académico de Viseu,Estrela,Moreirense,Gil Vicente,Maritimo,Alverca,FC Famalicao,Vitória de Guimaraes,C.D. Nacional,Rio Ave,Casa Pia,Estoril
6002.0,2048.0,1917.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2631.0,3857.0,3315.0,15.0,3.0,169.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
1243.0,3575.0,4174.0,139.0,19.0,760.0,3.0,2.0,0.0,28.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0
117.0,454.0,515.0,1595.0,486.0,5156.0,140.0,68.0,25.0,545.0,5.0,39.0,827.0,15.0,8.0,1.0,0.0,4.0
7.0,51.0,65.0,2673.0,1082.0,1938.0,403.0,296.0,158.0,1175.0,29.0,176.0,1808.0,62.0,36.0,6.0,1.0,34.0
0.0,13.0,11.0,1949.0,1370.0,972.0,728.0,579.0,234.0,1497.0,55.0,344.0,1932.0,130.0,83.0,16.0,4.0,83.0
0.0,2.0,3.0,1304.0,1522.0,495.0,1017.0,842.0,418.0,1566.0,97.0,530.0,1633.0,227.0,161.0,41.0,10.0,132.0
0.0,0.0,0.0,918.0,1379.0,240.0,1196.0,1057.0,630.0,1388.0,186.0,744.0,1256.0,369.0,253.0,86.0,40.0,258.0
0.0,0.0,0.0,565.0,1159.0,111.0,1333.0,1215.0,820.0,1129.0,336.0,965.0,837.0,527.0,418.0,144.0,56.0,385.0
0.0,0.0,0.0,339.0,899.0,75.0,1192.0,1287.0,986.0,835.0,508.0,1134.0,623.0,701.0,536.0,222.0,105.0,558.0
0.0,0.0,0.0,216.0,710.0,32.0,1133.0,1160.0,1065.0,614.0,646.0,1239.0,393.0,880.0,704.0,321.0,180.0,707.0
0.0,0.0,0.0,148.0,496.0,10.0,869.0,1037.0,1149.0,461.0,850.0,1131.0,260.0,1084.0,909.0,486.0,256.0,854.0
0.0,0.0,0.0,70.0,360.0,6.0,713.0,763.0,1159.0,330.0,1031.0,1028.0,144.0,1164.0,1014.0,719.0,423.0,1076.0
0.0,0.0,0.0,40.0,238.0,3.0,499.0,650.0,1048.0,191.0,1222.0,888.0,104.0,1197.0,1231.0,958.0,557.0,1174.0
0.0,0.0,0.0,18.0,134.0,1.0,353.0,460.0,881.0,120.0,1318.0,701.0,69.0,1165.0,1368.0,1236.0,891.0,1285.0
0.0,0.0,0.0,7.0,85.0,1.0,238.0,331.0,706.0,68.0,1430.0,537.0,32.0,1064.0,1313.0,1541.0,1298.0,1349.0
0.0,0.0,0.0,2.0,42.0,0.0,128.0,172.0,486.0,43.0,1368.0,363.0,12.0,836.0,1168.0,2035.0,2131.0,1214.0
0.0,0.0,0.0,1.0,16.0,0.0,55.0,81.0,235.0,9.0,919.0,181.0,3.0,579.0,798.0,2188.0,4048.0,887.0
