Swansea City,West Ham United,Middlesbrough,Wolverhampton Wanderers,West Bromwich Albion,Queens Park Rangers,Stoke City,Bristol City,Charlton Athletic,Birmingham City,Millwall,Lincoln City,Southampton,Wrexham,Bolton Wanderers,Blackburn Rovers,Norwich City,Sheffield United,Portsmouth,Watford,Cardiff City,Derby County,Preston North End,Burnley
176.0,6051.0,528.0,2609.0,17.0,8.0,7.0,15.0,0.0,18.0,60.0,0.0,467.0,13.0,0.0,1.0,25.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
630.0,2453.0,1148.0,3563.0,93.0,41.0,67.0,69.0,4.0,98.0,255.0,0.0,1364.0,56.0,0.0,2.0,104.0,31.0,8.0,0.0,0.0,8.0,0.0,6.0
1011.0,845.0,1997.0,1797.0,238.0,118.0,163.0,242.0,23.0,300.0,660.0,3.0,1980.0,177.0,1.0,22.0,260.0,104.0,11.0,7.0,2.0,28.0,3.0,8.0
1374.0,342.0,1740.0,884.0,419.0,245.0,288.0,371.0,56.0,484.0,984.0,12.0,1631.0,306.0,3.0,57.0,445.0,175.0,42.0,20.0,2.0,68.0,7.0,45.0
1334.0,159.0,1284.0,472.0,560.0,378.0,412.0,502.0,117.0,674.0,1042.0,18.0,1262.0,464.0,6.0,88.0,608.0,308.0,79.0,37.0,4.0,111.0,12.0,69.0
1160.0,65.0,932.0,289.0,667.0,489.0,533.0,615.0,164.0,842.0,1078.0,23.0,866.0,514.0,6.0,137.0,687.0,401.0,103.0,75.0,7.0,174.0,23.0,150.0
946.0,44.0,664.0,155.0,776.0,561.0,638.0,685.0,241.0,807.0,942.0,51.0,659.0,635.0,24.0,202.0,768.0,480.0,156.0,109.0,14.0,238.0,20.0,185.0
772.0,25.0,472.0,96.0,771.0,674.0,693.0,783.0,260.0,824.0,857.0,86.0,472.0,698.0,31.0,230.0,773.0,535.0,237.0,139.0,19.0,279.0,53.0,221.0
571.0,8.0,354.0,41.0,806.0,693.0,737.0,735.0,332.0,792.0,795.0,120.0,343.0,709.0,46.0,344.0,772.0,603.0,240.0,191.0,36.0,404.0,68.0,260.0
468.0,4.0,242.0,38.0,718.0,702.0,757.0,755.0,388.0,755.0,681.0,165.0,263.0,725.0,73.0,410.0,774.0,694.0,351.0,234.0,49.0,387.0,90.0,277.0
394.0,1.0,202.0,18.0,729.0,712.0,711.0,764.0,456.0,670.0,554.0,193.0,190.0,674.0,108.0,442.0,696.0,677.0,382.0,296.0,76.0,523.0,121.0,411.0
288.0,1.0,123.0,16.0,691.0,692.0,692.0,639.0,545.0,658.0,427.0,269.0,163.0,707.0,114.0,498.0,680.0,718.0,476.0,416.0,88.0,502.0,143.0,454.0
226.0,1.0,89.0,12.0,624.0,651.0,650.0,664.0,602.0,572.0,385.0,343.0,110.0,697.0,171.0,556.0,609.0,695.0,570.0,422.0,105.0,565.0,193.0,488.0
175.0,1.0,67.0,6.0,551.0,631.0,635.0,602.0,633.0,515.0,320.0,359.0,84.0,591.0,205.0,657.0,544.0,681.0,580.0,517.0,160.0,679.0,237.0,570.0
140.0,0.0,50.0,2.0,467.0,616.0,589.0,569.0,674.0,456.0,253.0,463.0,50.0,560.0,274.0,682.0,447.0,655.0,634.0,567.0,217.0,641.0,353.0,641.0
96.0,0.0,44.0,1.0,455.0,587.0,496.0,467.0,727.0,366.0,181.0,603.0,38.0,503.0,321.0,700.0,450.0,598.0,662.0,682.0,314.0,688.0,353.0,668.0
86.0,0.0,29.0,1.0,373.0,493.0,514.0,393.0,785.0,322.0,159.0,589.0,20.0,435.0,432.0,694.0,359.0,558.0,730.0,696.0,369.0,709.0,552.0,702.0
56.0,0.0,14.0,0.0,300.0,454.0,390.0,333.0,745.0,261.0,141.0,756.0,13.0,443.0,556.0,714.0,295.0,532.0,797.0,724.0,461.0,742.0,535.0,738.0
43.0,0.0,12.0,0.0,248.0,380.0,316.0,261.0,704.0,205.0,92.0,836.0,15.0,338.0,682.0,769.0,226.0,448.0,780.0,874.0,626.0,670.0,730.0,745.0
24.0,0.0,4.0,0.0,194.0,285.0,262.0,189.0,693.0,144.0,58.0,911.0,6.0,262.0,833.0,763.0,178.0,340.0,793.0,871.0,816.0,662.0,857.0,855.0
14.0,0.0,2.0,0.0,140.0,234.0,202.0,151.0,627.0,102.0,31.0,1020.0,4.0,209.0,1069.0,662.0,120.0,311.0,751.0,903.0,1062.0,643.0,1037.0,706.0
11.0,0.0,2.0,0.0,87.0,184.0,129.0,105.0,553.0,70.0,26.0,1171.0,0.0,145.0,1291.0,558.0,98.0,210.0,658.0,802.0,1349.0,533.0,1287.0,731.0
1.0,0.0,1.0,0.0,60.0,124.0,69.0,64.0,416.0,43.0,15.0,1095.0,0.0,91.0,1695.0,480.0,58.0,167.0,539.0,809.0,1726.0,443.0,1503.0,601.0
4.0,0.0,0.0,0.0,16.0,48.0,50.0,27.0,255.0,22.0,4.0,914.0,0.0,48.0,2059.0,332.0,24.0,76.0,421.0,609.0,2498.0,301.0,1823.0,469.0
