Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Santos,Coritiba,Red Bull Bragantino,São Paulo,Botafogo,Vitória,Corinthians,Mirassol,Vasco da Gama,Grêmio,Internacional,Remo,Chapecoense
7944.0,2049.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042.0,7787.0,115.0,39.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,144.0,4784.0,3400.0,510.0,1053.0,72.0,8.0,1.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,2941.0,3481.0,1298.0,1879.0,278.0,38.0,3.0,20.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1389.0,1943.0,2520.0,2919.0,792.0,141.0,24.0,90.0,119.0,58.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,573.0,823.0,3025.0,2435.0,1634.0,415.0,83.0,359.0,336.0,275.0,2.0,1.0,22.0,17.0,0.0,0.0,0.0,0.0
0.0,0.0,144.0,221.0,1509.0,1095.0,2836.0,976.0,325.0,990.0,923.0,750.0,19.0,39.0,85.0,87.0,1.0,0.0,0.0,0.0
0.0,0.0,39.0,73.0,643.0,394.0,1803.0,1454.0,668.0,1591.0,1566.0,1234.0,62.0,93.0,218.0,149.0,13.0,0.0,0.0,0.0
0.0,0.0,9.0,16.0,310.0,134.0,1077.0,1564.0,1005.0,1666.0,1656.0,1479.0,136.0,218.0,399.0,291.0,24.0,16.0,0.0,0.0
0.0,0.0,1.0,1.0,111.0,54.0,659.0,1415.0,1372.0,1534.0,1511.0,1567.0,252.0,375.0,566.0,480.0,57.0,45.0,0.0,0.0
0.0,0.0,0.0,1.0,45.0,18.0,385.0,1323.0,1522.0,1220.0,1269.0,1354.0,429.0,636.0,836.0,755.0,136.0,71.0,0.0,0.0
0.0,0.0,0.0,0.0,21.0,5.0,240.0,1010.0,1620.0,895.0,979.0,1216.0,581.0,861.0,1156.0,1021.0,236.0,159.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,1.0,128.0,740.0,1296.0,687.0,714.0,837.0,904.0,1104.0,1473.0,1361.0,429.0,316.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,61.0,469.0,982.0,456.0,424.0,588.0,1235.0,1451.0,1500.0,1550.0,713.0,565.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,28.0,259.0,583.0,281.0,282.0,352.0,1609.0,1697.0,1374.0,1471.0,1114.0,921.0,29.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,131.0,325.0,135.0,125.0,183.0,1838.0,1554.0,1124.0,1337.0,1716.0,1425.0,101.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,151.0,53.0,46.0,73.0,1701.0,1238.0,827.0,869.0,2360.0,2336.0,295.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,20.0,11.0,17.0,1121.0,639.0,380.0,536.0,2622.0,3391.0,1161.0,47.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,108.0,92.0,39.0,73.0,567.0,742.0,7552.0,825.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,12.0,13.0,850.0,9120.0
