Borussia Dortmund,Bayern Munich,SC Freiburg,FC Augsburg,Bayer Leverkusen,Mainz,SV Elversberg,Werder Bremen,RB Leipzig,Eintracht Frankfurt,Schalke 04,SC Paderborn 07,FC Cologne,TSG Hoffenheim,VfB Stuttgart,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach
1469.0,8380.0,12.0,2.0,74.0,0.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0
6236.0,1455.0,396.0,39.0,948.0,66.0,5.0,5.0,486.0,25.0,0.0,0.0,4.0,62.0,273.0,0.0,0.0,0.0
1416.0,136.0,1362.0,284.0,2654.0,397.0,49.0,53.0,1825.0,174.0,5.0,1.0,30.0,364.0,1237.0,9.0,1.0,3.0
521.0,23.0,1614.0,505.0,2076.0,646.0,120.0,143.0,1830.0,320.0,8.0,3.0,75.0,622.0,1461.0,17.0,5.0,11.0
196.0,5.0,1545.0,704.0,1466.0,861.0,248.0,239.0,1621.0,549.0,23.0,14.0,162.0,852.0,1429.0,38.0,17.0,31.0
84.0,0.0,1394.0,934.0,999.0,1076.0,380.0,385.0,1201.0,713.0,52.0,18.0,250.0,1038.0,1316.0,76.0,30.0,54.0
39.0,1.0,1032.0,1063.0,673.0,1160.0,542.0,527.0,957.0,893.0,102.0,36.0,408.0,1124.0,1163.0,125.0,67.0,88.0
22.0,0.0,802.0,1157.0,442.0,1182.0,691.0,730.0,676.0,1027.0,148.0,83.0,504.0,1133.0,910.0,202.0,116.0,175.0
10.0,0.0,643.0,1058.0,286.0,1067.0,867.0,849.0,492.0,1089.0,283.0,131.0,603.0,1149.0,716.0,326.0,190.0,241.0
5.0,0.0,434.0,1059.0,165.0,971.0,1009.0,976.0,343.0,1084.0,368.0,226.0,774.0,988.0,526.0,453.0,292.0,327.0
1.0,0.0,288.0,891.0,96.0,767.0,1099.0,1151.0,223.0,984.0,495.0,313.0,1006.0,801.0,348.0,621.0,399.0,517.0
1.0,0.0,211.0,725.0,64.0,623.0,1062.0,1117.0,129.0,913.0,710.0,489.0,1062.0,623.0,262.0,764.0,545.0,700.0
0.0,0.0,119.0,543.0,32.0,449.0,1156.0,983.0,88.0,738.0,925.0,672.0,1152.0,473.0,151.0,938.0,707.0,874.0
0.0,0.0,79.0,399.0,16.0,315.0,914.0,941.0,37.0,558.0,1188.0,913.0,1012.0,302.0,98.0,1126.0,960.0,1142.0
0.0,0.0,36.0,301.0,4.0,217.0,693.0,783.0,26.0,402.0,1287.0,1183.0,1022.0,230.0,52.0,1320.0,1187.0,1257.0
0.0,0.0,21.0,192.0,3.0,118.0,565.0,572.0,13.0,290.0,1454.0,1501.0,848.0,125.0,23.0,1362.0,1522.0,1391.0
0.0,0.0,9.0,113.0,2.0,65.0,387.0,339.0,5.0,160.0,1522.0,1887.0,655.0,82.0,19.0,1414.0,1766.0,1575.0
0.0,0.0,3.0,31.0,0.0,20.0,213.0,207.0,0.0,80.0,1430.0,2530.0,433.0,29.0,5.0,1209.0,2196.0,1614.0
