Barcelona,Atlético Madrid,Real Betis,Real Madrid,Sevilla,Alavés,Deportivo La Coruña,Real Sociedad,Villarreal,Athletic Club,Getafe,Rayo Vallecano,Osasuna,Celta Vigo,Espanyol,Racing Santander,Levante,Elche,Valencia,Málaga
9255.0,83.0,22.0,638.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
684.0,1929.0,662.0,6495.0,17.0,11.0,1.0,23.0,143.0,7.0,0.0,6.0,0.0,17.0,0.0,0.0,3.0,2.0,0.0,0.0
53.0,4331.0,2138.0,2031.0,164.0,133.0,22.0,164.0,664.0,56.0,12.0,70.0,12.0,123.0,4.0,0.0,11.0,9.0,3.0,0.0
5.0,2093.0,3230.0,592.0,529.0,372.0,106.0,490.0,1512.0,224.0,57.0,166.0,70.0,377.0,56.0,0.0,66.0,47.0,8.0,0.0
2.0,831.0,1747.0,159.0,964.0,794.0,248.0,918.0,2072.0,437.0,161.0,390.0,128.0,727.0,145.0,5.0,151.0,98.0,23.0,0.0
0.0,362.0,893.0,57.0,1103.0,940.0,406.0,1087.0,1618.0,691.0,304.0,578.0,245.0,940.0,240.0,8.0,256.0,188.0,84.0,0.0
1.0,176.0,514.0,16.0,1140.0,1071.0,545.0,1143.0,1117.0,739.0,401.0,696.0,331.0,1017.0,311.0,8.0,371.0,289.0,114.0,0.0
0.0,86.0,313.0,5.0,1081.0,1010.0,641.0,1014.0,829.0,851.0,517.0,793.0,427.0,998.0,440.0,15.0,458.0,348.0,174.0,0.0
0.0,43.0,181.0,3.0,909.0,956.0,733.0,903.0,585.0,874.0,619.0,827.0,521.0,945.0,579.0,22.0,612.0,486.0,200.0,2.0
0.0,28.0,102.0,1.0,889.0,896.0,760.0,845.0,426.0,883.0,696.0,869.0,627.0,805.0,607.0,41.0,634.0,565.0,326.0,0.0
0.0,18.0,75.0,1.0,702.0,779.0,854.0,760.0,306.0,815.0,703.0,870.0,696.0,817.0,751.0,69.0,735.0,641.0,408.0,0.0
0.0,14.0,61.0,2.0,611.0,714.0,801.0,662.0,263.0,824.0,852.0,867.0,778.0,703.0,746.0,109.0,750.0,779.0,462.0,2.0
0.0,4.0,26.0,0.0,515.0,577.0,853.0,553.0,182.0,770.0,850.0,812.0,778.0,606.0,869.0,172.0,936.0,856.0,628.0,13.0
0.0,0.0,13.0,0.0,461.0,531.0,890.0,456.0,116.0,720.0,969.0,697.0,907.0,514.0,911.0,255.0,904.0,933.0,702.0,21.0
0.0,1.0,10.0,0.0,345.0,392.0,818.0,341.0,77.0,627.0,925.0,713.0,1049.0,460.0,924.0,392.0,921.0,1012.0,958.0,35.0
0.0,1.0,7.0,0.0,256.0,363.0,797.0,273.0,45.0,518.0,935.0,587.0,1031.0,392.0,1037.0,531.0,992.0,1061.0,1099.0,75.0
0.0,0.0,4.0,0.0,171.0,269.0,697.0,179.0,26.0,472.0,861.0,507.0,951.0,294.0,981.0,971.0,903.0,1114.0,1418.0,182.0
0.0,0.0,2.0,0.0,101.0,137.0,524.0,122.0,16.0,318.0,697.0,362.0,871.0,168.0,833.0,1772.0,808.0,930.0,1817.0,522.0
0.0,0.0,0.0,0.0,37.0,49.0,270.0,57.0,2.0,147.0,379.0,163.0,490.0,88.0,475.0,3787.0,406.0,531.0,1303.0,1816.0
0.0,0.0,0.0,0.0,5.0,6.0,34.0,10.0,0.0,27.0,62.0,27.0,88.0,8.0,91.0,1843.0,83.0,111.0,273.0,7332.0
