AZ Alkmaar,Feyenoord Rotterdam,PSV Eindhoven,FC Twente,Ajax Amsterdam,Fortuna Sittard,Excelsior,FC Groningen,Go Ahead Eagles,Heerenveen,NEC Nijmegen,Sparta Rotterdam,Telstar,SC Cambuur,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II
542.0,2008.0,6314.0,610.0,495.0,4.0,5.0,6.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1491.0,3042.0,2283.0,1537.0,1447.0,9.0,25.0,55.0,46.0,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118.0,2179.0,866.0,2125.0,2116.0,29.0,84.0,168.0,107.0,66.0,129.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0
2151.0,1420.0,339.0,2201.0,2256.0,79.0,254.0,434.0,297.0,230.0,290.0,0.0,8.0,0.0,41.0,0.0,0.0,0.0
1786.0,784.0,139.0,1815.0,1878.0,235.0,566.0,904.0,574.0,508.0,652.0,6.0,38.0,0.0,115.0,0.0,0.0,0.0
941.0,335.0,40.0,872.0,915.0,567.0,1074.0,1538.0,1083.0,997.0,1250.0,21.0,107.0,1.0,258.0,1.0,0.0,0.0
475.0,136.0,14.0,421.0,415.0,859.0,1358.0,1538.0,1472.0,1228.0,1356.0,47.0,212.0,0.0,464.0,5.0,0.0,0.0
226.0,55.0,4.0,224.0,252.0,1042.0,1397.0,1471.0,1394.0,1386.0,1494.0,76.0,302.0,3.0,651.0,23.0,0.0,0.0
150.0,26.0,1.0,104.0,129.0,1238.0,1338.0,1206.0,1372.0,1438.0,1379.0,145.0,483.0,15.0,942.0,33.0,1.0,0.0
67.0,11.0,0.0,57.0,53.0,1475.0,1227.0,979.0,1220.0,1312.0,1204.0,305.0,762.0,37.0,1189.0,96.0,4.0,2.0
40.0,4.0,0.0,17.0,29.0,1540.0,1055.0,780.0,1028.0,1139.0,968.0,506.0,1083.0,71.0,1524.0,204.0,11.0,1.0
6.0,0.0,0.0,14.0,14.0,1308.0,829.0,503.0,685.0,839.0,687.0,1028.0,1663.0,201.0,1769.0,404.0,44.0,6.0
5.0,0.0,0.0,2.0,0.0,962.0,497.0,257.0,459.0,510.0,371.0,1678.0,2195.0,497.0,1488.0,913.0,135.0,31.0
1.0,0.0,0.0,1.0,0.0,441.0,206.0,121.0,180.0,220.0,130.0,2552.0,1682.0,1215.0,912.0,1829.0,394.0,116.0
1.0,0.0,0.0,0.0,1.0,163.0,68.0,30.0,63.0,72.0,44.0,1992.0,918.0,2261.0,412.0,2615.0,997.0,363.0
0.0,0.0,0.0,0.0,0.0,44.0,13.0,8.0,13.0,21.0,3.0,1079.0,409.0,3042.0,170.0,2230.0,1989.0,979.0
0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,3.0,0.0,438.0,116.0,1890.0,48.0,1260.0,3804.0,2431.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,127.0,21.0,767.0,5.0,387.0,2621.0,6071.0
