AS Monaco,Lyon,Paris FC,Lille,Stade Rennais,Paris Saint-Germain,Angers,Strasbourg,Le Mans,AJ Auxerre,Brest,Lorient,Toulouse,Nice,Lens,Troyes,Marseille,Le Havre AC
1512.0,1408.0,328.0,847.0,314.0,5006.0,3.0,120.0,0.0,5.0,2.0,12.0,13.0,0.0,367.0,0.0,63.0,0.0
1954.0,1840.0,646.0,1368.0,678.0,2210.0,3.0,263.0,3.0,15.0,16.0,32.0,58.0,0.0,765.0,0.0,148.0,1.0
1730.0,1642.0,852.0,1476.0,964.0,1131.0,21.0,492.0,4.0,34.0,38.0,73.0,123.0,6.0,1108.0,0.0,302.0,4.0
1418.0,1360.0,1037.0,1458.0,1093.0,704.0,41.0,725.0,16.0,50.0,61.0,152.0,217.0,7.0,1206.0,0.0,441.0,14.0
1065.0,1086.0,1200.0,1239.0,1247.0,427.0,69.0,868.0,63.0,121.0,135.0,234.0,289.0,28.0,1242.0,0.0,656.0,31.0
749.0,854.0,1229.0,1032.0,1219.0,235.0,116.0,1099.0,91.0,206.0,238.0,373.0,438.0,54.0,1253.0,1.0,767.0,46.0
610.0,622.0,1158.0,852.0,1129.0,146.0,230.0,1153.0,149.0,314.0,312.0,501.0,630.0,64.0,1092.0,1.0,965.0,72.0
379.0,448.0,966.0,575.0,1016.0,65.0,373.0,1132.0,250.0,446.0,454.0,672.0,830.0,127.0,934.0,3.0,1167.0,163.0
242.0,276.0,764.0,441.0,786.0,37.0,502.0,1090.0,359.0,618.0,685.0,901.0,940.0,225.0,699.0,8.0,1196.0,231.0
150.0,200.0,614.0,289.0,551.0,16.0,721.0,861.0,533.0,747.0,866.0,1041.0,1135.0,334.0,507.0,11.0,1080.0,344.0
98.0,113.0,446.0,182.0,372.0,10.0,895.0,699.0,722.0,938.0,1045.0,1110.0,1115.0,504.0,329.0,30.0,896.0,496.0
42.0,68.0,295.0,125.0,254.0,9.0,1037.0,548.0,890.0,1148.0,1101.0,1047.0,1059.0,655.0,218.0,61.0,763.0,680.0
29.0,46.0,203.0,61.0,174.0,4.0,1179.0,385.0,1101.0,1087.0,1109.0,1030.0,960.0,926.0,125.0,100.0,561.0,920.0
14.0,18.0,138.0,33.0,102.0,0.0,1170.0,247.0,1280.0,1168.0,1087.0,971.0,759.0,1182.0,79.0,193.0,425.0,1134.0
5.0,14.0,72.0,13.0,57.0,0.0,1220.0,176.0,1349.0,1153.0,1051.0,778.0,642.0,1439.0,34.0,389.0,274.0,1334.0
3.0,4.0,35.0,8.0,33.0,0.0,1133.0,97.0,1402.0,953.0,872.0,609.0,448.0,1685.0,24.0,790.0,190.0,1714.0
0.0,1.0,16.0,0.0,9.0,0.0,977.0,41.0,1245.0,734.0,706.0,358.0,264.0,1823.0,13.0,1812.0,91.0,1910.0
0.0,0.0,1.0,1.0,2.0,0.0,310.0,4.0,543.0,263.0,222.0,106.0,80.0,941.0,5.0,6601.0,15.0,906.0
