Borussia Dortmund,Bayern Munich,SC Freiburg,FC Augsburg,Bayer Leverkusen,Mainz,SV Elversberg,Werder Bremen,RB Leipzig,Eintracht Frankfurt,Schalke 04,SC Paderborn 07,FC Cologne,TSG Hoffenheim,VfB Stuttgart,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach
1405.0,8417.0,20.0,1.0,97.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0,1.0,3.0,14.0,0.0,0.0,0.0
6297.0,1434.0,380.0,45.0,877.0,66.0,6.0,8.0,526.0,23.0,0.0,0.0,1.0,47.0,289.0,0.0,0.0,1.0
1415.0,124.0,1389.0,294.0,2687.0,405.0,48.0,72.0,1796.0,161.0,1.0,0.0,25.0,380.0,1187.0,7.0,3.0,6.0
513.0,19.0,1643.0,461.0,2080.0,620.0,133.0,142.0,1848.0,328.0,19.0,1.0,69.0,638.0,1434.0,32.0,5.0,15.0
208.0,6.0,1525.0,747.0,1402.0,865.0,254.0,272.0,1601.0,547.0,21.0,11.0,140.0,854.0,1464.0,43.0,14.0,26.0
68.0,0.0,1291.0,930.0,1010.0,1097.0,403.0,402.0,1255.0,712.0,50.0,15.0,256.0,1014.0,1329.0,90.0,26.0,52.0
48.0,0.0,1084.0,1020.0,657.0,1179.0,564.0,570.0,976.0,884.0,103.0,28.0,365.0,1110.0,1102.0,146.0,70.0,94.0
26.0,0.0,827.0,1122.0,453.0,1158.0,703.0,716.0,707.0,1004.0,156.0,72.0,513.0,1164.0,905.0,204.0,132.0,138.0
9.0,0.0,619.0,1106.0,300.0,1095.0,852.0,911.0,448.0,1027.0,268.0,118.0,687.0,1090.0,700.0,301.0,200.0,269.0
8.0,0.0,443.0,1030.0,210.0,944.0,978.0,1037.0,314.0,1045.0,355.0,241.0,808.0,953.0,550.0,476.0,268.0,340.0
3.0,0.0,295.0,915.0,94.0,787.0,1124.0,1056.0,208.0,1068.0,481.0,322.0,996.0,788.0,391.0,601.0,364.0,507.0
0.0,0.0,199.0,720.0,69.0,617.0,1130.0,1085.0,139.0,895.0,683.0,438.0,1046.0,650.0,253.0,834.0,519.0,723.0
0.0,0.0,132.0,549.0,33.0,442.0,1024.0,1054.0,63.0,746.0,946.0,670.0,1142.0,507.0,166.0,982.0,687.0,857.0
0.0,0.0,72.0,430.0,18.0,327.0,912.0,925.0,37.0,560.0,1121.0,942.0,1133.0,342.0,99.0,1093.0,919.0,1070.0
0.0,0.0,46.0,290.0,6.0,201.0,732.0,708.0,25.0,438.0,1328.0,1198.0,987.0,227.0,58.0,1278.0,1207.0,1271.0
0.0,0.0,27.0,193.0,6.0,107.0,540.0,487.0,11.0,325.0,1446.0,1566.0,800.0,141.0,39.0,1331.0,1488.0,1493.0
0.0,0.0,7.0,96.0,1.0,62.0,397.0,345.0,6.0,161.0,1532.0,1926.0,643.0,65.0,15.0,1332.0,1866.0,1546.0
0.0,0.0,1.0,51.0,0.0,27.0,200.0,210.0,0.0,75.0,1490.0,2452.0,388.0,27.0,5.0,1250.0,2232.0,1592.0
