Barcelona,Atlético Madrid,Real Betis,Real Madrid,Sevilla,Alavés,Deportivo La Coruña,Real Sociedad,Villarreal,Athletic Club,Getafe,Rayo Vallecano,Osasuna,Celta Vigo,Espanyol,Racing Santander,Levante,Elche,Valencia,Málaga
9243.0,98.0,18.0,638.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673.0,1914.0,696.0,6466.0,29.0,17.0,1.0,26.0,142.0,8.0,1.0,6.0,4.0,13.0,1.0,0.0,2.0,1.0,0.0,0.0
79.0,4269.0,2164.0,2099.0,160.0,109.0,22.0,123.0,693.0,57.0,12.0,44.0,10.0,126.0,15.0,0.0,13.0,4.0,1.0,0.0
4.0,2091.0,3192.0,569.0,523.0,414.0,94.0,493.0,1582.0,208.0,63.0,189.0,43.0,361.0,49.0,0.0,67.0,46.0,12.0,0.0
1.0,859.0,1711.0,159.0,882.0,790.0,233.0,901.0,2176.0,472.0,153.0,353.0,161.0,738.0,123.0,0.0,161.0,92.0,35.0,0.0
0.0,375.0,897.0,43.0,1145.0,982.0,420.0,1092.0,1602.0,655.0,245.0,612.0,240.0,969.0,223.0,6.0,270.0,185.0,39.0,0.0
0.0,176.0,504.0,17.0,1184.0,1036.0,559.0,1148.0,1066.0,784.0,390.0,690.0,373.0,970.0,316.0,7.0,408.0,272.0,100.0,0.0
0.0,98.0,322.0,5.0,1034.0,995.0,659.0,1017.0,725.0,890.0,541.0,800.0,436.0,970.0,463.0,15.0,469.0,387.0,174.0,0.0
0.0,57.0,199.0,3.0,951.0,909.0,778.0,947.0,561.0,828.0,561.0,860.0,538.0,973.0,526.0,30.0,600.0,485.0,192.0,2.0
0.0,30.0,105.0,0.0,849.0,886.0,752.0,860.0,434.0,853.0,715.0,863.0,601.0,858.0,592.0,59.0,663.0,545.0,332.0,3.0
0.0,14.0,82.0,1.0,775.0,788.0,806.0,723.0,322.0,864.0,747.0,859.0,628.0,780.0,742.0,73.0,726.0,667.0,396.0,7.0
0.0,14.0,47.0,0.0,627.0,668.0,861.0,657.0,262.0,807.0,839.0,795.0,809.0,667.0,797.0,111.0,795.0,729.0,507.0,8.0
0.0,3.0,26.0,0.0,474.0,625.0,840.0,553.0,148.0,741.0,935.0,820.0,888.0,585.0,862.0,159.0,826.0,885.0,620.0,10.0
0.0,1.0,22.0,0.0,452.0,528.0,875.0,476.0,118.0,728.0,886.0,755.0,853.0,580.0,908.0,253.0,886.0,922.0,737.0,20.0
0.0,0.0,9.0,0.0,336.0,440.0,795.0,375.0,66.0,631.0,919.0,700.0,993.0,485.0,986.0,368.0,920.0,1020.0,914.0,43.0
0.0,1.0,5.0,0.0,252.0,350.0,808.0,274.0,58.0,530.0,918.0,610.0,1002.0,380.0,977.0,670.0,952.0,1024.0,1120.0,69.0
0.0,0.0,1.0,0.0,171.0,258.0,704.0,185.0,29.0,448.0,895.0,521.0,978.0,268.0,1033.0,941.0,894.0,1084.0,1423.0,167.0
0.0,0.0,0.0,0.0,111.0,151.0,479.0,110.0,10.0,338.0,759.0,366.0,863.0,191.0,837.0,1701.0,790.0,1012.0,1779.0,503.0
0.0,0.0,0.0,0.0,42.0,46.0,275.0,35.0,2.0,142.0,369.0,134.0,489.0,80.0,471.0,3794.0,486.0,546.0,1315.0,1774.0
0.0,0.0,0.0,0.0,3.0,8.0,39.0,5.0,1.0,16.0,52.0,23.0,91.0,6.0,79.0,1813.0,72.0,94.0,304.0,7394.0
