Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Santos,Coritiba,Red Bull Bragantino,São Paulo,Botafogo,Vitória,Corinthians,Mirassol,Vasco da Gama,Grêmio,Internacional,Remo,Chapecoense
7969.0,2024.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,7822.0,103.0,49.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,143.0,4847.0,3372.0,495.0,1031.0,79.0,4.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,10.0,2824.0,3548.0,1286.0,1956.0,257.0,47.0,6.0,23.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1437.0,1919.0,2569.0,2829.0,793.0,120.0,21.0,113.0,124.0,66.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,540.0,797.0,3077.0,2421.0,1642.0,373.0,116.0,370.0,365.0,262.0,1.0,5.0,20.0,11.0,0.0,0.0,0.0,0.0
0.0,0.0,182.0,219.0,1470.0,1127.0,2803.0,995.0,324.0,1010.0,916.0,772.0,16.0,23.0,87.0,54.0,0.0,2.0,0.0,0.0
0.0,0.0,45.0,69.0,639.0,407.0,1716.0,1445.0,637.0,1637.0,1607.0,1243.0,58.0,88.0,221.0,177.0,7.0,4.0,0.0,0.0
0.0,0.0,13.0,16.0,261.0,141.0,1138.0,1579.0,940.0,1608.0,1701.0,1553.0,130.0,193.0,359.0,328.0,29.0,11.0,0.0,0.0
0.0,0.0,3.0,8.0,120.0,52.0,719.0,1448.0,1403.0,1487.0,1469.0,1522.0,237.0,351.0,609.0,471.0,67.0,34.0,0.0,0.0
0.0,0.0,0.0,1.0,47.0,18.0,411.0,1274.0,1579.0,1221.0,1324.0,1367.0,400.0,591.0,858.0,710.0,132.0,67.0,0.0,0.0
0.0,0.0,1.0,0.0,22.0,8.0,231.0,1061.0,1578.0,936.0,927.0,1169.0,583.0,935.0,1180.0,998.0,221.0,150.0,0.0,0.0
0.0,0.0,0.0,0.0,9.0,0.0,114.0,777.0,1380.0,671.0,676.0,849.0,853.0,1176.0,1366.0,1336.0,479.0,312.0,2.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,70.0,464.0,935.0,459.0,452.0,568.0,1234.0,1523.0,1504.0,1503.0,698.0,578.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,23.0,245.0,581.0,239.0,250.0,363.0,1617.0,1613.0,1472.0,1540.0,1131.0,889.0,37.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.0,327.0,138.0,100.0,178.0,1902.0,1528.0,1131.0,1373.0,1637.0,1454.0,112.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,136.0,61.0,44.0,65.0,1762.0,1208.0,784.0,925.0,2336.0,2328.0,296.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,17.0,7.0,15.0,1110.0,675.0,368.0,496.0,2689.0,3424.0,1119.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,97.0,90.0,36.0,75.0,565.0,725.0,7610.0,798.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,22.0,814.0,9154.0
