AZ Alkmaar,Feyenoord Rotterdam,PSV Eindhoven,FC Twente,Ajax Amsterdam,Fortuna Sittard,Excelsior,FC Groningen,Go Ahead Eagles,Heerenveen,NEC Nijmegen,Sparta Rotterdam,Telstar,SC Cambuur,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II
556.0,2002.0,6370.0,548.0,499.0,0.0,2.0,9.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1554.0,3048.0,2223.0,1483.0,1473.0,11.0,32.0,74.0,43.0,16.0,40.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2156.0,2166.0,835.0,2156.0,2091.0,36.0,68.0,179.0,100.0,74.0,125.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
2087.0,1401.0,367.0,2237.0,2305.0,76.0,244.0,406.0,292.0,200.0,324.0,3.0,6.0,0.0,52.0,0.0,0.0,0.0
1779.0,781.0,147.0,1853.0,1829.0,236.0,556.0,891.0,610.0,469.0,695.0,2.0,33.0,0.0,118.0,1.0,0.0,0.0
917.0,346.0,39.0,836.0,876.0,557.0,1090.0,1525.0,1159.0,1005.0,1230.0,20.0,104.0,1.0,292.0,2.0,1.0,0.0
481.0,140.0,9.0,437.0,490.0,813.0,1371.0,1537.0,1353.0,1276.0,1388.0,41.0,215.0,1.0,438.0,10.0,0.0,0.0
254.0,59.0,7.0,250.0,239.0,1015.0,1369.0,1485.0,1401.0,1297.0,1463.0,84.0,342.0,5.0,716.0,14.0,0.0,0.0
119.0,30.0,1.0,104.0,102.0,1284.0,1409.0,1273.0,1411.0,1364.0,1278.0,155.0,483.0,9.0,929.0,49.0,0.0,0.0
63.0,19.0,2.0,48.0,52.0,1414.0,1282.0,997.0,1201.0,1371.0,1226.0,288.0,784.0,35.0,1123.0,92.0,3.0,0.0
26.0,7.0,0.0,29.0,25.0,1536.0,1057.0,739.0,965.0,1165.0,974.0,519.0,1098.0,72.0,1579.0,198.0,11.0,0.0
6.0,0.0,0.0,12.0,12.0,1371.0,777.0,488.0,750.0,890.0,682.0,915.0,1685.0,197.0,1745.0,425.0,41.0,4.0
1.0,1.0,0.0,6.0,7.0,942.0,445.0,259.0,434.0,541.0,383.0,1805.0,2169.0,485.0,1441.0,913.0,144.0,24.0
1.0,0.0,0.0,1.0,0.0,486.0,223.0,105.0,197.0,225.0,144.0,2565.0,1717.0,1131.0,937.0,1756.0,416.0,96.0
0.0,0.0,0.0,0.0,0.0,173.0,65.0,27.0,66.0,85.0,34.0,1927.0,845.0,2343.0,430.0,2650.0,1041.0,314.0
0.0,0.0,0.0,0.0,0.0,45.0,8.0,5.0,11.0,13.0,8.0,1113.0,395.0,3045.0,140.0,2200.0,2006.0,1011.0
0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,4.0,0.0,440.0,105.0,1918.0,39.0,1284.0,3710.0,2488.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,19.0,758.0,4.0,406.0,2627.0,6063.0
