Manchester City,Arsenal,Brighton & Hove Albion,Brentford,Leeds United,Liverpool,Everton,Hull City,Newcastle United,Chelsea,Ipswich Town,Manchester United,Nottingham Forest,Sunderland,Crystal Palace,Aston Villa,AFC Bournemouth,Coventry City,Fulham,Tottenham Hotspur
5683.0,3617.0,337.0,80.0,27.0,119.0,22.0,0.0,8.0,26.0,0.0,69.0,3.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0
2958.0,4250.0,1016.0,380.0,137.0,521.0,133.0,3.0,58.0,104.0,0.0,332.0,26.0,8.0,1.0,36.0,30.0,0.0,6.0,1.0
812.0,1259.0,2192.0,1100.0,502.0,1463.0,407.0,24.0,301.0,427.0,3.0,1028.0,131.0,32.0,24.0,150.0,114.0,0.0,24.0,7.0
310.0,460.0,1739.0,1244.0,774.0,1459.0,621.0,80.0,447.0,631.0,2.0,1213.0,249.0,97.0,31.0,262.0,287.0,0.0,76.0,18.0
116.0,189.0,1287.0,1200.0,948.0,1318.0,763.0,138.0,583.0,764.0,8.0,1234.0,354.0,145.0,63.0,378.0,400.0,0.0,87.0,25.0
56.0,111.0,967.0,1117.0,907.0,1130.0,823.0,202.0,722.0,847.0,14.0,1058.0,479.0,215.0,104.0,516.0,490.0,0.0,196.0,46.0
32.0,57.0,658.0,976.0,987.0,905.0,922.0,229.0,773.0,940.0,19.0,1027.0,552.0,309.0,149.0,554.0,611.0,0.0,227.0,73.0
14.0,33.0,501.0,855.0,897.0,729.0,947.0,345.0,880.0,860.0,35.0,826.0,694.0,386.0,208.0,686.0,693.0,0.0,311.0,100.0
8.0,12.0,386.0,709.0,853.0,619.0,904.0,466.0,864.0,855.0,43.0,762.0,693.0,454.0,298.0,751.0,786.0,0.0,379.0,158.0
4.0,10.0,284.0,631.0,803.0,459.0,807.0,581.0,799.0,836.0,129.0,595.0,753.0,551.0,390.0,812.0,839.0,0.0,484.0,233.0
3.0,1.0,218.0,476.0,709.0,378.0,783.0,706.0,792.0,743.0,140.0,479.0,866.0,670.0,426.0,800.0,922.0,4.0,595.0,289.0
1.0,1.0,138.0,364.0,574.0,310.0,689.0,804.0,849.0,700.0,167.0,407.0,835.0,769.0,576.0,882.0,789.0,0.0,722.0,423.0
2.0,0.0,119.0,300.0,542.0,211.0,596.0,900.0,756.0,577.0,286.0,314.0,879.0,872.0,688.0,806.0,827.0,9.0,783.0,533.0
0.0,0.0,61.0,219.0,445.0,158.0,500.0,972.0,612.0,537.0,440.0,229.0,849.0,995.0,847.0,813.0,757.0,11.0,933.0,622.0
0.0,0.0,46.0,137.0,325.0,94.0,434.0,982.0,519.0,444.0,642.0,184.0,783.0,1007.0,1019.0,726.0,751.0,25.0,999.0,883.0
1.0,0.0,30.0,108.0,245.0,65.0,264.0,1062.0,399.0,292.0,893.0,117.0,693.0,1055.0,1173.0,683.0,625.0,43.0,1163.0,1089.0
0.0,0.0,17.0,59.0,177.0,36.0,210.0,1000.0,333.0,225.0,1332.0,70.0,560.0,911.0,1344.0,534.0,489.0,138.0,1117.0,1448.0
0.0,0.0,4.0,30.0,105.0,21.0,121.0,868.0,192.0,131.0,1985.0,44.0,358.0,843.0,1349.0,386.0,382.0,355.0,1062.0,1764.0
0.0,0.0,0.0,14.0,41.0,5.0,48.0,581.0,101.0,59.0,3019.0,11.0,217.0,609.0,1134.0,206.0,183.0,1195.0,715.0,1862.0
0.0,0.0,0.0,1.0,2.0,0.0,6.0,57.0,12.0,2.0,843.0,1.0,26.0,72.0,175.0,17.0,20.0,8220.0,121.0,425.0
