AS Roma,Internazionale,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Como,Napoli,Sassuolo,Atalanta,Lecce,Udinese,Torino,Parma,Monza,Fiorentina,Bologna,Genoa,Venezia
2460.0,5548.0,86.0,6.0,260.0,11.0,538.0,952.0,120.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2929.0,2441.0,288.0,39.0,751.0,36.0,1216.0,1839.0,362.0,16.0,78.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
1943.0,1075.0,547.0,128.0,1250.0,120.0,1801.0,2171.0,697.0,50.0,181.0,1.0,20.0,1.0,1.0,0.0,6.0,8.0,0.0,0.0
1203.0,517.0,852.0,271.0,1544.0,264.0,1823.0,1773.0,1132.0,121.0,401.0,0.0,43.0,12.0,5.0,1.0,13.0,23.0,2.0,0.0
678.0,238.0,1245.0,446.0,1633.0,441.0,1534.0,1256.0,1402.0,223.0,650.0,3.0,125.0,23.0,6.0,0.0,27.0,57.0,13.0,0.0
398.0,103.0,1421.0,731.0,1419.0,748.0,1108.0,828.0,1499.0,363.0,864.0,26.0,187.0,37.0,19.0,1.0,83.0,147.0,18.0,0.0
186.0,54.0,1443.0,935.0,1109.0,957.0,804.0,538.0,1369.0,576.0,1107.0,45.0,350.0,94.0,43.0,6.0,120.0,229.0,35.0,0.0
104.0,12.0,1227.0,1198.0,746.0,1104.0,484.0,289.0,1130.0,793.0,1319.0,89.0,578.0,173.0,76.0,19.0,227.0,369.0,63.0,0.0
51.0,9.0,960.0,1243.0,471.0,1237.0,319.0,167.0,813.0,1021.0,1238.0,147.0,714.0,320.0,189.0,29.0,337.0,570.0,165.0,0.0
26.0,1.0,691.0,1204.0,327.0,1135.0,171.0,77.0,570.0,1198.0,1154.0,275.0,939.0,446.0,279.0,68.0,467.0,751.0,221.0,0.0
16.0,2.0,473.0,1069.0,201.0,1076.0,96.0,66.0,391.0,1179.0,890.0,369.0,1102.0,648.0,379.0,114.0,690.0,903.0,335.0,1.0
5.0,0.0,317.0,857.0,133.0,920.0,44.0,25.0,226.0,1093.0,746.0,509.0,1204.0,824.0,564.0,185.0,860.0,1003.0,484.0,1.0
0.0,0.0,197.0,641.0,75.0,646.0,31.0,8.0,128.0,975.0,492.0,726.0,1130.0,1004.0,756.0,320.0,995.0,1236.0,634.0,6.0
1.0,0.0,109.0,485.0,51.0,489.0,19.0,7.0,81.0,732.0,355.0,978.0,971.0,1170.0,965.0,464.0,1174.0,1125.0,817.0,7.0
0.0,0.0,72.0,318.0,19.0,342.0,5.0,3.0,42.0,592.0,237.0,1147.0,834.0,1210.0,1192.0,711.0,1146.0,1084.0,1018.0,28.0
0.0,0.0,43.0,220.0,5.0,231.0,7.0,0.0,21.0,472.0,144.0,1316.0,683.0,1210.0,1316.0,959.0,1193.0,865.0,1264.0,51.0
0.0,0.0,20.0,123.0,5.0,138.0,0.0,1.0,14.0,314.0,74.0,1467.0,550.0,1109.0,1452.0,1351.0,1073.0,722.0,1447.0,140.0
0.0,0.0,7.0,67.0,0.0,75.0,0.0,0.0,2.0,188.0,40.0,1488.0,363.0,969.0,1427.0,1959.0,895.0,542.0,1631.0,347.0
0.0,0.0,1.0,18.0,1.0,29.0,0.0,0.0,1.0,85.0,13.0,1222.0,194.0,635.0,1125.0,3034.0,600.0,326.0,1560.0,1156.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,192.0,9.0,113.0,206.0,779.0,93.0,39.0,293.0,8263.0
