FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Braga,Académico de Viseu,Estrela,Moreirense,Gil Vicente,Maritimo,Alverca,FC Famalicao,Vitória de Guimaraes,C.D. Nacional,Rio Ave,Casa Pia,Estoril
6076.0,2083.0,1823.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2541.0,3896.0,3370.0,15.0,1.0,169.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
1257.0,3458.0,4181.0,151.0,22.0,819.0,5.0,3.0,1.0,39.0,0.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0
113.0,485.0,550.0,1651.0,517.0,5007.0,134.0,85.0,28.0,507.0,3.0,34.0,859.0,12.0,5.0,2.0,1.0,7.0
13.0,60.0,62.0,2628.0,1057.0,2025.0,423.0,330.0,122.0,1251.0,23.0,170.0,1717.0,41.0,33.0,8.0,1.0,36.0
0.0,13.0,12.0,1969.0,1369.0,995.0,702.0,595.0,268.0,1464.0,37.0,346.0,1926.0,128.0,71.0,20.0,8.0,77.0
0.0,4.0,2.0,1325.0,1497.0,454.0,1056.0,833.0,455.0,1514.0,120.0,507.0,1619.0,255.0,160.0,42.0,14.0,143.0
0.0,1.0,0.0,844.0,1370.0,253.0,1190.0,1049.0,629.0,1371.0,189.0,815.0,1263.0,379.0,277.0,87.0,23.0,260.0
0.0,0.0,0.0,572.0,1091.0,127.0,1335.0,1226.0,832.0,1130.0,320.0,975.0,900.0,513.0,406.0,138.0,49.0,386.0
0.0,0.0,0.0,361.0,958.0,79.0,1222.0,1209.0,945.0,866.0,463.0,1106.0,607.0,728.0,549.0,269.0,112.0,526.0
0.0,0.0,0.0,211.0,722.0,25.0,1017.0,1136.0,1081.0,657.0,664.0,1131.0,425.0,943.0,779.0,364.0,175.0,670.0
0.0,0.0,0.0,117.0,479.0,15.0,934.0,990.0,1158.0,454.0,813.0,1167.0,243.0,1106.0,929.0,493.0,264.0,838.0
0.0,0.0,0.0,82.0,394.0,13.0,651.0,820.0,1101.0,309.0,1036.0,1016.0,167.0,1194.0,1045.0,704.0,382.0,1086.0
0.0,0.0,0.0,34.0,242.0,0.0,504.0,675.0,1053.0,212.0,1198.0,908.0,96.0,1176.0,1209.0,958.0,566.0,1169.0
0.0,0.0,0.0,18.0,138.0,0.0,364.0,463.0,918.0,112.0,1369.0,747.0,65.0,1142.0,1296.0,1213.0,875.0,1280.0
0.0,0.0,0.0,14.0,79.0,0.0,252.0,313.0,661.0,59.0,1404.0,530.0,35.0,1049.0,1257.0,1566.0,1368.0,1413.0
0.0,0.0,0.0,7.0,50.0,1.0,148.0,189.0,483.0,39.0,1395.0,350.0,9.0,833.0,1161.0,1980.0,2131.0,1224.0
0.0,0.0,0.0,1.0,14.0,0.0,63.0,84.0,265.0,14.0,966.0,196.0,1.0,501.0,823.0,2156.0,4031.0,885.0
