AS Monaco,Lyon,Paris FC,Lille,Stade Rennais,Paris Saint-Germain,Angers,Strasbourg,Le Mans,AJ Auxerre,Brest,Lorient,Toulouse,Nice,Lens,Troyes,Marseille,Le Havre AC
1571.0,1371.0,311.0,913.0,346.0,4895.0,2.0,126.0,0.0,0.0,7.0,13.0,14.0,0.0,384.0,0.0,47.0,0.0
1950.0,1815.0,631.0,1318.0,710.0,2247.0,6.0,261.0,2.0,14.0,8.0,38.0,61.0,2.0,776.0,0.0,159.0,2.0
1643.0,1672.0,909.0,1493.0,942.0,1171.0,16.0,485.0,6.0,36.0,32.0,79.0,121.0,4.0,1096.0,0.0,293.0,2.0
1374.0,1362.0,1055.0,1411.0,1151.0,705.0,42.0,750.0,14.0,58.0,59.0,157.0,207.0,10.0,1190.0,0.0,436.0,19.0
1030.0,1067.0,1230.0,1197.0,1206.0,434.0,79.0,961.0,43.0,128.0,132.0,213.0,327.0,22.0,1254.0,0.0,651.0,26.0
830.0,895.0,1170.0,1085.0,1145.0,249.0,157.0,1028.0,81.0,203.0,211.0,375.0,451.0,47.0,1180.0,1.0,851.0,41.0
589.0,620.0,1174.0,840.0,1117.0,154.0,226.0,1191.0,157.0,297.0,316.0,503.0,617.0,60.0,1086.0,3.0,955.0,95.0
380.0,444.0,1022.0,621.0,1005.0,76.0,330.0,1185.0,229.0,436.0,458.0,694.0,811.0,131.0,917.0,4.0,1118.0,139.0
266.0,322.0,785.0,451.0,794.0,45.0,510.0,1072.0,384.0,587.0,665.0,842.0,970.0,217.0,709.0,5.0,1143.0,233.0
151.0,188.0,573.0,279.0,563.0,10.0,703.0,894.0,547.0,817.0,835.0,1090.0,1080.0,303.0,509.0,17.0,1065.0,376.0
109.0,116.0,412.0,173.0,384.0,8.0,879.0,685.0,706.0,934.0,1005.0,1130.0,1170.0,506.0,363.0,34.0,916.0,470.0
45.0,64.0,285.0,112.0,261.0,2.0,1054.0,481.0,920.0,1122.0,1103.0,1088.0,1018.0,727.0,236.0,60.0,723.0,699.0
33.0,36.0,205.0,56.0,181.0,2.0,1220.0,350.0,1078.0,1154.0,1155.0,1020.0,983.0,824.0,138.0,120.0,558.0,887.0
16.0,16.0,124.0,26.0,104.0,2.0,1194.0,248.0,1273.0,1165.0,1105.0,902.0,769.0,1199.0,82.0,211.0,438.0,1126.0
9.0,9.0,60.0,12.0,53.0,0.0,1248.0,152.0,1355.0,1124.0,1072.0,752.0,585.0,1462.0,46.0,352.0,317.0,1392.0
4.0,3.0,38.0,11.0,21.0,0.0,1104.0,81.0,1348.0,926.0,957.0,628.0,472.0,1709.0,22.0,786.0,208.0,1682.0
0.0,0.0,16.0,1.0,15.0,0.0,915.0,47.0,1309.0,781.0,665.0,366.0,270.0,1905.0,12.0,1705.0,89.0,1904.0
0.0,0.0,0.0,1.0,2.0,0.0,315.0,3.0,548.0,218.0,215.0,110.0,74.0,872.0,0.0,6702.0,33.0,907.0
