Swansea City,West Ham United,Middlesbrough,Wolverhampton Wanderers,West Bromwich Albion,Queens Park Rangers,Stoke City,Bristol City,Charlton Athletic,Birmingham City,Millwall,Lincoln City,Southampton,Wrexham,Bolton Wanderers,Blackburn Rovers,Norwich City,Sheffield United,Portsmouth,Watford,Cardiff City,Derby County,Preston North End,Burnley
195.0,6067.0,452.0,2637.0,10.0,8.0,9.0,18.0,0.0,18.0,74.0,0.0,471.0,12.0,0.0,4.0,19.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
601.0,2431.0,1184.0,3597.0,94.0,39.0,59.0,85.0,11.0,105.0,302.0,1.0,1281.0,59.0,1.0,4.0,86.0,38.0,5.0,1.0,0.0,11.0,0.0,5.0
1124.0,866.0,1933.0,1756.0,240.0,118.0,178.0,225.0,18.0,311.0,690.0,5.0,1926.0,162.0,1.0,24.0,245.0,87.0,19.0,11.0,0.0,34.0,1.0,26.0
1300.0,317.0,1769.0,905.0,397.0,231.0,278.0,384.0,63.0,489.0,922.0,2.0,1774.0,338.0,2.0,40.0,444.0,181.0,27.0,17.0,2.0,72.0,6.0,40.0
1305.0,158.0,1354.0,453.0,581.0,370.0,430.0,529.0,121.0,652.0,1027.0,19.0,1200.0,448.0,8.0,82.0,646.0,301.0,76.0,49.0,1.0,107.0,4.0,79.0
1092.0,72.0,913.0,275.0,678.0,474.0,542.0,620.0,171.0,796.0,1098.0,42.0,932.0,544.0,14.0,158.0,667.0,380.0,136.0,70.0,11.0,171.0,17.0,127.0
961.0,47.0,674.0,149.0,770.0,578.0,626.0,734.0,195.0,833.0,960.0,52.0,644.0,618.0,19.0,183.0,752.0,475.0,173.0,108.0,14.0,249.0,31.0,155.0
747.0,18.0,507.0,98.0,776.0,615.0,727.0,713.0,288.0,808.0,870.0,89.0,474.0,704.0,30.0,286.0,795.0,529.0,230.0,137.0,17.0,302.0,49.0,191.0
634.0,13.0,343.0,50.0,718.0,651.0,711.0,777.0,340.0,804.0,729.0,118.0,368.0,722.0,37.0,328.0,837.0,608.0,269.0,214.0,40.0,380.0,54.0,255.0
516.0,5.0,257.0,25.0,819.0,708.0,743.0,739.0,399.0,742.0,650.0,147.0,248.0,727.0,55.0,382.0,691.0,629.0,361.0,258.0,45.0,430.0,82.0,342.0
381.0,3.0,175.0,21.0,766.0,699.0,739.0,710.0,479.0,664.0,547.0,179.0,186.0,763.0,83.0,456.0,714.0,672.0,381.0,326.0,68.0,473.0,123.0,392.0
291.0,0.0,134.0,12.0,648.0,750.0,712.0,635.0,542.0,663.0,473.0,246.0,151.0,670.0,151.0,507.0,685.0,662.0,477.0,378.0,91.0,528.0,155.0,439.0
240.0,1.0,88.0,8.0,607.0,693.0,634.0,610.0,571.0,632.0,367.0,341.0,114.0,646.0,160.0,569.0,599.0,693.0,542.0,429.0,138.0,602.0,228.0,488.0
173.0,2.0,65.0,5.0,546.0,618.0,630.0,569.0,662.0,513.0,309.0,391.0,82.0,616.0,216.0,626.0,553.0,733.0,573.0,489.0,167.0,627.0,255.0,580.0
132.0,0.0,55.0,4.0,532.0,619.0,603.0,514.0,702.0,407.0,267.0,459.0,53.0,569.0,275.0,680.0,475.0,651.0,605.0,607.0,215.0,666.0,308.0,602.0
94.0,0.0,34.0,3.0,446.0,561.0,553.0,481.0,724.0,369.0,190.0,494.0,37.0,520.0,347.0,704.0,420.0,640.0,687.0,610.0,288.0,740.0,388.0,670.0
80.0,0.0,26.0,2.0,309.0,496.0,421.0,416.0,741.0,283.0,170.0,643.0,21.0,481.0,434.0,733.0,384.0,598.0,731.0,714.0,374.0,690.0,503.0,750.0
51.0,0.0,20.0,0.0,332.0,471.0,385.0,370.0,736.0,278.0,134.0,687.0,16.0,362.0,534.0,767.0,256.0,497.0,761.0,750.0,503.0,692.0,671.0,727.0
39.0,0.0,11.0,0.0,254.0,419.0,313.0,269.0,689.0,234.0,91.0,882.0,14.0,329.0,626.0,783.0,236.0,411.0,780.0,823.0,561.0,704.0,765.0,767.0
21.0,0.0,2.0,0.0,177.0,308.0,275.0,244.0,706.0,159.0,60.0,988.0,2.0,256.0,825.0,659.0,182.0,386.0,807.0,890.0,766.0,682.0,852.0,753.0
16.0,0.0,2.0,0.0,133.0,229.0,191.0,159.0,629.0,104.0,37.0,1072.0,5.0,180.0,1110.0,703.0,145.0,322.0,755.0,870.0,991.0,594.0,1029.0,724.0
4.0,0.0,1.0,0.0,90.0,171.0,123.0,113.0,524.0,84.0,17.0,1104.0,1.0,140.0,1348.0,592.0,83.0,260.0,654.0,869.0,1357.0,524.0,1233.0,708.0
1.0,0.0,0.0,0.0,53.0,111.0,81.0,59.0,398.0,44.0,12.0,1094.0,0.0,82.0,1609.0,434.0,66.0,162.0,556.0,756.0,1835.0,437.0,1547.0,663.0
2.0,0.0,1.0,0.0,24.0,63.0,37.0,27.0,291.0,8.0,4.0,945.0,0.0,52.0,2115.0,296.0,20.0,81.0,394.0,624.0,2516.0,284.0,1699.0,517.0
