Paris Saint-Germain,Lens,Lille,Marseille,AS Monaco,Lyon,Stade Rennais,Strasbourg,Lorient,Toulouse,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9872.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,9693.0,60.0,94.0,19.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,159.0,2817.0,4821.0,1198.0,586.0,400.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19.0,3077.0,2687.0,1889.0,1334.0,866.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1991.0,1290.0,2468.0,2192.0,1676.0,381.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1329.0,722.0,2320.0,2530.0,2300.0,798.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,576.0,326.0,1534.0,2570.0,3179.0,1778.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,149.0,60.0,566.0,760.0,1565.0,6070.0,404.0,351.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,6.0,19.0,13.0,639.0,4241.0,3682.0,1220.0,60.0,113.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,156.0,3451.0,3284.0,2417.0,268.0,385.0,29.0,6.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1557.0,2056.0,4220.0,854.0,1168.0,87.0,27.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,276.0,489.0,1514.0,2838.0,3990.0,645.0,218.0,29.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,112.0,494.0,3885.0,3004.0,1588.0,757.0,112.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,61.0,1672.0,1095.0,3980.0,2569.0,613.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,399.0,229.0,2936.0,4087.0,2318.0,28.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,726.0,2304.0,6506.0,405.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,415.0,8048.0,1502.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1519.0,8475.0
