Palmeiras,São Paulo,Fluminense,Flamengo,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Botafogo,Grêmio,Vasco da Gama,Internacional,Vitória,Santos,Corinthians,Chapecoense,Remo,Cruzeiro,Mirassol
6834.0,1447.0,575.0,913.0,145.0,32.0,6.0,31.0,10.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1926.0,3242.0,1556.0,2264.0,610.0,107.0,42.0,163.0,47.0,10.0,13.0,3.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
771.0,2349.0,2154.0,2446.0,1092.0,298.0,126.0,434.0,128.0,51.0,57.0,36.0,54.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
312.0,1407.0,2273.0,1819.0,1602.0,646.0,330.0,853.0,289.0,127.0,123.0,66.0,130.0,7.0,12.0,3.0,0.0,1.0,0.0,0.0
106.0,772.0,1423.0,1129.0,1953.0,1062.0,617.0,1297.0,517.0,258.0,275.0,170.0,335.0,32.0,37.0,13.0,0.0,1.0,3.0,0.0
32.0,374.0,884.0,606.0,1456.0,1370.0,984.0,1599.0,801.0,432.0,423.0,333.0,517.0,52.0,81.0,42.0,1.0,3.0,4.0,6.0
10.0,203.0,503.0,358.0,1062.0,1398.0,1104.0,1391.0,1101.0,601.0,679.0,507.0,740.0,84.0,149.0,76.0,1.0,11.0,14.0,8.0
7.0,109.0,273.0,212.0,718.0,1229.0,1238.0,1191.0,1197.0,757.0,830.0,673.0,921.0,149.0,271.0,155.0,5.0,24.0,22.0,19.0
2.0,55.0,171.0,113.0,537.0,1024.0,1216.0,931.0,1193.0,897.0,1020.0,844.0,1031.0,254.0,350.0,228.0,23.0,33.0,43.0,35.0
0.0,26.0,99.0,75.0,332.0,774.0,1078.0,681.0,1152.0,1073.0,1151.0,1021.0,1112.0,342.0,491.0,343.0,34.0,87.0,71.0,58.0
0.0,11.0,43.0,30.0,207.0,660.0,921.0,515.0,990.0,1143.0,1154.0,1141.0,1111.0,481.0,678.0,500.0,55.0,120.0,123.0,117.0
0.0,3.0,19.0,24.0,130.0,513.0,821.0,365.0,818.0,1105.0,1094.0,1148.0,1065.0,665.0,851.0,669.0,105.0,221.0,182.0,202.0
0.0,1.0,12.0,7.0,78.0,398.0,589.0,239.0,603.0,1058.0,906.0,1122.0,1000.0,835.0,1116.0,939.0,162.0,322.0,291.0,322.0
0.0,1.0,10.0,3.0,36.0,227.0,393.0,157.0,444.0,818.0,759.0,923.0,719.0,1243.0,1299.0,1184.0,317.0,512.0,447.0,508.0
0.0,0.0,1.0,1.0,25.0,132.0,260.0,93.0,300.0,657.0,621.0,780.0,513.0,1265.0,1247.0,1388.0,507.0,746.0,734.0,730.0
0.0,0.0,2.0,0.0,11.0,63.0,132.0,34.0,194.0,430.0,400.0,546.0,342.0,1327.0,1143.0,1389.0,794.0,1052.0,1025.0,1116.0
0.0,0.0,1.0,0.0,4.0,40.0,79.0,14.0,127.0,288.0,256.0,364.0,205.0,1203.0,939.0,1180.0,1170.0,1406.0,1339.0,1385.0
0.0,0.0,0.0,0.0,2.0,15.0,44.0,11.0,56.0,176.0,155.0,188.0,103.0,984.0,688.0,924.0,1603.0,1640.0,1696.0,1715.0
0.0,0.0,1.0,0.0,0.0,11.0,11.0,1.0,29.0,89.0,58.0,104.0,72.0,714.0,449.0,625.0,2187.0,1835.0,1933.0,1881.0
0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,28.0,24.0,31.0,13.0,363.0,194.0,340.0,3036.0,1986.0,2073.0,1898.0
