Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Bologna,Lazio,Sassuolo,Udinese,Torino,Parma,Genoa,Fiorentina,Cagliari,Lecce,Cremonese,Hellas Verona,Pisa
9897.0,63.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,5395.0,3240.0,1168.0,95.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2897.0,3649.0,2868.0,530.0,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1278.0,2266.0,4094.0,1891.0,417.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,337.0,722.0,1504.0,5109.0,1993.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,29.0,79.0,346.0,2004.0,5925.0,1609.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,5.0,19.0,371.0,1585.0,7577.0,243.0,151.0,39.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,28.0,341.0,3789.0,3865.0,1407.0,555.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,68.0,3163.0,3275.0,2328.0,1072.0,51.0,10.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,1996.0,1862.0,3630.0,2063.0,248.0,39.0,119.0,31.0,2.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,749.0,770.0,2075.0,4453.0,931.0,213.0,553.0,236.0,18.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,69.0,396.0,1243.0,2993.0,1236.0,2321.0,1426.0,196.0,62.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,100.0,433.0,2536.0,1990.0,2413.0,1831.0,475.0,163.0,48.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,137.0,1753.0,2529.0,1994.0,2211.0,856.0,375.0,118.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,968.0,2426.0,1509.0,2300.0,1613.0,824.0,329.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,424.0,1257.0,772.0,1315.0,3436.0,1703.0,1086.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,270.0,253.0,532.0,2259.0,4023.0,2571.0,1.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,37.0,113.0,1143.0,2794.0,5716.0,16.0,140.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,120.0,3689.0,6139.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6293.0,3703.0
