Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Fulham,Brighton & Hove Albion,Sunderland,Newcastle United,AFC Bournemouth,Crystal Palace,Leeds United,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9717.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283.0,9518.0,133.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,183.0,6589.0,2379.0,485.0,334.0,20.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,2350.0,4663.0,1525.0,1168.0,110.0,107.0,15.0,35.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,663.0,1966.0,2930.0,2786.0,619.0,545.0,143.0,251.0,51.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,210.0,717.0,2393.0,2692.0,1389.0,1187.0,337.0,678.0,156.0,143.0,79.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,38.0,173.0,1333.0,1428.0,2223.0,1689.0,752.0,1351.0,383.0,394.0,197.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,13.0,24.0,670.0,753.0,1906.0,1812.0,1214.0,1705.0,633.0,714.0,447.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,9.0,375.0,458.0,1419.0,1607.0,1599.0,1666.0,911.0,1091.0,692.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,4.0,168.0,237.0,995.0,1305.0,1696.0,1531.0,1228.0,1417.0,1066.0,349.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,90.0,81.0,706.0,883.0,1620.0,1190.0,1612.0,1759.0,1419.0,602.0,30.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,20.0,50.0,362.0,534.0,1341.0,865.0,1933.0,1761.0,1951.0,1054.0,85.0,41.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10.0,13.0,191.0,247.0,916.0,522.0,1918.0,1645.0,2247.0,1889.0,296.0,88.0,15.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,58.0,70.0,327.0,173.0,1006.0,871.0,1503.0,4174.0,1174.0,450.0,149.0,45.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,38.0,23.0,148.0,156.0,337.0,1263.0,4338.0,2060.0,1318.0,308.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,10.0,50.0,297.0,2381.0,3953.0,2342.0,949.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,35.0,1250.0,2542.0,3712.0,2450.0,4.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,854.0,2450.0,6186.0,41.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,59.0,6939.0,2987.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016.0,6984.0
