AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
1961.0,5274.0,207.0,858.0,192.0,20.0,7.0,1172.0,106.0,173.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,6.0,0.0
2358.0,2275.0,526.0,1513.0,525.0,106.0,47.0,1967.0,155.0,475.0,13.0,1.0,1.0,0.0,9.0,0.0,0.0,18.0,11.0,0.0
1920.0,1184.0,911.0,1825.0,851.0,234.0,98.0,1878.0,182.0,773.0,49.0,14.0,0.0,4.0,23.0,5.0,0.0,35.0,10.0,4.0
1387.0,662.0,1163.0,1711.0,1231.0,382.0,226.0,1614.0,198.0,1137.0,86.0,31.0,3.0,5.0,68.0,12.0,3.0,51.0,20.0,10.0
985.0,313.0,1437.0,1417.0,1384.0,619.0,400.0,1235.0,280.0,1362.0,182.0,86.0,10.0,11.0,137.0,21.0,10.0,60.0,28.0,23.0
641.0,162.0,1513.0,1003.0,1552.0,859.0,597.0,889.0,262.0,1443.0,327.0,183.0,27.0,28.0,264.0,51.0,15.0,80.0,49.0,55.0
346.0,81.0,1309.0,714.0,1345.0,1183.0,865.0,557.0,393.0,1390.0,549.0,252.0,64.0,79.0,393.0,152.0,30.0,125.0,71.0,102.0
191.0,27.0,984.0,455.0,1085.0,1373.0,1092.0,328.0,400.0,1138.0,803.0,476.0,114.0,155.0,659.0,237.0,75.0,141.0,78.0,189.0
104.0,13.0,732.0,242.0,729.0,1354.0,1318.0,188.0,482.0,760.0,1027.0,661.0,242.0,247.0,817.0,347.0,125.0,183.0,118.0,311.0
53.0,6.0,485.0,131.0,459.0,1116.0,1294.0,81.0,505.0,486.0,1166.0,921.0,352.0,375.0,1035.0,546.0,199.0,210.0,143.0,437.0
24.0,2.0,306.0,68.0,263.0,887.0,1093.0,45.0,487.0,367.0,1174.0,1040.0,532.0,538.0,1129.0,738.0,327.0,251.0,178.0,551.0
14.0,0.0,204.0,28.0,171.0,642.0,838.0,22.0,519.0,217.0,1121.0,1083.0,694.0,745.0,1082.0,891.0,505.0,261.0,209.0,754.0
4.0,1.0,103.0,17.0,93.0,447.0,670.0,18.0,563.0,124.0,953.0,1120.0,876.0,828.0,1003.0,1079.0,634.0,291.0,234.0,942.0
8.0,0.0,66.0,9.0,52.0,334.0,525.0,3.0,554.0,70.0,783.0,971.0,1045.0,1026.0,915.0,1062.0,889.0,356.0,284.0,1048.0
3.0,0.0,30.0,6.0,32.0,183.0,351.0,2.0,552.0,44.0,615.0,969.0,1159.0,1186.0,757.0,1140.0,1023.0,418.0,357.0,1173.0
0.0,0.0,15.0,3.0,22.0,120.0,272.0,1.0,687.0,20.0,469.0,790.0,1275.0,1221.0,645.0,1077.0,1237.0,495.0,467.0,1184.0
1.0,0.0,6.0,0.0,9.0,68.0,169.0,0.0,718.0,13.0,359.0,617.0,1251.0,1281.0,512.0,1074.0,1467.0,624.0,650.0,1181.0
0.0,0.0,3.0,0.0,3.0,56.0,92.0,0.0,973.0,6.0,198.0,454.0,1280.0,1139.0,315.0,895.0,1697.0,935.0,891.0,1063.0
0.0,0.0,0.0,0.0,2.0,13.0,39.0,0.0,1132.0,2.0,95.0,260.0,821.0,824.0,188.0,524.0,1292.0,2080.0,2014.0,714.0
0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,852.0,0.0,27.0,70.0,254.0,308.0,48.0,149.0,472.0,3368.0,4182.0,259.0
