Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
8741.0,7.0,1.0,169.0,765.0,145.0,0.0,5.0,0.0,3.0,32.0,64.0,13.0,0.0,0.0,0.0,7.0,48.0
996.0,191.0,71.0,1661.0,4563.0,388.0,34.0,77.0,25.0,59.0,154.0,731.0,255.0,8.0,1.0,18.0,45.0,723.0
206.0,472.0,168.0,2255.0,2203.0,457.0,115.0,229.0,79.0,148.0,187.0,1379.0,543.0,44.0,7.0,77.0,81.0,1350.0
37.0,674.0,331.0,1763.0,1093.0,406.0,241.0,436.0,154.0,302.0,250.0,1533.0,889.0,93.0,25.0,130.0,78.0,1565.0
17.0,846.0,469.0,1319.0,599.0,417.0,384.0,648.0,276.0,424.0,213.0,1438.0,1062.0,179.0,38.0,220.0,98.0,1353.0
2.0,993.0,634.0,876.0,345.0,358.0,570.0,807.0,391.0,575.0,229.0,1176.0,1055.0,230.0,88.0,361.0,119.0,1191.0
0.0,1012.0,679.0,663.0,182.0,383.0,680.0,825.0,507.0,679.0,246.0,965.0,1102.0,405.0,134.0,479.0,113.0,946.0
1.0,995.0,821.0,423.0,101.0,391.0,762.0,927.0,630.0,768.0,251.0,768.0,1005.0,457.0,186.0,607.0,146.0,761.0
0.0,950.0,948.0,318.0,72.0,373.0,803.0,964.0,727.0,862.0,289.0,561.0,879.0,581.0,278.0,681.0,158.0,556.0
0.0,835.0,887.0,210.0,41.0,376.0,922.0,900.0,827.0,917.0,300.0,417.0,770.0,704.0,403.0,837.0,181.0,473.0
0.0,753.0,918.0,151.0,17.0,455.0,919.0,886.0,978.0,914.0,330.0,356.0,647.0,767.0,520.0,874.0,175.0,340.0
0.0,647.0,893.0,73.0,8.0,423.0,982.0,827.0,981.0,959.0,376.0,235.0,541.0,968.0,636.0,956.0,221.0,274.0
0.0,559.0,842.0,53.0,6.0,470.0,916.0,735.0,1039.0,949.0,420.0,162.0,430.0,1082.0,891.0,986.0,295.0,165.0
0.0,415.0,803.0,43.0,4.0,547.0,841.0,666.0,992.0,824.0,515.0,104.0,350.0,1149.0,1204.0,1078.0,344.0,121.0
0.0,302.0,706.0,11.0,1.0,720.0,781.0,493.0,923.0,703.0,709.0,51.0,234.0,1177.0,1542.0,1050.0,513.0,84.0
0.0,215.0,505.0,9.0,0.0,1012.0,589.0,342.0,782.0,529.0,1083.0,40.0,158.0,1113.0,1863.0,914.0,813.0,33.0
0.0,113.0,246.0,3.0,0.0,1378.0,366.0,187.0,555.0,302.0,2059.0,16.0,59.0,760.0,1563.0,563.0,1815.0,15.0
0.0,21.0,78.0,0.0,0.0,1301.0,95.0,46.0,134.0,83.0,2357.0,4.0,8.0,283.0,621.0,169.0,4798.0,2.0
