Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
4039.0,5945.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5773.0,3947.0,171.0,79.0,6.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173.0,96.0,4734.0,2877.0,453.0,1155.0,39.0,334.0,75.0,7.0,11.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13.0,11.0,2555.0,3244.0,990.0,1774.0,127.0,782.0,274.0,28.0,40.0,153.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1330.0,1816.0,1770.0,2171.0,317.0,1354.0,586.0,82.0,126.0,398.0,2.0,19.0,16.0,9.0,1.0,0.0,0.0,0.0
0.0,0.0,654.0,992.0,2012.0,1804.0,589.0,1686.0,973.0,216.0,230.0,723.0,12.0,57.0,27.0,19.0,4.0,2.0,0.0,0.0
0.0,0.0,317.0,538.0,1718.0,1260.0,930.0,1701.0,1279.0,439.0,464.0,1044.0,30.0,118.0,76.0,65.0,14.0,7.0,0.0,0.0
0.0,0.0,137.0,249.0,1204.0,813.0,1203.0,1493.0,1522.0,747.0,763.0,1296.0,59.0,212.0,139.0,119.0,31.0,13.0,0.0,0.0
0.0,0.0,50.0,112.0,794.0,479.0,1442.0,1029.0,1508.0,1069.0,1085.0,1339.0,157.0,311.0,266.0,230.0,82.0,45.0,2.0,0.0
0.0,0.0,30.0,54.0,487.0,246.0,1514.0,674.0,1301.0,1257.0,1325.0,1361.0,251.0,507.0,397.0,382.0,119.0,91.0,4.0,0.0
0.0,0.0,6.0,18.0,270.0,151.0,1329.0,435.0,904.0,1430.0,1398.0,1212.0,451.0,748.0,647.0,553.0,251.0,183.0,14.0,0.0
0.0,0.0,2.0,13.0,187.0,89.0,969.0,260.0,660.0,1360.0,1382.0,879.0,653.0,1007.0,959.0,883.0,378.0,297.0,22.0,0.0
0.0,0.0,1.0,3.0,62.0,21.0,711.0,140.0,423.0,1191.0,1138.0,646.0,893.0,1330.0,1199.0,1066.0,602.0,508.0,66.0,0.0
0.0,0.0,0.0,1.0,23.0,9.0,423.0,68.0,247.0,899.0,784.0,427.0,1138.0,1372.0,1443.0,1361.0,917.0,758.0,130.0,0.0
0.0,0.0,0.0,1.0,16.0,6.0,219.0,32.0,133.0,555.0,589.0,231.0,1368.0,1360.0,1435.0,1477.0,1201.0,1095.0,281.0,1.0
0.0,0.0,0.0,0.0,5.0,0.0,123.0,6.0,70.0,407.0,349.0,144.0,1581.0,1196.0,1318.0,1349.0,1575.0,1386.0,490.0,1.0
0.0,0.0,0.0,0.0,2.0,0.0,53.0,3.0,32.0,206.0,197.0,74.0,1527.0,931.0,1058.0,1206.0,1826.0,1880.0,1002.0,3.0
0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,12.0,86.0,86.0,22.0,1285.0,577.0,730.0,887.0,1853.0,2341.0,2074.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,32.0,7.0,591.0,244.0,286.0,387.0,1126.0,1372.0,5667.0,266.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,7.0,20.0,22.0,248.0,9696.0
