FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3983.0,4036.0,2.0,0.0,1893.0,4.0,16.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3439.0,3392.0,6.0,4.0,2754.0,50.0,34.0,0.0,309.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
2111.0,2178.0,63.0,33.0,4094.0,287.0,103.0,11.0,1056.0,2.0,3.0,3.0,0.0,40.0,13.0,0.0,3.0,0.0
386.0,328.0,679.0,392.0,979.0,1799.0,380.0,148.0,4193.0,40.0,104.0,30.0,4.0,400.0,90.0,12.0,36.0,0.0
57.0,50.0,1431.0,883.0,198.0,2474.0,557.0,348.0,2070.0,138.0,322.0,168.0,40.0,908.0,184.0,50.0,122.0,0.0
21.0,11.0,1598.0,1221.0,50.0,1767.0,520.0,632.0,1112.0,281.0,561.0,303.0,83.0,1288.0,203.0,112.0,233.0,4.0
2.0,3.0,1476.0,1444.0,25.0,1211.0,568.0,829.0,544.0,420.0,720.0,473.0,116.0,1346.0,219.0,200.0,400.0,4.0
1.0,2.0,1204.0,1318.0,3.0,787.0,573.0,1024.0,312.0,582.0,894.0,641.0,239.0,1330.0,252.0,295.0,529.0,14.0
0.0,0.0,983.0,1183.0,3.0,537.0,578.0,1019.0,152.0,726.0,1038.0,812.0,370.0,1145.0,268.0,412.0,749.0,25.0
0.0,0.0,790.0,968.0,1.0,430.0,552.0,1109.0,86.0,887.0,1109.0,961.0,449.0,901.0,325.0,559.0,839.0,34.0
0.0,0.0,563.0,775.0,0.0,251.0,540.0,1034.0,48.0,1032.0,1163.0,1055.0,656.0,808.0,336.0,729.0,932.0,78.0
0.0,0.0,430.0,640.0,0.0,175.0,582.0,933.0,34.0,1096.0,1015.0,1134.0,824.0,641.0,429.0,897.0,1037.0,133.0
0.0,0.0,323.0,452.0,0.0,91.0,611.0,891.0,10.0,1168.0,915.0,1079.0,1023.0,441.0,500.0,1107.0,1131.0,258.0
0.0,0.0,210.0,310.0,0.0,77.0,666.0,714.0,8.0,1102.0,787.0,1078.0,1267.0,341.0,616.0,1281.0,1131.0,412.0
0.0,0.0,124.0,202.0,0.0,32.0,816.0,594.0,1.0,1008.0,619.0,937.0,1425.0,208.0,815.0,1413.0,1091.0,715.0
0.0,0.0,79.0,128.0,0.0,24.0,901.0,407.0,0.0,862.0,412.0,721.0,1590.0,131.0,1045.0,1415.0,916.0,1369.0
0.0,0.0,35.0,39.0,0.0,3.0,1072.0,222.0,0.0,469.0,258.0,450.0,1298.0,54.0,1654.0,1058.0,603.0,2785.0
0.0,0.0,4.0,8.0,0.0,1.0,931.0,85.0,0.0,187.0,80.0,155.0,616.0,12.0,3044.0,460.0,248.0,4169.0
