Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
7194.0,2537.0,100.0,0.0,1.0,0.0,17.0,60.0,0.0,37.0,0.0,0.0,0.0,0.0,51.0,0.0,2.0,0.0,0.0,1.0
2430.0,5919.0,705.0,36.0,33.0,9.0,170.0,149.0,4.0,101.0,4.0,2.0,27.0,3.0,360.0,0.0,17.0,9.0,0.0,22.0
299.0,1053.0,3264.0,341.0,433.0,133.0,1161.0,438.0,94.0,300.0,50.0,33.0,213.0,69.0,1785.0,31.0,130.0,86.0,17.0,70.0
61.0,315.0,2069.0,649.0,744.0,259.0,1541.0,407.0,229.0,306.0,118.0,82.0,427.0,134.0,1994.0,80.0,287.0,180.0,39.0,79.0
8.0,112.0,1309.0,809.0,938.0,425.0,1485.0,381.0,360.0,297.0,257.0,195.0,578.0,236.0,1594.0,138.0,426.0,296.0,91.0,65.0
6.0,36.0,854.0,970.0,983.0,599.0,1219.0,331.0,473.0,302.0,328.0,235.0,705.0,375.0,1129.0,202.0,608.0,385.0,154.0,106.0
1.0,14.0,553.0,974.0,1041.0,706.0,969.0,335.0,572.0,263.0,459.0,336.0,814.0,424.0,842.0,255.0,659.0,476.0,208.0,99.0
1.0,8.0,363.0,992.0,918.0,729.0,773.0,298.0,680.0,274.0,548.0,417.0,804.0,522.0,630.0,326.0,700.0,620.0,271.0,126.0
0.0,4.0,251.0,828.0,810.0,782.0,591.0,336.0,725.0,286.0,602.0,543.0,821.0,617.0,467.0,459.0,808.0,611.0,351.0,108.0
0.0,2.0,180.0,797.0,794.0,813.0,505.0,333.0,757.0,281.0,663.0,563.0,817.0,652.0,293.0,504.0,783.0,725.0,413.0,125.0
0.0,0.0,127.0,668.0,673.0,812.0,428.0,338.0,828.0,297.0,712.0,669.0,782.0,700.0,257.0,621.0,796.0,720.0,455.0,117.0
0.0,0.0,77.0,633.0,603.0,763.0,322.0,323.0,817.0,318.0,819.0,724.0,745.0,764.0,179.0,669.0,776.0,726.0,609.0,133.0
0.0,0.0,56.0,537.0,490.0,745.0,250.0,376.0,775.0,360.0,767.0,767.0,719.0,824.0,150.0,767.0,776.0,820.0,663.0,158.0
0.0,0.0,36.0,474.0,452.0,669.0,188.0,443.0,747.0,388.0,837.0,831.0,606.0,837.0,102.0,909.0,707.0,774.0,791.0,209.0
0.0,0.0,19.0,412.0,321.0,675.0,135.0,442.0,758.0,420.0,828.0,901.0,586.0,843.0,76.0,935.0,651.0,870.0,899.0,229.0
0.0,0.0,17.0,338.0,281.0,645.0,107.0,510.0,647.0,560.0,870.0,923.0,457.0,833.0,55.0,995.0,552.0,797.0,1049.0,364.0
0.0,0.0,9.0,271.0,231.0,512.0,71.0,643.0,602.0,674.0,804.0,969.0,395.0,860.0,24.0,1019.0,513.0,691.0,1258.0,454.0
0.0,0.0,9.0,166.0,144.0,392.0,40.0,936.0,531.0,965.0,697.0,916.0,290.0,723.0,9.0,1067.0,431.0,645.0,1368.0,671.0
0.0,0.0,1.0,90.0,93.0,244.0,24.0,1562.0,321.0,1729.0,490.0,656.0,157.0,441.0,2.0,746.0,281.0,437.0,1014.0,1712.0
0.0,0.0,1.0,15.0,17.0,88.0,4.0,1359.0,80.0,1842.0,147.0,238.0,57.0,143.0,1.0,277.0,97.0,132.0,350.0,5152.0
