AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
813.0,7104.0,489.0,819.0,25.0,2.0,301.0,13.0,391.0,11.0,9.0,0.0,0.0,0.0,16.0,5.0,2.0,0.0
2014.0,1682.0,1447.0,2071.0,148.0,13.0,1079.0,54.0,1259.0,85.0,54.0,1.0,16.0,0.0,32.0,19.0,21.0,5.0
1858.0,672.0,1673.0,1971.0,260.0,51.0,1376.0,134.0,1535.0,206.0,126.0,2.0,28.0,1.0,29.0,26.0,43.0,9.0
1584.0,304.0,1702.0,1631.0,442.0,90.0,1516.0,278.0,1562.0,355.0,243.0,16.0,69.0,1.0,50.0,38.0,107.0,12.0
1281.0,131.0,1480.0,1228.0,694.0,181.0,1501.0,456.0,1502.0,594.0,462.0,38.0,128.0,10.0,52.0,46.0,195.0,21.0
921.0,68.0,1134.0,858.0,974.0,347.0,1303.0,682.0,1308.0,829.0,718.0,56.0,275.0,13.0,83.0,67.0,331.0,33.0
625.0,25.0,783.0,612.0,1241.0,604.0,1010.0,895.0,857.0,1067.0,920.0,145.0,430.0,36.0,96.0,84.0,537.0,33.0
379.0,7.0,536.0,375.0,1284.0,791.0,708.0,1125.0,582.0,1259.0,1057.0,222.0,596.0,67.0,140.0,109.0,727.0,36.0
237.0,5.0,310.0,198.0,1219.0,1010.0,472.0,1134.0,422.0,1275.0,1107.0,401.0,743.0,148.0,168.0,138.0,939.0,74.0
133.0,1.0,198.0,109.0,1058.0,1152.0,309.0,1182.0,251.0,1082.0,1210.0,582.0,940.0,242.0,199.0,184.0,1084.0,84.0
76.0,1.0,121.0,63.0,869.0,1256.0,210.0,1135.0,152.0,967.0,1074.0,766.0,1124.0,424.0,210.0,227.0,1211.0,114.0
47.0,0.0,77.0,32.0,675.0,1266.0,120.0,963.0,82.0,795.0,1062.0,1057.0,1255.0,558.0,324.0,280.0,1223.0,184.0
18.0,0.0,24.0,19.0,502.0,1152.0,48.0,787.0,55.0,684.0,775.0,1390.0,1367.0,959.0,382.0,375.0,1244.0,219.0
12.0,0.0,19.0,11.0,345.0,959.0,38.0,583.0,30.0,424.0,607.0,1758.0,1292.0,1511.0,508.0,510.0,1043.0,350.0
1.0,0.0,6.0,3.0,180.0,691.0,7.0,353.0,10.0,235.0,372.0,1734.0,989.0,2342.0,846.0,884.0,735.0,612.0
1.0,0.0,1.0,0.0,69.0,322.0,1.0,162.0,1.0,105.0,152.0,1239.0,503.0,2234.0,1843.0,1669.0,411.0,1287.0
0.0,0.0,0.0,0.0,14.0,91.0,1.0,60.0,1.0,24.0,45.0,498.0,215.0,1175.0,2559.0,2705.0,133.0,2479.0
0.0,0.0,0.0,0.0,1.0,22.0,0.0,4.0,0.0,3.0,7.0,95.0,30.0,279.0,2463.0,2634.0,14.0,4448.0
