AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
669.0,126.0,764.0,519.0,289.0,213.0,2109.0,486.0,2.0,123.0,4.0,4552.0,112.0,9.0,2.0,18.0,0.0,3.0
987.0,266.0,1211.0,882.0,559.0,208.0,2151.0,855.0,5.0,321.0,12.0,2268.0,133.0,60.0,7.0,69.0,1.0,5.0
1211.0,518.0,1286.0,1118.0,820.0,214.0,1642.0,1029.0,9.0,493.0,31.0,1259.0,122.0,111.0,22.0,100.0,2.0,13.0
1213.0,645.0,1308.0,1160.0,971.0,205.0,1194.0,1157.0,41.0,684.0,88.0,736.0,138.0,211.0,43.0,174.0,7.0,25.0
1169.0,759.0,1175.0,1207.0,1044.0,250.0,908.0,1152.0,72.0,790.0,131.0,441.0,151.0,287.0,90.0,301.0,11.0,62.0
1084.0,880.0,1053.0,1037.0,1108.0,271.0,658.0,1120.0,93.0,880.0,205.0,309.0,211.0,412.0,143.0,413.0,27.0,96.0
926.0,1004.0,879.0,998.0,1030.0,292.0,458.0,1030.0,193.0,1016.0,298.0,196.0,204.0,512.0,206.0,558.0,45.0,155.0
772.0,1039.0,736.0,834.0,986.0,374.0,323.0,860.0,278.0,1018.0,374.0,107.0,256.0,647.0,331.0,725.0,76.0,264.0
584.0,1001.0,568.0,709.0,887.0,406.0,243.0,723.0,349.0,971.0,561.0,56.0,274.0,864.0,451.0,857.0,125.0,371.0
446.0,888.0,368.0,496.0,756.0,416.0,127.0,529.0,543.0,940.0,803.0,42.0,324.0,950.0,646.0,944.0,265.0,517.0
348.0,780.0,248.0,352.0,514.0,498.0,82.0,396.0,749.0,778.0,864.0,25.0,346.0,1095.0,840.0,1098.0,341.0,646.0
255.0,671.0,187.0,272.0,391.0,540.0,58.0,248.0,928.0,653.0,1068.0,4.0,414.0,1062.0,961.0,1018.0,460.0,810.0
149.0,520.0,98.0,165.0,263.0,567.0,27.0,203.0,1129.0,464.0,1161.0,4.0,441.0,977.0,1109.0,1026.0,661.0,1036.0
80.0,393.0,48.0,114.0,181.0,618.0,11.0,109.0,1218.0,376.0,1199.0,1.0,510.0,870.0,1204.0,839.0,1046.0,1183.0
65.0,260.0,43.0,73.0,98.0,710.0,8.0,51.0,1331.0,235.0,1145.0,0.0,639.0,778.0,1226.0,749.0,1285.0,1304.0
33.0,158.0,23.0,40.0,73.0,909.0,1.0,37.0,1323.0,152.0,944.0,0.0,804.0,612.0,1144.0,560.0,1739.0,1448.0
6.0,74.0,5.0,21.0,25.0,1319.0,0.0,14.0,1118.0,76.0,749.0,0.0,1341.0,386.0,1042.0,396.0,2152.0,1276.0
3.0,18.0,0.0,3.0,5.0,1990.0,0.0,1.0,619.0,30.0,363.0,0.0,3580.0,157.0,533.0,155.0,1757.0,786.0
