Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
4123.0,4776.0,308.0,91.0,86.0,34.0,18.0,25.0,90.0,250.0,6.0,75.0,67.0,25.0,6.0,2.0,11.0,0.0,7.0,0.0
3535.0,3339.0,373.0,373.0,321.0,137.0,83.0,100.0,333.0,802.0,27.0,128.0,224.0,102.0,45.0,9.0,20.0,2.0,45.0,2.0
1262.0,1057.0,546.0,949.0,859.0,433.0,317.0,284.0,883.0,1666.0,94.0,195.0,645.0,347.0,195.0,43.0,39.0,13.0,156.0,17.0
485.0,420.0,460.0,1148.0,1031.0,652.0,485.0,422.0,1003.0,1474.0,168.0,168.0,843.0,484.0,275.0,96.0,52.0,31.0,276.0,27.0
268.0,193.0,372.0,1064.0,1031.0,747.0,597.0,559.0,1049.0,1189.0,231.0,167.0,902.0,557.0,373.0,156.0,69.0,50.0,367.0,59.0
133.0,99.0,373.0,1008.0,1009.0,710.0,691.0,623.0,1004.0,955.0,308.0,153.0,875.0,669.0,476.0,218.0,66.0,79.0,464.0,87.0
64.0,59.0,342.0,920.0,903.0,833.0,703.0,700.0,886.0,745.0,404.0,177.0,964.0,719.0,520.0,279.0,69.0,83.0,501.0,129.0
55.0,25.0,352.0,774.0,840.0,826.0,728.0,701.0,805.0,694.0,465.0,169.0,863.0,768.0,646.0,322.0,80.0,144.0,582.0,161.0
22.0,14.0,299.0,723.0,737.0,818.0,790.0,715.0,732.0,572.0,568.0,196.0,758.0,786.0,725.0,430.0,79.0,171.0,677.0,188.0
18.0,10.0,342.0,661.0,623.0,759.0,744.0,815.0,657.0,430.0,639.0,208.0,715.0,794.0,736.0,487.0,90.0,245.0,756.0,271.0
19.0,3.0,368.0,546.0,577.0,739.0,824.0,797.0,572.0,348.0,729.0,228.0,661.0,767.0,759.0,565.0,100.0,291.0,761.0,346.0
5.0,3.0,365.0,496.0,475.0,658.0,756.0,786.0,515.0,247.0,755.0,243.0,582.0,748.0,812.0,740.0,127.0,427.0,795.0,465.0
3.0,1.0,404.0,367.0,419.0,612.0,719.0,758.0,409.0,193.0,896.0,299.0,469.0,708.0,789.0,830.0,161.0,560.0,828.0,575.0
5.0,0.0,404.0,293.0,325.0,554.0,683.0,707.0,337.0,169.0,895.0,334.0,445.0,673.0,801.0,934.0,204.0,701.0,793.0,743.0
3.0,0.0,515.0,240.0,289.0,484.0,593.0,608.0,281.0,93.0,939.0,407.0,377.0,578.0,826.0,979.0,245.0,878.0,818.0,847.0
0.0,0.0,526.0,148.0,217.0,403.0,508.0,552.0,185.0,84.0,913.0,520.0,273.0,480.0,705.0,1093.0,321.0,1173.0,752.0,1147.0
0.0,1.0,706.0,117.0,134.0,284.0,371.0,396.0,138.0,55.0,847.0,741.0,167.0,365.0,580.0,1108.0,467.0,1472.0,605.0,1446.0
0.0,0.0,956.0,52.0,91.0,213.0,244.0,296.0,81.0,25.0,663.0,1017.0,118.0,264.0,439.0,934.0,802.0,1690.0,475.0,1640.0
0.0,0.0,1237.0,26.0,26.0,82.0,120.0,122.0,37.0,8.0,351.0,2138.0,45.0,138.0,234.0,563.0,1831.0,1426.0,268.0,1348.0
0.0,0.0,752.0,4.0,7.0,22.0,26.0,34.0,3.0,1.0,102.0,2437.0,7.0,28.0,58.0,212.0,5167.0,564.0,74.0,502.0
