Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Middlesbrough,Bristol City,West Bromwich Albion,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
424.0,96.0,66.0,3727.0,754.0,86.0,44.0,93.0,105.0,275.0,105.0,2682.0,5.0,7.0,99.0,79.0,53.0,1061.0,106.0,76.0,2.0,4.0,51.0,0.0
861.0,225.0,152.0,1568.0,1219.0,214.0,122.0,283.0,284.0,622.0,272.0,1531.0,30.0,18.0,114.0,204.0,88.0,1736.0,128.0,223.0,11.0,16.0,78.0,1.0
1064.0,342.0,285.0,738.0,1370.0,370.0,189.0,399.0,431.0,792.0,446.0,746.0,41.0,43.0,107.0,328.0,88.0,1640.0,139.0,319.0,19.0,27.0,68.0,9.0
1039.0,443.0,377.0,535.0,1170.0,473.0,285.0,517.0,491.0,881.0,553.0,540.0,86.0,88.0,133.0,413.0,93.0,1213.0,125.0,378.0,34.0,50.0,77.0,6.0
972.0,545.0,474.0,354.0,1052.0,534.0,346.0,509.0,569.0,847.0,620.0,454.0,125.0,103.0,104.0,504.0,100.0,952.0,145.0,502.0,31.0,68.0,68.0,22.0
879.0,574.0,520.0,327.0,825.0,636.0,385.0,591.0,627.0,809.0,611.0,364.0,168.0,154.0,103.0,572.0,93.0,776.0,133.0,560.0,68.0,111.0,83.0,31.0
753.0,604.0,529.0,271.0,684.0,634.0,439.0,707.0,634.0,782.0,661.0,317.0,214.0,194.0,134.0,622.0,113.0,607.0,158.0,570.0,103.0,140.0,88.0,42.0
713.0,691.0,568.0,227.0,539.0,643.0,557.0,645.0,650.0,757.0,706.0,286.0,267.0,229.0,132.0,603.0,122.0,456.0,126.0,572.0,142.0,187.0,93.0,89.0
582.0,654.0,652.0,201.0,550.0,621.0,556.0,659.0,698.0,633.0,688.0,245.0,307.0,300.0,133.0,682.0,122.0,364.0,158.0,642.0,155.0,215.0,96.0,87.0
521.0,619.0,648.0,194.0,404.0,640.0,595.0,696.0,672.0,602.0,691.0,283.0,349.0,356.0,162.0,675.0,135.0,290.0,144.0,646.0,201.0,259.0,94.0,124.0
429.0,657.0,677.0,187.0,323.0,653.0,639.0,639.0,682.0,525.0,611.0,240.0,444.0,418.0,179.0,626.0,135.0,232.0,169.0,656.0,268.0,339.0,125.0,147.0
363.0,647.0,652.0,181.0,269.0,679.0,645.0,646.0,667.0,493.0,602.0,216.0,489.0,439.0,188.0,626.0,151.0,189.0,162.0,654.0,321.0,426.0,85.0,210.0
350.0,618.0,648.0,176.0,223.0,616.0,689.0,614.0,572.0,423.0,580.0,215.0,571.0,541.0,180.0,633.0,173.0,134.0,197.0,576.0,402.0,481.0,138.0,250.0
289.0,586.0,657.0,170.0,180.0,593.0,618.0,541.0,550.0,374.0,534.0,187.0,637.0,622.0,208.0,613.0,185.0,125.0,250.0,618.0,457.0,534.0,153.0,319.0
181.0,593.0,596.0,146.0,144.0,566.0,663.0,567.0,485.0,306.0,510.0,210.0,671.0,696.0,222.0,555.0,217.0,72.0,234.0,595.0,562.0,613.0,177.0,419.0
161.0,523.0,557.0,125.0,91.0,459.0,669.0,458.0,444.0,269.0,467.0,206.0,798.0,791.0,284.0,528.0,244.0,48.0,292.0,552.0,642.0,700.0,205.0,487.0
138.0,447.0,516.0,141.0,74.0,418.0,628.0,395.0,385.0,212.0,353.0,179.0,826.0,827.0,297.0,449.0,288.0,45.0,325.0,513.0,786.0,830.0,268.0,660.0
119.0,378.0,419.0,125.0,55.0,363.0,555.0,343.0,330.0,151.0,300.0,186.0,904.0,889.0,364.0,403.0,373.0,26.0,359.0,390.0,933.0,939.0,300.0,796.0
60.0,297.0,377.0,133.0,40.0,282.0,463.0,275.0,286.0,115.0,254.0,186.0,884.0,919.0,486.0,352.0,473.0,13.0,423.0,323.0,1011.0,995.0,385.0,968.0
57.0,205.0,293.0,123.0,18.0,226.0,390.0,181.0,196.0,69.0,204.0,180.0,818.0,844.0,617.0,252.0,617.0,10.0,565.0,266.0,1148.0,959.0,504.0,1258.0
31.0,138.0,191.0,125.0,13.0,164.0,266.0,140.0,141.0,37.0,137.0,187.0,660.0,718.0,823.0,151.0,840.0,8.0,848.0,191.0,1100.0,898.0,731.0,1462.0
10.0,85.0,96.0,103.0,2.0,89.0,158.0,66.0,69.0,21.0,69.0,150.0,422.0,487.0,1268.0,85.0,1278.0,2.0,1185.0,135.0,969.0,714.0,1125.0,1412.0
2.0,28.0,40.0,81.0,0.0,37.0,89.0,31.0,27.0,4.0,21.0,145.0,235.0,241.0,1789.0,37.0,1819.0,1.0,1666.0,32.0,502.0,376.0,1933.0,864.0
2.0,5.0,10.0,42.0,1.0,4.0,10.0,5.0,5.0,1.0,5.0,65.0,49.0,76.0,1874.0,8.0,2200.0,0.0,1963.0,11.0,133.0,119.0,3075.0,337.0
