Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
6411.0,3345.0,157.0,54.0,29.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3104.0,5428.0,834.0,341.0,177.0,28.0,16.0,18.0,18.0,2.0,7.0,2.0,3.0,8.0,11.0,1.0,2.0,0.0,0.0,0.0
402.0,930.0,3880.0,1968.0,1326.0,249.0,204.0,246.0,278.0,55.0,69.0,66.0,56.0,126.0,84.0,33.0,28.0,0.0,0.0,0.0
65.0,196.0,2109.0,2512.0,1785.0,526.0,490.0,509.0,568.0,149.0,182.0,159.0,121.0,274.0,190.0,86.0,73.0,3.0,3.0,0.0
11.0,60.0,1151.0,1676.0,1796.0,749.0,740.0,743.0,804.0,268.0,347.0,307.0,254.0,436.0,331.0,173.0,148.0,4.0,2.0,0.0
7.0,26.0,682.0,1052.0,1241.0,938.0,924.0,943.0,967.0,375.0,459.0,431.0,375.0,624.0,475.0,272.0,196.0,7.0,6.0,0.0
0.0,9.0,429.0,695.0,949.0,1039.0,928.0,923.0,988.0,503.0,513.0,607.0,432.0,740.0,548.0,356.0,300.0,25.0,16.0,0.0
0.0,4.0,267.0,517.0,691.0,956.0,983.0,928.0,981.0,582.0,579.0,661.0,528.0,816.0,639.0,435.0,379.0,33.0,21.0,0.0
0.0,1.0,183.0,347.0,533.0,950.0,909.0,910.0,876.0,690.0,613.0,755.0,593.0,847.0,679.0,549.0,493.0,42.0,29.0,1.0
0.0,0.0,123.0,271.0,419.0,826.0,905.0,835.0,815.0,785.0,696.0,793.0,671.0,833.0,742.0,614.0,564.0,68.0,40.0,0.0
0.0,0.0,87.0,210.0,326.0,808.0,771.0,776.0,730.0,789.0,726.0,873.0,732.0,848.0,830.0,662.0,616.0,130.0,85.0,1.0
0.0,1.0,45.0,138.0,236.0,677.0,706.0,723.0,678.0,840.0,801.0,900.0,790.0,835.0,855.0,838.0,688.0,145.0,103.0,1.0
0.0,0.0,24.0,94.0,174.0,588.0,656.0,602.0,620.0,920.0,814.0,872.0,905.0,796.0,867.0,871.0,785.0,235.0,173.0,4.0
0.0,0.0,10.0,52.0,126.0,550.0,552.0,546.0,525.0,909.0,856.0,865.0,890.0,729.0,894.0,960.0,957.0,342.0,228.0,9.0
0.0,0.0,9.0,45.0,81.0,414.0,450.0,471.0,445.0,930.0,874.0,844.0,991.0,660.0,833.0,1044.0,1051.0,520.0,332.0,6.0
0.0,0.0,5.0,18.0,68.0,339.0,359.0,390.0,330.0,858.0,866.0,719.0,956.0,554.0,778.0,1122.0,1212.0,811.0,590.0,25.0
0.0,0.0,4.0,6.0,28.0,204.0,243.0,254.0,231.0,779.0,825.0,598.0,925.0,493.0,619.0,1050.0,1251.0,1398.0,1003.0,89.0
0.0,0.0,0.0,2.0,13.0,123.0,125.0,125.0,108.0,419.0,578.0,373.0,561.0,281.0,456.0,675.0,859.0,2868.0,2186.0,248.0
0.0,0.0,1.0,2.0,2.0,36.0,34.0,57.0,36.0,132.0,180.0,165.0,207.0,91.0,151.0,230.0,351.0,2822.0,4367.0,1136.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,14.0,15.0,10.0,10.0,9.0,18.0,29.0,47.0,547.0,816.0,8480.0
