Coventry City,Ipswich Town,Millwall,Southampton,Middlesbrough,Hull City,Wrexham,Derby County,Norwich City,Bristol City,Queens Park Rangers,Watford,Preston North End,Swansea City,Birmingham City,Stoke City,Sheffield United,Charlton Athletic,Portsmouth,Blackburn Rovers,West Bromwich Albion,Oxford United,Leicester City,Sheffield Wednesday
9948.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,7803.0,746.0,728.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1247.0,3154.0,2858.0,2713.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,602.0,3005.0,2961.0,3272.0,157.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,288.0,2844.0,3002.0,3087.0,731.0,35.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,247.0,438.0,250.0,6956.0,823.0,1226.0,46.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,13.0,7.0,1683.0,3774.0,3971.0,354.0,63.0,51.0,13.0,7.0,20.0,33.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,429.0,4043.0,3365.0,1042.0,369.0,202.0,78.0,66.0,165.0,170.0,44.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,16.0,1003.0,933.0,2740.0,1674.0,679.0,445.0,317.0,767.0,988.0,236.0,200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,262.0,310.0,1845.0,1708.0,1125.0,890.0,624.0,918.0,1314.0,552.0,441.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,49.0,117.0,1221.0,1453.0,1200.0,1146.0,801.0,1199.0,1355.0,725.0,706.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,51.0,930.0,1214.0,1284.0,1173.0,987.0,1222.0,1299.0,909.0,858.0,57.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,734.0,1086.0,1285.0,1235.0,1109.0,1125.0,1182.0,1120.0,996.0,96.0,19.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,880.0,1238.0,1351.0,1286.0,1156.0,1103.0,1200.0,1124.0,151.0,42.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,697.0,1143.0,1255.0,1375.0,1243.0,920.0,1357.0,1332.0,247.0,81.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,558.0,1030.0,1183.0,1424.0,1060.0,834.0,1644.0,1442.0,463.0,142.0,2.0,13.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,270.0,673.0,1004.0,1629.0,828.0,627.0,1436.0,1945.0,992.0,427.0,30.0,80.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,88.0,217.0,354.0,288.0,161.0,657.0,771.0,4491.0,1947.0,280.0,592.0,89.0,33.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,9.0,14.0,108.0,136.0,2110.0,3423.0,1281.0,2138.0,574.0,177.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,18.0,873.0,1979.0,2430.0,3003.0,1276.0,414.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,383.0,1179.0,3198.0,2260.0,2079.0,898.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,617.0,2069.0,1527.0,3795.0,1903.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,134.0,710.0,386.0,2185.0,6575.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
