Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Girona,Athletic Club,Rayo Vallecano,Valencia,Mallorca,Sevilla,Alavés,Elche,Levante,Real Oviedo
9882.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,9794.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,88.0,9046.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,866.0,9095.0,24.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,39.0,6077.0,2078.0,1404.0,254.0,69.0,11.0,49.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2387.0,3851.0,2272.0,792.0,323.0,107.0,175.0,71.0,7.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1065.0,2452.0,2944.0,1616.0,807.0,287.0,431.0,219.0,94.0,31.0,32.0,12.0,7.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,327.0,994.0,1623.0,2440.0,1749.0,738.0,964.0,541.0,276.0,117.0,141.0,37.0,31.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,87.0,370.0,868.0,1930.0,1861.0,1161.0,1454.0,966.0,467.0,265.0,307.0,87.0,105.0,71.0,1.0,0.0
0.0,0.0,0.0,0.0,24.0,146.0,451.0,1238.0,1637.0,1413.0,1628.0,1230.0,797.0,424.0,496.0,165.0,208.0,142.0,1.0,0.0
0.0,0.0,0.0,0.0,7.0,67.0,207.0,787.0,1257.0,1523.0,1433.0,1364.0,1019.0,639.0,753.0,279.0,387.0,273.0,4.0,1.0
0.0,0.0,0.0,0.0,2.0,22.0,121.0,476.0,898.0,1361.0,1224.0,1461.0,1198.0,842.0,939.0,457.0,597.0,390.0,12.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,63.0,253.0,621.0,1117.0,899.0,1315.0,1266.0,1115.0,1164.0,654.0,866.0,629.0,28.0,4.0
0.0,0.0,0.0,0.0,0.0,1.0,33.0,122.0,369.0,871.0,699.0,1063.0,1306.0,1297.0,1296.0,972.0,1049.0,856.0,58.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,67.0,235.0,657.0,476.0,786.0,1099.0,1348.0,1338.0,1352.0,1272.0,1175.0,159.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,119.0,431.0,318.0,517.0,1030.0,1429.0,1252.0,1571.0,1467.0,1483.0,298.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,48.0,237.0,184.0,301.0,790.0,1306.0,1119.0,1899.0,1590.0,1761.0,584.0,172.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,74.0,61.0,137.0,509.0,955.0,802.0,1824.0,1704.0,2093.0,1354.0,480.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,5.0,15.0,131.0,205.0,294.0,597.0,613.0,890.0,5240.0,1997.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,60.0,92.0,104.0,213.0,2260.0,7244.0
