Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,TSG Hoffenheim,Eintracht Frankfurt,SC Freiburg,Mainz,FC Augsburg,1. FC Union Berlin,Hamburg SV,FC Cologne,Borussia Mönchengladbach,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9914.0,18.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,83.0,3156.0,5708.0,808.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,3867.0,3138.0,1940.0,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1937.0,890.0,4433.0,2740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1021.0,197.0,2816.0,5950.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0,13.0,6149.0,3761.0,33.0,32.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3607.0,5838.0,275.0,184.0,61.0,21.0,2.0,12.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,212.0,352.0,4366.0,2281.0,1396.0,359.0,531.0,473.0,26.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,2467.0,2576.0,1801.0,915.0,1135.0,917.0,108.0,17.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1366.0,1870.0,2046.0,1417.0,1685.0,1251.0,311.0,53.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,1269.0,1687.0,1884.0,2014.0,1582.0,647.0,146.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,965.0,1496.0,2079.0,1860.0,1847.0,1000.0,289.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,588.0,1055.0,1845.0,1663.0,2233.0,1758.0,645.0,16.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,221.0,396.0,1206.0,817.0,1284.0,4225.0,1682.0,102.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,55.0,272.0,288.0,396.0,1869.0,6045.0,921.0,133.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,55.0,1034.0,6985.0,1916.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,1971.0,7943.0
