Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6695.0,2098.0,375.0,248.0,440.0,119.0,9.0,9.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070.0,3790.0,1229.0,952.0,1329.0,463.0,51.0,60.0,14.0,11.0,9.0,11.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
732.0,1964.0,2090.0,1669.0,1997.0,896.0,168.0,205.0,49.0,22.0,52.0,35.0,27.0,72.0,18.0,1.0,3.0,0.0,0.0,0.0
301.0,1029.0,1950.0,1871.0,2022.0,1334.0,340.0,450.0,124.0,89.0,139.0,104.0,73.0,115.0,51.0,6.0,2.0,0.0,0.0,0.0
133.0,565.0,1545.0,1747.0,1580.0,1610.0,606.0,750.0,254.0,152.0,226.0,232.0,168.0,272.0,133.0,17.0,10.0,0.0,0.0,0.0
43.0,284.0,1103.0,1258.0,1056.0,1642.0,891.0,1045.0,441.0,318.0,421.0,423.0,301.0,468.0,235.0,46.0,16.0,6.0,0.0,3.0
15.0,142.0,701.0,825.0,656.0,1214.0,1186.0,1320.0,655.0,466.0,592.0,581.0,460.0,636.0,377.0,112.0,45.0,12.0,0.0,5.0
6.0,61.0,387.0,546.0,375.0,871.0,1215.0,1289.0,875.0,590.0,709.0,806.0,606.0,830.0,554.0,173.0,79.0,16.0,1.0,11.0
2.0,39.0,237.0,319.0,255.0,614.0,1108.0,1105.0,981.0,804.0,854.0,914.0,792.0,878.0,645.0,250.0,139.0,34.0,6.0,24.0
2.0,15.0,166.0,231.0,117.0,406.0,954.0,929.0,1045.0,830.0,933.0,1023.0,868.0,1008.0,779.0,360.0,233.0,54.0,6.0,41.0
0.0,4.0,87.0,132.0,78.0,296.0,946.0,780.0,1012.0,931.0,945.0,1024.0,958.0,971.0,859.0,492.0,323.0,94.0,9.0,59.0
0.0,3.0,52.0,88.0,49.0,205.0,725.0,642.0,967.0,962.0,995.0,1036.0,1028.0,992.0,1009.0,594.0,389.0,171.0,21.0,72.0
0.0,2.0,33.0,49.0,17.0,146.0,574.0,522.0,903.0,1002.0,961.0,922.0,1023.0,947.0,1044.0,791.0,613.0,242.0,46.0,163.0
1.0,4.0,18.0,31.0,23.0,85.0,460.0,351.0,811.0,1031.0,893.0,866.0,978.0,868.0,1105.0,992.0,773.0,361.0,95.0,254.0
0.0,0.0,18.0,16.0,2.0,55.0,345.0,219.0,755.0,950.0,784.0,701.0,965.0,696.0,1017.0,1190.0,1113.0,612.0,168.0,394.0
0.0,0.0,5.0,11.0,3.0,26.0,228.0,170.0,514.0,769.0,680.0,587.0,752.0,551.0,917.0,1521.0,1384.0,889.0,302.0,691.0
0.0,0.0,3.0,6.0,1.0,14.0,116.0,96.0,332.0,587.0,429.0,389.0,566.0,393.0,659.0,1460.0,1761.0,1384.0,583.0,1221.0
0.0,0.0,1.0,0.0,0.0,3.0,57.0,39.0,172.0,314.0,232.0,228.0,284.0,194.0,369.0,1115.0,1541.0,2183.0,1216.0,2052.0
0.0,0.0,0.0,1.0,0.0,1.0,17.0,17.0,71.0,142.0,112.0,91.0,115.0,85.0,178.0,660.0,1049.0,2391.0,2271.0,2799.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,23.0,30.0,30.0,26.0,34.0,18.0,48.0,220.0,527.0,1551.0,5276.0,2211.0
