Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Girona,Espanyol,Valencia,Mallorca,Rayo Vallecano,Sevilla,Alavés,Elche,Levante,Real Oviedo
9891.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,9842.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,49.0,8933.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1017.0,8947.0,22.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,33.0,6198.0,2076.0,1296.0,289.0,23.0,25.0,32.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,2387.0,3981.0,2100.0,938.0,168.0,136.0,141.0,120.0,5.0,1.0,17.0,3.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1003.0,2331.0,2974.0,1809.0,437.0,518.0,413.0,360.0,28.0,15.0,91.0,13.0,1.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,299.0,985.0,1656.0,2555.0,1043.0,1321.0,818.0,798.0,82.0,94.0,275.0,41.0,9.0,24.0,0.0,0.0
0.0,0.0,0.0,0.0,62.0,376.0,948.0,1719.0,1637.0,1690.0,1286.0,1204.0,180.0,224.0,482.0,91.0,50.0,51.0,0.0,0.0
0.0,0.0,0.0,0.0,24.0,155.0,491.0,1154.0,1750.0,1630.0,1485.0,1291.0,390.0,424.0,764.0,156.0,144.0,139.0,3.0,0.0
0.0,0.0,0.0,0.0,3.0,50.0,266.0,748.0,1618.0,1521.0,1521.0,1411.0,530.0,631.0,908.0,266.0,276.0,248.0,3.0,0.0
0.0,0.0,0.0,0.0,2.0,28.0,146.0,384.0,1276.0,1192.0,1335.0,1383.0,764.0,982.0,1140.0,444.0,477.0,433.0,11.0,3.0
0.0,0.0,0.0,0.0,0.0,6.0,75.0,203.0,918.0,821.0,1074.0,1205.0,1119.0,1218.0,1263.0,671.0,740.0,641.0,37.0,9.0
0.0,0.0,0.0,0.0,0.0,2.0,29.0,121.0,582.0,552.0,796.0,855.0,1425.0,1398.0,1302.0,1026.0,925.0,901.0,79.0,7.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,60.0,329.0,314.0,513.0,627.0,1575.0,1419.0,1168.0,1288.0,1345.0,1180.0,147.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,154.0,169.0,342.0,401.0,1528.0,1350.0,1068.0,1577.0,1508.0,1487.0,319.0,75.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,51.0,90.0,165.0,218.0,1305.0,1146.0,859.0,1915.0,1780.0,1676.0,625.0,166.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,77.0,88.0,889.0,814.0,523.0,1737.0,1929.0,2084.0,1288.0,538.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,168.0,235.0,131.0,694.0,685.0,896.0,5123.0,2051.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,49.0,8.0,78.0,131.0,232.0,2365.0,7125.0
