Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6568.0,2886.0,336.0,68.0,78.0,21.0,20.0,8.0,9.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2625.0,4885.0,1314.0,402.0,366.0,139.0,122.0,54.0,72.0,11.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
581.0,1376.0,3355.0,1375.0,1308.0,597.0,616.0,250.0,366.0,81.0,21.0,37.0,15.0,9.0,4.0,6.0,3.0,0.0,0.0,0.0
141.0,491.0,2006.0,1773.0,1823.0,977.0,1055.0,520.0,698.0,214.0,65.0,111.0,42.0,27.0,18.0,27.0,12.0,0.0,0.0,0.0
52.0,208.0,1183.0,1623.0,1697.0,1302.0,1309.0,696.0,919.0,389.0,107.0,209.0,88.0,73.0,62.0,63.0,16.0,4.0,0.0,0.0
20.0,88.0,755.0,1355.0,1393.0,1353.0,1341.0,973.0,1070.0,535.0,227.0,349.0,133.0,134.0,105.0,106.0,53.0,9.0,1.0,0.0
6.0,40.0,443.0,1093.0,1006.0,1270.0,1387.0,1147.0,1179.0,752.0,329.0,489.0,243.0,195.0,146.0,180.0,71.0,23.0,1.0,0.0
5.0,16.0,242.0,751.0,769.0,1106.0,1164.0,1246.0,1214.0,942.0,470.0,701.0,352.0,324.0,214.0,274.0,161.0,44.0,5.0,0.0
2.0,4.0,161.0,544.0,532.0,926.0,913.0,1196.0,1130.0,1064.0,636.0,884.0,478.0,461.0,379.0,369.0,219.0,89.0,13.0,0.0
0.0,3.0,96.0,382.0,391.0,717.0,675.0,1042.0,960.0,1141.0,812.0,980.0,679.0,628.0,502.0,518.0,324.0,126.0,24.0,0.0
0.0,3.0,57.0,264.0,260.0,540.0,486.0,843.0,705.0,1103.0,931.0,1104.0,831.0,779.0,674.0,687.0,507.0,178.0,47.0,1.0
0.0,0.0,27.0,152.0,159.0,354.0,366.0,649.0,542.0,1025.0,1053.0,1078.0,962.0,931.0,849.0,859.0,606.0,325.0,62.0,1.0
0.0,0.0,12.0,94.0,108.0,277.0,236.0,456.0,373.0,824.0,1028.0,1057.0,1092.0,1024.0,988.0,1037.0,828.0,431.0,126.0,9.0
0.0,0.0,10.0,51.0,57.0,195.0,155.0,396.0,286.0,614.0,1032.0,879.0,1153.0,1167.0,1089.0,1114.0,978.0,626.0,188.0,10.0
0.0,0.0,1.0,30.0,31.0,99.0,91.0,234.0,202.0,505.0,988.0,764.0,1079.0,1144.0,1225.0,1152.0,1219.0,842.0,359.0,35.0
0.0,0.0,2.0,30.0,10.0,65.0,29.0,151.0,143.0,374.0,888.0,588.0,1039.0,1075.0,1230.0,1172.0,1394.0,1185.0,563.0,62.0
0.0,0.0,0.0,9.0,9.0,41.0,26.0,94.0,76.0,228.0,709.0,422.0,837.0,946.0,1180.0,1122.0,1480.0,1692.0,978.0,151.0
0.0,0.0,0.0,4.0,3.0,15.0,9.0,38.0,48.0,143.0,493.0,247.0,674.0,737.0,864.0,842.0,1275.0,2197.0,1895.0,516.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,8.0,44.0,189.0,82.0,266.0,308.0,420.0,417.0,736.0,1753.0,4179.0,1586.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,19.0,13.0,35.0,38.0,50.0,55.0,118.0,476.0,1559.0,7629.0
