Lazio,AS Roma,Internazionale,Cagliari,AC Milan,Como,Frosinone,Juventus,Sassuolo,Napoli,Atalanta,Lecce,Udinese,Torino,Fiorentina,Parma,Bologna,Monza,Genoa,Venezia
47.0,2273.0,5154.0,3.0,173.0,1758.0,1.0,367.0,13.0,159.0,45.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
157.0,2717.0,2490.0,31.0,483.0,2561.0,6.0,847.0,32.0,443.0,182.0,4.0,32.0,4.0,3.0,0.0,5.0,0.0,3.0,0.0
437.0,2047.0,1231.0,109.0,970.0,2268.0,35.0,1349.0,141.0,844.0,427.0,3.0,95.0,10.0,7.0,1.0,21.0,0.0,5.0,0.0
764.0,1248.0,586.0,214.0,1396.0,1405.0,89.0,1721.0,278.0,1221.0,752.0,9.0,198.0,28.0,25.0,4.0,53.0,0.0,9.0,0.0
1051.0,743.0,292.0,391.0,1506.0,847.0,169.0,1524.0,454.0,1457.0,971.0,29.0,304.0,61.0,52.0,7.0,120.0,1.0,21.0,0.0
1234.0,420.0,153.0,563.0,1374.0,499.0,288.0,1269.0,602.0,1421.0,1152.0,52.0,494.0,122.0,97.0,9.0,211.0,0.0,40.0,0.0
1248.0,247.0,41.0,739.0,1153.0,287.0,445.0,947.0,855.0,1221.0,1248.0,101.0,686.0,177.0,163.0,41.0,310.0,1.0,90.0,0.0
1190.0,139.0,30.0,970.0,901.0,176.0,551.0,722.0,1006.0,970.0,1152.0,157.0,802.0,330.0,248.0,77.0,430.0,4.0,145.0,0.0
1004.0,79.0,14.0,1022.0,662.0,99.0,789.0,462.0,1086.0,750.0,1034.0,259.0,1044.0,398.0,359.0,125.0,576.0,8.0,230.0,0.0
790.0,38.0,5.0,1061.0,461.0,56.0,947.0,311.0,1052.0,546.0,873.0,387.0,1071.0,571.0,510.0,214.0,763.0,8.0,334.0,2.0
683.0,21.0,3.0,1006.0,363.0,21.0,949.0,188.0,1022.0,364.0,691.0,579.0,1015.0,764.0,626.0,315.0,893.0,36.0,457.0,4.0
488.0,14.0,1.0,980.0,222.0,8.0,1032.0,133.0,880.0,236.0,534.0,710.0,1020.0,858.0,820.0,431.0,982.0,61.0,582.0,8.0
362.0,6.0,0.0,823.0,153.0,14.0,1083.0,81.0,781.0,150.0,357.0,863.0,893.0,1045.0,897.0,624.0,1016.0,101.0,735.0,16.0
232.0,6.0,0.0,688.0,87.0,1.0,991.0,45.0,649.0,104.0,268.0,1048.0,742.0,1115.0,1015.0,820.0,1082.0,165.0,913.0,29.0
154.0,2.0,0.0,545.0,54.0,0.0,854.0,20.0,463.0,57.0,152.0,1226.0,604.0,1174.0,1130.0,1082.0,1001.0,308.0,1104.0,70.0
86.0,0.0,0.0,395.0,26.0,0.0,675.0,10.0,345.0,37.0,88.0,1336.0,471.0,1156.0,1207.0,1256.0,945.0,493.0,1314.0,160.0
42.0,0.0,0.0,265.0,8.0,0.0,560.0,3.0,202.0,17.0,48.0,1363.0,289.0,948.0,1216.0,1608.0,785.0,884.0,1449.0,313.0
28.0,0.0,0.0,140.0,7.0,0.0,342.0,0.0,107.0,2.0,22.0,1187.0,167.0,784.0,958.0,1886.0,525.0,1653.0,1498.0,694.0
3.0,0.0,0.0,49.0,1.0,0.0,165.0,1.0,28.0,1.0,4.0,563.0,55.0,360.0,550.0,1146.0,224.0,3803.0,830.0,2217.0
0.0,0.0,0.0,6.0,0.0,0.0,29.0,0.0,4.0,0.0,0.0,124.0,14.0,94.0,117.0,354.0,56.0,2474.0,241.0,6487.0
