Barcelona,Real Madrid,Alavés,Atlético Madrid,Sevilla,Deportivo La Coruña,Real Betis,Espanyol,Athletic Club,Racing Santander,Osasuna,Real Sociedad,Levante,Getafe,Celta Vigo,Rayo Vallecano,Málaga,Villarreal,Elche,Valencia
8313.0,1597.0,1.0,56.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1572.0,6916.0,56.0,716.0,19.0,17.0,475.0,12.0,9.0,2.0,9.0,22.0,2.0,3.0,4.0,4.0,0.0,162.0,0.0,0.0
106.0,1040.0,660.0,3300.0,272.0,191.0,2333.0,175.0,185.0,20.0,95.0,195.0,52.0,51.0,101.0,107.0,0.0,1102.0,8.0,7.0
9.0,300.0,877.0,2136.0,580.0,338.0,2064.0,399.0,305.0,69.0,273.0,392.0,161.0,122.0,199.0,242.0,0.0,1469.0,47.0,18.0
0.0,86.0,1124.0,1245.0,712.0,506.0,1398.0,542.0,474.0,141.0,394.0,613.0,300.0,232.0,351.0,347.0,1.0,1407.0,77.0,50.0
0.0,30.0,1087.0,807.0,838.0,653.0,956.0,646.0,635.0,182.0,496.0,668.0,367.0,281.0,445.0,493.0,1.0,1233.0,120.0,62.0
0.0,18.0,980.0,526.0,877.0,729.0,747.0,751.0,687.0,281.0,572.0,760.0,441.0,357.0,557.0,488.0,1.0,966.0,158.0,104.0
0.0,3.0,877.0,359.0,785.0,762.0,551.0,738.0,710.0,348.0,667.0,859.0,536.0,437.0,574.0,641.0,0.0,787.0,219.0,147.0
0.0,6.0,781.0,271.0,826.0,756.0,385.0,803.0,791.0,376.0,698.0,776.0,582.0,517.0,619.0,659.0,8.0,637.0,298.0,211.0
0.0,3.0,682.0,171.0,765.0,767.0,310.0,823.0,744.0,483.0,737.0,769.0,622.0,597.0,687.0,652.0,14.0,553.0,350.0,271.0
0.0,0.0,632.0,134.0,704.0,737.0,211.0,790.0,747.0,541.0,765.0,753.0,685.0,627.0,774.0,729.0,9.0,393.0,461.0,308.0
0.0,0.0,526.0,100.0,687.0,701.0,162.0,680.0,719.0,652.0,815.0,696.0,741.0,726.0,735.0,742.0,26.0,346.0,539.0,407.0
0.0,1.0,452.0,72.0,668.0,710.0,132.0,662.0,691.0,711.0,822.0,671.0,787.0,717.0,813.0,762.0,36.0,258.0,596.0,439.0
0.0,0.0,431.0,40.0,537.0,660.0,109.0,635.0,735.0,842.0,721.0,628.0,802.0,757.0,765.0,767.0,47.0,199.0,671.0,654.0
0.0,0.0,266.0,25.0,478.0,663.0,65.0,604.0,671.0,902.0,710.0,591.0,792.0,895.0,754.0,760.0,91.0,178.0,809.0,746.0
0.0,0.0,217.0,21.0,423.0,566.0,26.0,554.0,611.0,947.0,662.0,507.0,797.0,967.0,748.0,734.0,167.0,128.0,1003.0,922.0
0.0,0.0,165.0,6.0,377.0,519.0,30.0,489.0,523.0,993.0,583.0,497.0,813.0,892.0,712.0,664.0,328.0,97.0,1177.0,1135.0
0.0,0.0,118.0,10.0,260.0,423.0,17.0,374.0,404.0,1060.0,516.0,354.0,774.0,856.0,636.0,594.0,665.0,48.0,1404.0,1487.0
0.0,0.0,54.0,3.0,158.0,252.0,2.0,270.0,287.0,1058.0,367.0,204.0,598.0,751.0,412.0,473.0,1640.0,27.0,1407.0,2037.0
0.0,0.0,14.0,2.0,33.0,50.0,1.0,53.0,72.0,392.0,98.0,44.0,148.0,215.0,114.0,142.0,6966.0,5.0,656.0,995.0
