PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,FC Twente,Ajax Amsterdam,Excelsior,Fortuna Sittard,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7901.0,415.0,995.0,262.0,383.0,2.0,2.0,10.0,8.0,19.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1429.0,1727.0,3403.0,1282.0,1837.0,47.0,8.0,67.0,57.0,110.0,11.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0
443.0,2225.0,2285.0,1836.0,2191.0,156.0,39.0,217.0,158.0,320.0,58.0,1.0,8.0,63.0,0.0,0.0,0.0,0.0
161.0,2050.0,1530.0,2043.0,2003.0,350.0,101.0,455.0,325.0,659.0,127.0,12.0,32.0,152.0,0.0,0.0,0.0,0.0
45.0,1569.0,885.0,1839.0,1557.0,669.0,198.0,829.0,647.0,1030.0,313.0,33.0,68.0,316.0,0.0,2.0,0.0,0.0
14.0,897.0,445.0,1143.0,884.0,1062.0,446.0,1225.0,1039.0,1416.0,593.0,77.0,174.0,577.0,0.0,8.0,0.0,0.0
5.0,502.0,232.0,704.0,504.0,1272.0,660.0,1350.0,1201.0,1485.0,804.0,115.0,294.0,841.0,3.0,28.0,0.0,0.0
0.0,273.0,112.0,388.0,290.0,1262.0,832.0,1341.0,1327.0,1297.0,1058.0,239.0,489.0,1037.0,2.0,49.0,3.0,1.0
0.0,179.0,56.0,243.0,167.0,1265.0,1045.0,1222.0,1316.0,1153.0,1104.0,298.0,680.0,1169.0,14.0,83.0,5.0,1.0
1.0,92.0,26.0,127.0,89.0,1130.0,1275.0,1021.0,1195.0,918.0,1281.0,523.0,875.0,1266.0,16.0,156.0,5.0,4.0
1.0,33.0,13.0,73.0,54.0,940.0,1412.0,831.0,1002.0,643.0,1299.0,829.0,1203.0,1249.0,50.0,342.0,11.0,15.0
0.0,26.0,11.0,30.0,21.0,775.0,1343.0,620.0,797.0,485.0,1289.0,1166.0,1440.0,1251.0,124.0,537.0,45.0,40.0
0.0,9.0,3.0,20.0,16.0,586.0,1201.0,446.0,503.0,286.0,1033.0,1695.0,1721.0,1029.0,306.0,960.0,110.0,76.0
0.0,2.0,4.0,10.0,3.0,316.0,866.0,252.0,270.0,126.0,648.0,2263.0,1617.0,649.0,655.0,1785.0,288.0,246.0
0.0,1.0,0.0,0.0,1.0,124.0,413.0,88.0,119.0,39.0,284.0,1591.0,948.0,289.0,1697.0,2741.0,914.0,751.0
0.0,0.0,0.0,0.0,0.0,37.0,124.0,20.0,29.0,11.0,75.0,777.0,337.0,79.0,2989.0,1864.0,2057.0,1601.0
0.0,0.0,0.0,0.0,0.0,6.0,32.0,6.0,6.0,3.0,21.0,281.0,84.0,9.0,2584.0,978.0,3207.0,2783.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,100.0,27.0,3.0,1560.0,467.0,3355.0,4482.0
