SC Freiburg,Borussia Dortmund,FC Augsburg,Bayern Munich,RB Leipzig,SV Elversberg,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Borussia Mönchengladbach,Hamburg SV
71.0,1801.0,16.0,7698.0,212.0,1.0,110.0,5.0,2.0,0.0,0.0,0.0,16.0,68.0,0.0,0.0,0.0,0.0
583.0,4735.0,132.0,1813.0,1139.0,11.0,723.0,67.0,69.0,8.0,0.0,10.0,174.0,533.0,0.0,2.0,1.0,0.0
1316.0,1758.0,446.0,350.0,2249.0,58.0,1562.0,193.0,186.0,23.0,3.0,63.0,569.0,1197.0,0.0,15.0,6.0,6.0
1470.0,816.0,648.0,94.0,1795.0,117.0,1710.0,397.0,374.0,83.0,13.0,124.0,842.0,1459.0,0.0,26.0,22.0,10.0
1385.0,423.0,886.0,31.0,1452.0,219.0,1470.0,542.0,569.0,139.0,36.0,202.0,1075.0,1454.0,0.0,40.0,48.0,29.0
1320.0,225.0,1029.0,10.0,1030.0,331.0,1227.0,775.0,755.0,211.0,55.0,320.0,1147.0,1316.0,0.0,117.0,81.0,51.0
1050.0,113.0,1088.0,3.0,735.0,516.0,1010.0,914.0,911.0,385.0,112.0,470.0,1202.0,1064.0,2.0,181.0,161.0,83.0
846.0,64.0,1126.0,1.0,501.0,653.0,728.0,1034.0,1066.0,557.0,178.0,660.0,1106.0,856.0,2.0,247.0,224.0,151.0
637.0,33.0,1079.0,0.0,335.0,853.0,505.0,1071.0,1061.0,667.0,258.0,781.0,1024.0,678.0,10.0,394.0,397.0,217.0
464.0,17.0,940.0,0.0,226.0,1047.0,368.0,1107.0,1059.0,827.0,368.0,963.0,820.0,460.0,14.0,508.0,479.0,333.0
334.0,7.0,790.0,0.0,149.0,1074.0,262.0,974.0,1059.0,952.0,523.0,1071.0,634.0,373.0,30.0,707.0,623.0,438.0
236.0,6.0,630.0,0.0,80.0,1125.0,141.0,898.0,844.0,1145.0,673.0,1102.0,552.0,208.0,57.0,861.0,831.0,611.0
132.0,2.0,471.0,0.0,51.0,1104.0,87.0,707.0,704.0,1176.0,930.0,1113.0,337.0,145.0,109.0,1027.0,1061.0,844.0
89.0,0.0,324.0,0.0,22.0,973.0,62.0,547.0,516.0,1105.0,1174.0,1010.0,239.0,98.0,262.0,1270.0,1247.0,1062.0
29.0,0.0,224.0,0.0,14.0,769.0,17.0,388.0,381.0,1087.0,1466.0,873.0,142.0,63.0,461.0,1379.0,1345.0,1362.0
27.0,0.0,122.0,0.0,7.0,650.0,11.0,240.0,282.0,821.0,1681.0,694.0,84.0,18.0,831.0,1375.0,1471.0,1686.0
10.0,0.0,38.0,0.0,3.0,376.0,6.0,113.0,132.0,606.0,1749.0,413.0,32.0,9.0,1866.0,1261.0,1376.0,2010.0
1.0,0.0,11.0,0.0,0.0,123.0,1.0,28.0,30.0,208.0,781.0,131.0,5.0,1.0,6356.0,590.0,627.0,1107.0
