Arsenal,Manchester City,Hull City,Brighton & Hove Albion,Chelsea,Brentford,Liverpool,Everton,Ipswich Town,Newcastle United,Leeds United,Nottingham Forest,Manchester United,Sunderland,AFC Bournemouth,Crystal Palace,Tottenham Hotspur,Fulham,Aston Villa,Coventry City
5576.0,4035.0,1.0,120.0,37.0,37.0,70.0,16.0,0.0,15.0,10.0,10.0,61.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0
3357.0,4419.0,19.0,550.0,243.0,195.0,323.0,92.0,1.0,116.0,94.0,79.0,410.0,14.0,58.0,1.0,1.0,7.0,21.0,0.0
637.0,902.0,94.0,1684.0,995.0,776.0,1229.0,442.0,1.0,501.0,417.0,363.0,1393.0,86.0,300.0,22.0,16.0,52.0,90.0,0.0
227.0,351.0,184.0,1354.0,1000.0,943.0,1279.0,632.0,7.0,679.0,544.0,516.0,1365.0,137.0,450.0,49.0,24.0,88.0,171.0,0.0
96.0,140.0,292.0,1226.0,1042.0,961.0,1112.0,661.0,19.0,739.0,650.0,593.0,1164.0,226.0,545.0,85.0,64.0,125.0,260.0,0.0
50.0,79.0,355.0,1037.0,925.0,962.0,1056.0,773.0,24.0,799.0,721.0,626.0,924.0,292.0,673.0,123.0,88.0,169.0,324.0,0.0
33.0,26.0,418.0,837.0,945.0,869.0,861.0,782.0,54.0,816.0,734.0,722.0,880.0,368.0,677.0,188.0,163.0,227.0,400.0,0.0
7.0,21.0,484.0,717.0,816.0,798.0,780.0,795.0,82.0,778.0,755.0,777.0,784.0,478.0,735.0,224.0,203.0,295.0,471.0,0.0
5.0,15.0,598.0,557.0,736.0,772.0,677.0,799.0,86.0,805.0,806.0,769.0,637.0,516.0,817.0,271.0,241.0,353.0,540.0,0.0
6.0,4.0,623.0,483.0,703.0,712.0,559.0,797.0,133.0,756.0,780.0,774.0,551.0,574.0,804.0,340.0,351.0,445.0,605.0,0.0
1.0,6.0,731.0,367.0,586.0,602.0,492.0,764.0,206.0,716.0,747.0,808.0,444.0,674.0,779.0,451.0,433.0,541.0,651.0,1.0
3.0,1.0,846.0,300.0,457.0,509.0,438.0,730.0,255.0,685.0,727.0,697.0,385.0,768.0,751.0,504.0,514.0,639.0,790.0,1.0
1.0,1.0,842.0,241.0,435.0,492.0,321.0,674.0,350.0,620.0,675.0,704.0,313.0,843.0,722.0,644.0,578.0,766.0,778.0,0.0
1.0,0.0,836.0,180.0,341.0,411.0,257.0,573.0,490.0,523.0,610.0,710.0,250.0,938.0,672.0,772.0,750.0,822.0,861.0,3.0
0.0,0.0,855.0,143.0,281.0,359.0,230.0,446.0,686.0,460.0,498.0,586.0,169.0,939.0,597.0,906.0,955.0,987.0,902.0,1.0
0.0,0.0,892.0,94.0,203.0,263.0,136.0,386.0,962.0,383.0,481.0,507.0,117.0,906.0,509.0,1163.0,1034.0,1067.0,895.0,2.0
0.0,0.0,831.0,72.0,138.0,167.0,96.0,306.0,1382.0,309.0,355.0,351.0,75.0,871.0,425.0,1271.0,1295.0,1180.0,860.0,16.0
0.0,0.0,655.0,27.0,79.0,111.0,61.0,225.0,1968.0,190.0,238.0,254.0,58.0,784.0,304.0,1464.0,1569.0,1145.0,795.0,73.0
0.0,0.0,430.0,11.0,37.0,59.0,22.0,104.0,3079.0,107.0,153.0,148.0,18.0,563.0,168.0,1445.0,1646.0,1046.0,571.0,393.0
0.0,0.0,14.0,0.0,1.0,2.0,1.0,3.0,215.0,3.0,5.0,6.0,2.0,23.0,4.0,77.0,75.0,45.0,14.0,9510.0
