Lille,AS Monaco,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1846.0,1152.0,948.0,748.0,229.0,384.0,10.0,3700.0,38.0,815.0,0.0,0.0,118.0,0.0,1.0,3.0,8.0,0.0
1832.0,1385.0,1114.0,1003.0,424.0,594.0,32.0,2161.0,91.0,1086.0,1.0,0.0,229.0,1.0,6.0,2.0,37.0,2.0
1456.0,1332.0,1290.0,1210.0,584.0,779.0,57.0,1415.0,175.0,1172.0,7.0,0.0,428.0,5.0,23.0,5.0,57.0,5.0
1279.0,1255.0,1229.0,1236.0,773.0,925.0,111.0,908.0,297.0,1272.0,12.0,0.0,513.0,7.0,44.0,23.0,111.0,5.0
970.0,1163.0,1138.0,1192.0,961.0,1039.0,216.0,650.0,410.0,1182.0,27.0,1.0,713.0,13.0,70.0,43.0,205.0,7.0
777.0,1030.0,1067.0,1105.0,1017.0,1140.0,282.0,413.0,551.0,1101.0,58.0,1.0,895.0,31.0,139.0,78.0,296.0,19.0
630.0,855.0,887.0,981.0,1154.0,1150.0,450.0,339.0,727.0,936.0,119.0,4.0,998.0,56.0,172.0,136.0,384.0,22.0
467.0,647.0,794.0,805.0,1132.0,1085.0,612.0,170.0,869.0,854.0,183.0,14.0,1135.0,96.0,286.0,220.0,585.0,46.0
307.0,443.0,542.0,613.0,1024.0,919.0,860.0,117.0,1172.0,583.0,302.0,21.0,1218.0,178.0,427.0,337.0,822.0,115.0
211.0,332.0,407.0,458.0,885.0,669.0,1064.0,78.0,1290.0,438.0,500.0,48.0,1056.0,250.0,592.0,496.0,1053.0,173.0
108.0,196.0,254.0,288.0,675.0,523.0,1183.0,28.0,1163.0,271.0,724.0,111.0,895.0,430.0,908.0,758.0,1207.0,278.0
64.0,109.0,157.0,186.0,454.0,325.0,1261.0,10.0,1021.0,143.0,983.0,189.0,649.0,658.0,1089.0,1017.0,1193.0,492.0
31.0,48.0,98.0,92.0,315.0,220.0,1147.0,7.0,809.0,76.0,1215.0,319.0,450.0,904.0,1200.0,1236.0,1150.0,683.0
15.0,29.0,41.0,46.0,192.0,115.0,945.0,3.0,593.0,37.0,1400.0,522.0,319.0,1129.0,1265.0,1376.0,991.0,982.0
5.0,13.0,22.0,24.0,107.0,83.0,764.0,1.0,389.0,23.0,1388.0,875.0,203.0,1434.0,1286.0,1376.0,725.0,1282.0
2.0,10.0,6.0,7.0,49.0,34.0,509.0,0.0,262.0,7.0,1319.0,1339.0,113.0,1764.0,1122.0,1218.0,597.0,1642.0
0.0,1.0,3.0,6.0,20.0,9.0,341.0,0.0,99.0,4.0,1118.0,2203.0,60.0,1672.0,832.0,1011.0,396.0,2225.0
0.0,0.0,3.0,0.0,5.0,7.0,156.0,0.0,44.0,0.0,644.0,4353.0,8.0,1372.0,538.0,665.0,183.0,2022.0
