Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,São Paulo,Vitória,Corinthians,Botafogo,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
7055.0,2943.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2923.0,6992.0,58.0,14.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,60.0,4978.0,2463.0,1174.0,1003.0,246.0,4.0,26.0,6.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,2525.0,2946.0,1808.0,1834.0,639.0,37.0,94.0,28.0,32.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1316.0,2239.0,2326.0,2164.0,1202.0,140.0,261.0,78.0,83.0,5.0,7.0,171.0,5.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,705.0,1314.0,2098.0,2115.0,1874.0,326.0,544.0,226.0,228.0,16.0,38.0,493.0,19.0,0.0,2.0,2.0,0.0,0.0
0.0,0.0,283.0,628.0,1324.0,1470.0,2372.0,663.0,1108.0,463.0,498.0,63.0,96.0,947.0,55.0,10.0,18.0,2.0,0.0,0.0
0.0,0.0,86.0,242.0,680.0,750.0,1529.0,1261.0,1619.0,866.0,954.0,138.0,244.0,1427.0,122.0,29.0,41.0,12.0,0.0,0.0
0.0,0.0,36.0,100.0,331.0,351.0,859.0,1566.0,1650.0,1162.0,1338.0,282.0,457.0,1439.0,212.0,71.0,100.0,45.0,1.0,0.0
0.0,0.0,8.0,45.0,141.0,186.0,603.0,1521.0,1355.0,1328.0,1472.0,464.0,666.0,1361.0,414.0,128.0,200.0,105.0,3.0,0.0
0.0,0.0,2.0,7.0,66.0,83.0,331.0,1425.0,1190.0,1308.0,1393.0,669.0,920.0,1299.0,627.0,238.0,288.0,147.0,7.0,0.0
0.0,0.0,1.0,2.0,33.0,25.0,180.0,1205.0,829.0,1280.0,1218.0,939.0,1277.0,1014.0,824.0,421.0,468.0,267.0,17.0,0.0
0.0,0.0,0.0,0.0,7.0,11.0,90.0,846.0,554.0,1171.0,937.0,1168.0,1462.0,725.0,1144.0,616.0,702.0,544.0,23.0,0.0
0.0,0.0,0.0,0.0,2.0,4.0,49.0,508.0,377.0,882.0,709.0,1444.0,1410.0,467.0,1370.0,956.0,974.0,787.0,61.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,289.0,236.0,561.0,549.0,1470.0,1209.0,305.0,1537.0,1247.0,1331.0,1116.0,130.0,3.0
0.0,0.0,0.0,0.0,1.0,0.0,7.0,122.0,97.0,384.0,334.0,1425.0,985.0,184.0,1392.0,1605.0,1699.0,1446.0,317.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,48.0,178.0,170.0,1077.0,715.0,75.0,1152.0,1820.0,1880.0,2059.0,743.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,65.0,67.0,709.0,425.0,26.0,880.0,1963.0,1658.0,2440.0,1716.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,11.0,130.0,87.0,5.0,247.0,883.0,627.0,1017.0,6593.0,382.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,12.0,11.0,389.0,9576.0
