Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
6443.0,3420.0,93.0,30.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3199.0,5728.0,618.0,249.0,142.0,12.0,10.0,15.0,10.0,0.0,1.0,1.0,3.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0
303.0,682.0,4079.0,2229.0,1461.0,228.0,174.0,213.0,215.0,47.0,58.0,48.0,33.0,107.0,86.0,24.0,13.0,0.0,0.0,0.0
47.0,120.0,2273.0,2555.0,1959.0,446.0,478.0,451.0,541.0,127.0,151.0,169.0,109.0,273.0,166.0,73.0,61.0,1.0,0.0,0.0
6.0,34.0,1181.0,1777.0,1870.0,740.0,728.0,748.0,827.0,256.0,266.0,333.0,187.0,474.0,319.0,131.0,118.0,4.0,1.0,0.0
2.0,9.0,676.0,1050.0,1304.0,999.0,960.0,981.0,981.0,361.0,386.0,455.0,326.0,651.0,418.0,244.0,191.0,4.0,2.0,0.0
0.0,6.0,390.0,673.0,919.0,1039.0,963.0,1016.0,996.0,443.0,521.0,601.0,424.0,789.0,573.0,357.0,269.0,16.0,5.0,0.0
0.0,1.0,248.0,454.0,610.0,1008.0,1004.0,969.0,927.0,656.0,601.0,703.0,512.0,836.0,675.0,396.0,353.0,31.0,16.0,0.0
0.0,0.0,179.0,322.0,484.0,952.0,930.0,921.0,923.0,663.0,657.0,756.0,601.0,876.0,725.0,507.0,434.0,52.0,18.0,0.0
0.0,0.0,100.0,202.0,352.0,901.0,834.0,876.0,838.0,764.0,723.0,840.0,688.0,875.0,782.0,599.0,517.0,82.0,27.0,0.0
0.0,0.0,66.0,166.0,258.0,781.0,768.0,792.0,768.0,889.0,721.0,875.0,793.0,892.0,805.0,689.0,582.0,100.0,55.0,0.0
0.0,0.0,38.0,112.0,206.0,681.0,720.0,694.0,716.0,891.0,827.0,886.0,785.0,814.0,874.0,803.0,719.0,156.0,78.0,0.0
0.0,0.0,29.0,66.0,142.0,613.0,658.0,642.0,591.0,938.0,825.0,866.0,925.0,729.0,913.0,915.0,852.0,199.0,96.0,1.0
0.0,0.0,19.0,45.0,126.0,482.0,559.0,527.0,558.0,892.0,842.0,875.0,985.0,715.0,849.0,1026.0,1015.0,304.0,179.0,2.0
0.0,0.0,6.0,38.0,66.0,433.0,481.0,433.0,403.0,933.0,877.0,796.0,1044.0,634.0,857.0,1112.0,1100.0,501.0,283.0,3.0
0.0,0.0,3.0,25.0,46.0,334.0,361.0,347.0,358.0,886.0,905.0,740.0,992.0,576.0,774.0,1156.0,1208.0,772.0,504.0,13.0
0.0,0.0,2.0,4.0,32.0,198.0,252.0,217.0,232.0,746.0,871.0,590.0,902.0,465.0,688.0,1090.0,1353.0,1375.0,932.0,51.0
0.0,0.0,0.0,3.0,7.0,121.0,94.0,130.0,91.0,371.0,568.0,348.0,538.0,227.0,370.0,669.0,854.0,3128.0,2289.0,192.0
0.0,0.0,0.0,0.0,2.0,31.0,24.0,24.0,25.0,133.0,197.0,111.0,143.0,62.0,112.0,193.0,332.0,2863.0,4748.0,1000.0
0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,4.0,3.0,7.0,10.0,2.0,7.0,16.0,27.0,412.0,767.0,8738.0
