Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,AFC Bournemouth,Brighton & Hove Albion,Brentford,Chelsea,Everton,Fulham,Sunderland,Newcastle United,Crystal Palace,Nottingham Forest,Leeds United,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9363.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637.0,9363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7238.0,2729.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2600.0,6521.0,461.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,162.0,715.0,4935.0,3624.0,428.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,35.0,3713.0,3826.0,1285.0,745.0,320.0,50.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,808.0,1443.0,3622.0,1944.0,1331.0,597.0,243.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,50.0,563.0,2466.0,2508.0,2251.0,1346.0,603.0,175.0,11.0,0.0,27.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,122.0,1445.0,2114.0,2855.0,1816.0,803.0,710.0,17.0,0.0,118.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,685.0,1227.0,1691.0,2746.0,1633.0,1640.0,56.0,7.0,311.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,954.0,1166.0,1602.0,2518.0,2295.0,290.0,185.0,924.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,325.0,348.0,1229.0,2456.0,3098.0,568.0,538.0,1435.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,36.0,525.0,1409.0,1559.0,1606.0,1977.0,2811.0,31.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,86.0,288.0,462.0,3288.0,3359.0,2406.0,108.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,55.0,4053.0,3755.0,1816.0,297.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,179.0,152.0,7969.0,1595.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1595.0,8405.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9033.0,967.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,9033.0
