AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
1947.0,4988.0,289.0,1032.0,257.0,52.0,24.0,1193.0,0.0,205.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2298.0,2277.0,638.0,1585.0,624.0,175.0,76.0,1761.0,6.0,495.0,27.0,9.0,2.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0
1867.0,1188.0,1018.0,1690.0,934.0,307.0,151.0,1864.0,8.0,807.0,58.0,27.0,3.0,6.0,50.0,14.0,1.0,0.0,0.0,7.0
1317.0,674.0,1219.0,1613.0,1227.0,525.0,306.0,1585.0,29.0,1141.0,126.0,67.0,8.0,9.0,96.0,27.0,10.0,0.0,0.0,21.0
974.0,414.0,1368.0,1323.0,1400.0,740.0,447.0,1194.0,69.0,1336.0,254.0,118.0,19.0,35.0,198.0,55.0,11.0,0.0,0.0,45.0
644.0,210.0,1385.0,992.0,1432.0,945.0,662.0,912.0,120.0,1421.0,406.0,217.0,49.0,54.0,312.0,126.0,31.0,0.0,0.0,82.0
416.0,122.0,1143.0,710.0,1266.0,1187.0,939.0,583.0,211.0,1283.0,658.0,374.0,119.0,120.0,444.0,206.0,59.0,1.0,1.0,158.0
245.0,69.0,999.0,444.0,947.0,1285.0,1124.0,389.0,344.0,1051.0,835.0,554.0,185.0,205.0,642.0,315.0,132.0,5.0,1.0,229.0
138.0,36.0,634.0,253.0,696.0,1214.0,1210.0,213.0,512.0,812.0,996.0,786.0,315.0,293.0,837.0,463.0,188.0,4.0,4.0,396.0
77.0,11.0,473.0,153.0,441.0,970.0,1116.0,144.0,694.0,509.0,1120.0,893.0,483.0,477.0,976.0,600.0,300.0,26.0,2.0,535.0
34.0,5.0,327.0,105.0,279.0,823.0,968.0,81.0,845.0,369.0,1037.0,1068.0,604.0,570.0,1035.0,752.0,405.0,40.0,11.0,642.0
21.0,3.0,215.0,47.0,202.0,565.0,787.0,40.0,910.0,204.0,1079.0,1000.0,746.0,802.0,1073.0,906.0,512.0,64.0,18.0,806.0
10.0,1.0,116.0,21.0,127.0,438.0,701.0,22.0,995.0,159.0,881.0,1005.0,920.0,874.0,1006.0,1039.0,704.0,94.0,35.0,852.0
6.0,0.0,73.0,20.0,75.0,281.0,504.0,12.0,1110.0,104.0,778.0,994.0,1042.0,1057.0,848.0,1039.0,887.0,170.0,60.0,940.0
2.0,0.0,52.0,6.0,34.0,224.0,406.0,2.0,1045.0,49.0,624.0,840.0,1159.0,1137.0,781.0,1083.0,999.0,287.0,137.0,1133.0
2.0,1.0,32.0,4.0,31.0,133.0,296.0,2.0,1030.0,27.0,482.0,800.0,1204.0,1203.0,643.0,1060.0,1218.0,483.0,204.0,1145.0
2.0,1.0,10.0,1.0,16.0,80.0,156.0,2.0,891.0,23.0,340.0,634.0,1216.0,1187.0,475.0,987.0,1498.0,825.0,471.0,1185.0
0.0,0.0,7.0,1.0,11.0,40.0,99.0,1.0,719.0,1.0,195.0,417.0,1116.0,1134.0,369.0,813.0,1625.0,1483.0,979.0,990.0
0.0,0.0,2.0,0.0,1.0,14.0,20.0,0.0,351.0,3.0,83.0,149.0,601.0,607.0,149.0,402.0,1019.0,3402.0,2602.0,595.0
0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,111.0,1.0,14.0,46.0,209.0,230.0,39.0,109.0,401.0,3116.0,5475.0,239.0
