Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Middlesbrough,Bristol City,West Bromwich Albion,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
573.0,126.0,89.0,4300.0,818.0,95.0,64.0,136.0,150.0,300.0,144.0,1831.0,6.0,8.0,1.0,73.0,0.0,1172.0,1.0,97.0,4.0,8.0,0.0,4.0
824.0,310.0,200.0,2090.0,1135.0,213.0,139.0,246.0,278.0,584.0,305.0,1820.0,35.0,30.0,0.0,190.0,1.0,1371.0,0.0,195.0,17.0,13.0,0.0,4.0
947.0,374.0,296.0,1250.0,1154.0,295.0,215.0,409.0,391.0,737.0,407.0,1464.0,75.0,53.0,1.0,278.0,0.0,1292.0,3.0,286.0,26.0,43.0,0.0,4.0
975.0,500.0,403.0,745.0,1131.0,411.0,266.0,484.0,495.0,754.0,522.0,1146.0,103.0,97.0,1.0,356.0,1.0,1131.0,2.0,356.0,40.0,64.0,1.0,16.0
932.0,554.0,484.0,483.0,955.0,491.0,377.0,564.0,547.0,809.0,581.0,876.0,133.0,143.0,3.0,457.0,2.0,977.0,6.0,446.0,52.0,93.0,1.0,34.0
898.0,632.0,543.0,353.0,812.0,559.0,388.0,683.0,623.0,823.0,585.0,643.0,187.0,193.0,9.0,508.0,1.0,769.0,2.0,507.0,90.0,150.0,0.0,42.0
779.0,594.0,599.0,223.0,742.0,630.0,449.0,638.0,653.0,760.0,723.0,544.0,247.0,249.0,9.0,573.0,3.0,677.0,7.0,549.0,108.0,177.0,0.0,67.0
690.0,676.0,663.0,174.0,650.0,619.0,507.0,715.0,667.0,734.0,629.0,402.0,297.0,288.0,16.0,628.0,9.0,536.0,33.0,603.0,157.0,213.0,2.0,92.0
643.0,646.0,637.0,114.0,518.0,702.0,574.0,692.0,700.0,692.0,664.0,331.0,392.0,327.0,28.0,666.0,14.0,434.0,34.0,615.0,197.0,249.0,1.0,130.0
526.0,666.0,684.0,83.0,455.0,679.0,646.0,669.0,658.0,671.0,704.0,225.0,447.0,404.0,33.0,699.0,20.0,374.0,40.0,626.0,223.0,320.0,1.0,147.0
429.0,662.0,659.0,68.0,379.0,678.0,685.0,671.0,636.0,595.0,686.0,209.0,472.0,460.0,53.0,680.0,30.0,323.0,82.0,672.0,303.0,360.0,9.0,199.0
405.0,630.0,713.0,47.0,290.0,660.0,704.0,640.0,652.0,505.0,626.0,157.0,539.0,537.0,79.0,672.0,40.0,251.0,92.0,685.0,383.0,454.0,10.0,229.0
350.0,630.0,689.0,25.0,255.0,638.0,713.0,655.0,624.0,441.0,598.0,118.0,600.0,603.0,102.0,667.0,67.0,179.0,146.0,637.0,421.0,529.0,19.0,294.0
242.0,582.0,575.0,14.0,186.0,640.0,647.0,574.0,605.0,400.0,587.0,107.0,725.0,652.0,149.0,660.0,85.0,169.0,183.0,658.0,522.0,589.0,33.0,416.0
252.0,531.0,583.0,12.0,145.0,563.0,648.0,516.0,532.0,331.0,492.0,43.0,802.0,726.0,195.0,601.0,129.0,106.0,248.0,635.0,639.0,717.0,59.0,495.0
183.0,466.0,577.0,10.0,133.0,520.0,665.0,461.0,493.0,266.0,436.0,27.0,785.0,810.0,304.0,551.0,189.0,100.0,344.0,547.0,740.0,749.0,89.0,555.0
137.0,441.0,461.0,4.0,84.0,468.0,655.0,362.0,386.0,207.0,418.0,20.0,818.0,884.0,373.0,480.0,273.0,54.0,453.0,509.0,828.0,841.0,127.0,717.0
80.0,342.0,415.0,4.0,69.0,362.0,531.0,299.0,321.0,162.0,298.0,17.0,831.0,812.0,620.0,396.0,390.0,40.0,676.0,453.0,903.0,917.0,202.0,860.0
70.0,240.0,261.0,0.0,44.0,319.0,385.0,207.0,253.0,122.0,252.0,14.0,772.0,788.0,808.0,334.0,621.0,27.0,854.0,352.0,1047.0,910.0,320.0,1000.0
36.0,181.0,207.0,1.0,20.0,213.0,339.0,181.0,134.0,56.0,152.0,2.0,612.0,689.0,1106.0,228.0,903.0,9.0,1123.0,253.0,959.0,882.0,535.0,1179.0
17.0,112.0,134.0,0.0,19.0,125.0,192.0,111.0,109.0,28.0,90.0,4.0,520.0,582.0,1388.0,159.0,1215.0,4.0,1412.0,168.0,870.0,712.0,868.0,1161.0
9.0,68.0,73.0,0.0,3.0,77.0,135.0,49.0,64.0,19.0,68.0,0.0,347.0,371.0,1685.0,91.0,1674.0,3.0,1511.0,94.0,708.0,534.0,1360.0,1057.0
2.0,27.0,41.0,0.0,2.0,31.0,60.0,30.0,25.0,2.0,27.0,0.0,178.0,213.0,1725.0,39.0,2167.0,2.0,1542.0,42.0,534.0,340.0,2174.0,797.0
1.0,10.0,14.0,0.0,1.0,12.0,16.0,8.0,4.0,2.0,6.0,0.0,77.0,81.0,1312.0,14.0,2166.0,0.0,1206.0,15.0,229.0,136.0,4189.0,501.0
