Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
7076.0,2684.0,134.0,5.0,6.0,1.0,32.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,51.0,0.0,3.0,2.0,0.0,0.0
2504.0,5588.0,897.0,73.0,83.0,25.0,255.0,5.0,13.0,1.0,10.0,6.0,51.0,16.0,420.0,6.0,28.0,16.0,3.0,0.0
332.0,1143.0,3216.0,493.0,567.0,187.0,1289.0,45.0,121.0,12.0,84.0,57.0,271.0,91.0,1751.0,49.0,162.0,104.0,26.0,0.0
67.0,365.0,1993.0,740.0,869.0,382.0,1515.0,99.0,273.0,36.0,224.0,149.0,490.0,181.0,1911.0,100.0,321.0,206.0,79.0,0.0
14.0,122.0,1222.0,952.0,1018.0,526.0,1398.0,176.0,392.0,72.0,331.0,234.0,696.0,315.0,1425.0,190.0,473.0,303.0,140.0,1.0
3.0,59.0,757.0,973.0,1086.0,681.0,1157.0,246.0,512.0,93.0,447.0,330.0,741.0,403.0,1074.0,246.0,583.0,410.0,199.0,0.0
1.0,24.0,551.0,964.0,955.0,698.0,965.0,361.0,628.0,156.0,469.0,440.0,825.0,480.0,811.0,365.0,595.0,474.0,236.0,2.0
3.0,7.0,358.0,863.0,864.0,795.0,779.0,474.0,693.0,189.0,561.0,485.0,799.0,571.0,591.0,371.0,696.0,561.0,339.0,1.0
0.0,4.0,266.0,798.0,831.0,746.0,588.0,489.0,727.0,267.0,644.0,546.0,832.0,590.0,504.0,490.0,677.0,607.0,392.0,2.0
0.0,2.0,169.0,738.0,667.0,760.0,499.0,582.0,750.0,326.0,644.0,598.0,754.0,668.0,367.0,549.0,764.0,649.0,511.0,3.0
0.0,0.0,141.0,646.0,627.0,771.0,374.0,623.0,742.0,373.0,688.0,637.0,779.0,674.0,294.0,617.0,764.0,701.0,546.0,3.0
0.0,1.0,98.0,610.0,536.0,776.0,285.0,710.0,722.0,451.0,784.0,715.0,658.0,722.0,215.0,673.0,687.0,724.0,613.0,20.0
0.0,0.0,76.0,534.0,480.0,655.0,255.0,737.0,725.0,586.0,784.0,762.0,605.0,728.0,182.0,710.0,709.0,762.0,691.0,19.0
0.0,1.0,53.0,394.0,367.0,628.0,174.0,782.0,734.0,687.0,750.0,835.0,608.0,774.0,161.0,820.0,719.0,720.0,756.0,37.0
0.0,0.0,33.0,388.0,325.0,572.0,169.0,840.0,740.0,805.0,755.0,774.0,501.0,789.0,102.0,870.0,658.0,768.0,864.0,47.0
0.0,0.0,17.0,301.0,245.0,595.0,124.0,910.0,632.0,978.0,730.0,828.0,455.0,802.0,55.0,916.0,603.0,771.0,922.0,116.0
0.0,0.0,12.0,241.0,224.0,522.0,75.0,950.0,566.0,1152.0,705.0,887.0,356.0,784.0,51.0,897.0,596.0,772.0,1034.0,176.0
0.0,0.0,5.0,183.0,146.0,372.0,44.0,940.0,550.0,1488.0,700.0,819.0,303.0,702.0,20.0,1001.0,499.0,712.0,1122.0,394.0
0.0,0.0,2.0,98.0,93.0,256.0,20.0,863.0,408.0,1826.0,577.0,734.0,243.0,605.0,14.0,924.0,395.0,626.0,1285.0,1031.0
0.0,0.0,0.0,6.0,11.0,52.0,3.0,168.0,69.0,502.0,113.0,164.0,30.0,105.0,1.0,206.0,68.0,112.0,242.0,8148.0
