Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
8502.0,30.0,8.0,277.0,901.0,1.0,3.0,15.0,6.0,4.0,0.0,107.0,35.0,0.0,0.0,1.0,0.0,110.0
1124.0,291.0,92.0,1883.0,4064.0,13.0,81.0,158.0,27.0,103.0,1.0,854.0,331.0,28.0,6.0,39.0,0.0,905.0
276.0,593.0,238.0,2095.0,2118.0,43.0,213.0,369.0,101.0,238.0,3.0,1408.0,704.0,97.0,22.0,127.0,0.0,1355.0
59.0,798.0,410.0,1741.0,1179.0,121.0,341.0,599.0,187.0,381.0,7.0,1428.0,842.0,153.0,53.0,248.0,0.0,1453.0
21.0,945.0,539.0,1171.0,733.0,187.0,531.0,736.0,287.0,470.0,21.0,1358.0,1023.0,256.0,116.0,309.0,0.0,1297.0
9.0,1017.0,699.0,832.0,390.0,295.0,631.0,797.0,408.0,644.0,23.0,1133.0,1060.0,372.0,163.0,445.0,0.0,1082.0
3.0,968.0,778.0,630.0,250.0,391.0,757.0,893.0,574.0,743.0,49.0,872.0,995.0,449.0,191.0,576.0,1.0,880.0
3.0,910.0,860.0,406.0,151.0,489.0,802.0,930.0,633.0,834.0,83.0,692.0,967.0,544.0,300.0,658.0,8.0,730.0
2.0,885.0,840.0,317.0,89.0,563.0,859.0,866.0,724.0,856.0,137.0,603.0,816.0,668.0,395.0,792.0,4.0,584.0
1.0,775.0,912.0,235.0,54.0,711.0,863.0,912.0,777.0,843.0,198.0,445.0,753.0,779.0,472.0,787.0,15.0,468.0
0.0,709.0,893.0,164.0,31.0,784.0,907.0,820.0,826.0,901.0,255.0,365.0,662.0,829.0,612.0,885.0,17.0,340.0
0.0,608.0,849.0,108.0,20.0,937.0,918.0,706.0,955.0,853.0,373.0,260.0,523.0,948.0,750.0,892.0,39.0,261.0
0.0,479.0,802.0,49.0,11.0,975.0,833.0,678.0,984.0,830.0,550.0,177.0,461.0,1002.0,913.0,974.0,92.0,190.0
0.0,424.0,701.0,54.0,5.0,1109.0,728.0,591.0,987.0,757.0,788.0,136.0,338.0,1017.0,1158.0,915.0,136.0,156.0
0.0,283.0,617.0,18.0,2.0,1161.0,647.0,441.0,961.0,673.0,1163.0,94.0,257.0,1041.0,1373.0,898.0,273.0,98.0
0.0,181.0,448.0,14.0,1.0,1115.0,534.0,293.0,847.0,503.0,1869.0,48.0,150.0,967.0,1499.0,831.0,633.0,67.0
0.0,93.0,259.0,4.0,1.0,864.0,287.0,164.0,561.0,302.0,2994.0,18.0,71.0,664.0,1495.0,524.0,1680.0,19.0
0.0,11.0,55.0,2.0,0.0,241.0,65.0,32.0,155.0,65.0,1486.0,2.0,12.0,186.0,482.0,99.0,7102.0,5.0
