Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
3732.0,6208.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5850.0,3610.0,437.0,78.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381.0,172.0,6238.0,1915.0,234.0,782.0,45.0,167.0,38.0,2.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,10.0,2125.0,3895.0,846.0,1805.0,212.0,624.0,257.0,28.0,33.0,126.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
3.0,0.0,730.0,1982.0,1766.0,2427.0,501.0,1409.0,609.0,77.0,103.0,367.0,1.0,14.0,7.0,3.0,1.0,0.0,0.0,0.0
1.0,0.0,275.0,1084.0,2058.0,1786.0,888.0,1720.0,962.0,199.0,231.0,697.0,9.0,46.0,23.0,15.0,2.0,4.0,0.0,0.0
0.0,0.0,91.0,514.0,1697.0,1316.0,1171.0,1806.0,1368.0,420.0,438.0,989.0,21.0,82.0,43.0,27.0,12.0,5.0,0.0,0.0
0.0,0.0,26.0,276.0,1298.0,830.0,1455.0,1412.0,1547.0,722.0,711.0,1232.0,60.0,180.0,128.0,79.0,31.0,13.0,0.0,0.0
0.0,0.0,15.0,139.0,866.0,520.0,1570.0,1082.0,1512.0,1031.0,961.0,1408.0,112.0,350.0,194.0,154.0,52.0,33.0,1.0,0.0
0.0,0.0,4.0,81.0,589.0,261.0,1389.0,746.0,1282.0,1360.0,1321.0,1374.0,215.0,500.0,378.0,298.0,115.0,82.0,5.0,0.0
0.0,0.0,0.0,24.0,356.0,141.0,1144.0,513.0,954.0,1568.0,1450.0,1318.0,361.0,686.0,617.0,453.0,224.0,178.0,13.0,0.0
0.0,0.0,0.0,11.0,170.0,70.0,740.0,274.0,665.0,1442.0,1476.0,1010.0,658.0,1104.0,930.0,734.0,380.0,284.0,52.0,0.0
0.0,0.0,0.0,0.0,83.0,28.0,404.0,138.0,401.0,1177.0,1182.0,661.0,1001.0,1416.0,1221.0,1073.0,595.0,522.0,98.0,0.0
0.0,0.0,0.0,0.0,23.0,6.0,264.0,67.0,206.0,808.0,858.0,381.0,1188.0,1449.0,1550.0,1316.0,884.0,806.0,194.0,0.0
0.0,0.0,0.0,0.0,11.0,4.0,144.0,30.0,121.0,536.0,543.0,228.0,1401.0,1389.0,1452.0,1476.0,1188.0,1148.0,329.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,38.0,8.0,55.0,337.0,356.0,112.0,1473.0,1162.0,1269.0,1509.0,1544.0,1517.0,616.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,16.0,178.0,215.0,66.0,1516.0,809.0,1094.0,1317.0,1848.0,1824.0,1084.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,100.0,93.0,4.0,1285.0,574.0,719.0,1036.0,1856.0,2178.0,2121.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0,25.0,5.0,697.0,236.0,372.0,505.0,1246.0,1379.0,5351.0,167.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,21.0,27.0,136.0,9808.0
