FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3794.0,4091.0,2.0,0.0,2003.0,10.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3346.0,3286.0,22.0,10.0,2879.0,78.0,1.0,2.0,362.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
2251.0,2156.0,132.0,62.0,3745.0,375.0,2.0,20.0,1154.0,2.0,11.0,2.0,1.0,82.0,0.0,3.0,2.0,0.0
502.0,391.0,879.0,555.0,1006.0,1768.0,71.0,208.0,3804.0,64.0,143.0,72.0,7.0,458.0,0.0,18.0,52.0,2.0
88.0,62.0,1539.0,1033.0,265.0,2317.0,192.0,494.0,2034.0,213.0,364.0,185.0,55.0,931.0,4.0,67.0,154.0,3.0
11.0,10.0,1481.0,1314.0,69.0,1677.0,381.0,768.0,1094.0,342.0,610.0,370.0,104.0,1269.0,5.0,169.0,322.0,4.0
5.0,3.0,1402.0,1305.0,23.0,1156.0,568.0,879.0,585.0,516.0,811.0,534.0,211.0,1286.0,25.0,246.0,427.0,18.0
1.0,0.0,1172.0,1248.0,2.0,813.0,686.0,1009.0,332.0,611.0,937.0,710.0,289.0,1182.0,41.0,355.0,588.0,24.0
0.0,1.0,900.0,1047.0,4.0,551.0,842.0,1077.0,236.0,780.0,1031.0,767.0,406.0,1060.0,83.0,483.0,703.0,29.0
1.0,0.0,711.0,876.0,2.0,411.0,929.0,973.0,124.0,893.0,1081.0,945.0,516.0,950.0,145.0,577.0,802.0,64.0
1.0,0.0,536.0,748.0,1.0,299.0,977.0,991.0,79.0,987.0,1027.0,998.0,662.0,800.0,197.0,699.0,895.0,103.0
0.0,0.0,460.0,584.0,1.0,206.0,1053.0,874.0,40.0,1056.0,976.0,1032.0,821.0,628.0,289.0,812.0,1006.0,162.0
0.0,0.0,287.0,466.0,0.0,154.0,1090.0,763.0,34.0,1076.0,874.0,1016.0,970.0,455.0,426.0,1065.0,1034.0,290.0
0.0,0.0,206.0,291.0,0.0,94.0,991.0,695.0,13.0,1054.0,759.0,1010.0,1148.0,378.0,626.0,1181.0,1085.0,469.0
0.0,0.0,147.0,240.0,0.0,42.0,875.0,567.0,4.0,916.0,607.0,914.0,1389.0,266.0,922.0,1283.0,1067.0,761.0
0.0,0.0,79.0,140.0,0.0,34.0,747.0,395.0,4.0,784.0,427.0,754.0,1489.0,147.0,1526.0,1344.0,902.0,1228.0
0.0,0.0,30.0,58.0,0.0,13.0,427.0,198.0,1.0,503.0,274.0,478.0,1206.0,73.0,2556.0,1067.0,660.0,2456.0
0.0,0.0,15.0,23.0,0.0,2.0,168.0,87.0,1.0,203.0,68.0,213.0,726.0,20.0,3155.0,631.0,301.0,4387.0
