Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Botafogo,Red Bull Bragantino,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Mirassol,Remo,Chapecoense
4927.0,4868.0,147.0,37.0,12.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4290.0,4324.0,832.0,255.0,166.0,94.0,15.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621.0,635.0,4217.0,1995.0,1183.0,774.0,189.0,251.0,55.0,29.0,19.0,9.0,4.0,6.0,0.0,8.0,4.0,1.0,0.0,0.0
117.0,140.0,2261.0,2479.0,1897.0,1479.0,457.0,634.0,212.0,89.0,66.0,72.0,15.0,35.0,4.0,29.0,14.0,0.0,0.0,0.0
34.0,27.0,1194.0,1992.0,1949.0,1838.0,806.0,937.0,401.0,189.0,179.0,161.0,48.0,80.0,12.0,106.0,46.0,1.0,0.0,0.0
6.0,4.0,628.0,1238.0,1592.0,1746.0,1204.0,1268.0,734.0,363.0,318.0,319.0,92.0,146.0,39.0,177.0,117.0,9.0,0.0,0.0
4.0,1.0,356.0,865.0,1150.0,1257.0,1342.0,1410.0,1025.0,564.0,485.0,462.0,183.0,279.0,85.0,334.0,188.0,10.0,0.0,0.0
1.0,0.0,177.0,466.0,779.0,952.0,1374.0,1285.0,1190.0,789.0,703.0,645.0,279.0,407.0,162.0,456.0,310.0,23.0,2.0,0.0
0.0,1.0,94.0,278.0,461.0,670.0,1204.0,1121.0,1245.0,958.0,883.0,834.0,357.0,553.0,247.0,638.0,419.0,32.0,5.0,0.0
0.0,0.0,48.0,178.0,315.0,409.0,961.0,858.0,1134.0,1101.0,1034.0,916.0,530.0,748.0,363.0,767.0,565.0,66.0,7.0,0.0
0.0,0.0,20.0,99.0,213.0,295.0,769.0,639.0,1029.0,1091.0,1075.0,972.0,646.0,906.0,475.0,877.0,769.0,102.0,22.0,1.0
0.0,0.0,15.0,64.0,108.0,214.0,569.0,518.0,828.0,1066.0,1057.0,1069.0,763.0,1012.0,594.0,1026.0,912.0,151.0,31.0,3.0
0.0,0.0,6.0,35.0,76.0,130.0,411.0,355.0,693.0,965.0,1019.0,1028.0,942.0,1098.0,795.0,1040.0,1078.0,256.0,66.0,7.0
0.0,0.0,1.0,7.0,49.0,66.0,295.0,317.0,545.0,866.0,958.0,942.0,1057.0,1185.0,1036.0,1067.0,1115.0,389.0,94.0,11.0
0.0,0.0,2.0,8.0,22.0,37.0,194.0,189.0,383.0,723.0,796.0,906.0,1268.0,1157.0,1233.0,1017.0,1225.0,601.0,214.0,25.0
0.0,0.0,2.0,3.0,14.0,19.0,122.0,107.0,297.0,574.0,626.0,738.0,1357.0,1019.0,1498.0,1028.0,1213.0,943.0,382.0,58.0
0.0,0.0,0.0,1.0,8.0,9.0,73.0,68.0,144.0,393.0,467.0,564.0,1292.0,735.0,1681.0,839.0,1090.0,1671.0,780.0,185.0
0.0,0.0,0.0,0.0,5.0,3.0,14.0,21.0,67.0,190.0,237.0,278.0,828.0,479.0,1232.0,446.0,646.0,3044.0,1910.0,600.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,15.0,44.0,68.0,71.0,294.0,139.0,472.0,129.0,253.0,2043.0,4347.0,2120.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,14.0,45.0,16.0,72.0,16.0,36.0,658.0,2140.0,6990.0
