Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Fulham,Everton,Sunderland,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6469.0,3531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3531.0,6469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7410.0,1818.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2052.0,4523.0,3408.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,535.0,3476.0,5403.0,457.0,36.0,67.0,17.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,164.0,392.0,5092.0,1227.0,1543.0,475.0,739.0,253.0,105.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,17.0,23.0,2177.0,1974.0,2491.0,1038.0,1325.0,688.0,233.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,2.0,1130.0,1897.0,2123.0,1544.0,1609.0,1129.0,452.0,66.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,633.0,1674.0,1510.0,2008.0,1749.0,1526.0,651.0,143.0,98.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,298.0,1554.0,1053.0,1944.0,1805.0,1859.0,1004.0,243.0,195.0,41.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,137.0,1042.0,740.0,1672.0,1671.0,2086.0,1518.0,475.0,488.0,143.0,28.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,48.0,419.0,364.0,871.0,782.0,1519.0,2647.0,1302.0,1370.0,540.0,134.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,153.0,90.0,321.0,253.0,656.0,1888.0,2468.0,2471.0,1194.0,454.0,39.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,95.0,58.0,239.0,1082.0,2774.0,2590.0,2012.0,968.0,123.0,18.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2.0,43.0,379.0,1856.0,1823.0,3272.0,2165.0,341.0,102.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,612.0,750.0,2198.0,4762.0,1082.0,555.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,152.0,508.0,1281.0,4733.0,3294.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,81.0,204.0,3678.0,6029.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8102.0,1898.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.0,8102.0
